Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	HPS Function (2)	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	NF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1J			REFCLK_GXBL1J_CHTp							E29				
1J			REFCLK_GXBL1J_CHTn							E28				
1J			GXBL1J_TX_CH5n							A32				
1J			GXBL1J_TX_CH5p							A33				
1J			"GXBL1J_RX_CH5n,GXBL1J_REFCLK5n"							B30				
1J			"GXBL1J_RX_CH5p,GXBL1J_REFCLK5p"							B31				
1J			GXBL1J_TX_CH4n							C32				
1J			GXBL1J_TX_CH4p							C33				
1J			"GXBL1J_RX_CH4n,GXBL1J_REFCLK4n"							D30				
1J			"GXBL1J_RX_CH4p,GXBL1J_REFCLK4p"							D31				
1J			GXBL1J_TX_CH3n							B34				
1J			GXBL1J_TX_CH3p							B35				
1J			"GXBL1J_RX_CH3n,GXBL1J_REFCLK3n"							E32				
1J			"GXBL1J_RX_CH3p,GXBL1J_REFCLK3p"							E33				
1J			GXBL1J_TX_CH2n							A36				
1J			GXBL1J_TX_CH2p							A37				
1J			"GXBL1J_RX_CH2n,GXBL1J_REFCLK2n"							F30				
1J			"GXBL1J_RX_CH2p,GXBL1J_REFCLK2p"							F31				
1J			GXBL1J_TX_CH1n							B38				
1J			GXBL1J_TX_CH1p							B39				
1J			"GXBL1J_RX_CH1n,GXBL1J_REFCLK1n"							G32				
1J			"GXBL1J_RX_CH1p,GXBL1J_REFCLK1p"							G33				
1J			GXBL1J_TX_CH0n							C36				
1J			GXBL1J_TX_CH0p							C37				
1J			"GXBL1J_RX_CH0n,GXBL1J_REFCLK0n"							H30				
1J			"GXBL1J_RX_CH0p,GXBL1J_REFCLK0p"							H31				
1J			REFCLK_GXBL1J_CHBp							G29				
1J			REFCLK_GXBL1J_CHBn							G28				
1I			REFCLK_GXBL1I_CHTp							J29				
1I			REFCLK_GXBL1I_CHTn							J28				
1I			GXBL1I_TX_CH5n							D34				
1I			GXBL1I_TX_CH5p							D35				
1I			"GXBL1I_RX_CH5n,GXBL1I_REFCLK5n"							H34				
1I			"GXBL1I_RX_CH5p,GXBL1I_REFCLK5p"							H35				
1I			GXBL1I_TX_CH4n							D38				
1I			GXBL1I_TX_CH4p							D39				
1I			"GXBL1I_RX_CH4n,GXBL1I_REFCLK4n"							J32				
1I			"GXBL1I_RX_CH4p,GXBL1I_REFCLK4p"							J33				
1I			GXBL1I_TX_CH3n							E36				
1I			GXBL1I_TX_CH3p							E37				
1I			"GXBL1I_RX_CH3n,GXBL1I_REFCLK3n"							K30				
1I			"GXBL1I_RX_CH3p,GXBL1I_REFCLK3p"							K31				
1I			GXBL1I_TX_CH2n							F34				
1I			GXBL1I_TX_CH2p							F35				
1I			"GXBL1I_RX_CH2n,GXBL1I_REFCLK2n"							K34				
1I			"GXBL1I_RX_CH2p,GXBL1I_REFCLK2p"							K35				
1I			GXBL1I_TX_CH1n							F38				
1I			GXBL1I_TX_CH1p							F39				
1I			"GXBL1I_RX_CH1n,GXBL1I_REFCLK1n"							L32				
1I			"GXBL1I_RX_CH1p,GXBL1I_REFCLK1p"							L33				
1I			GXBL1I_TX_CH0n							G36				
1I			GXBL1I_TX_CH0p							G37				
1I			"GXBL1I_RX_CH0n,GXBL1I_REFCLK0n"							M30				
1I			"GXBL1I_RX_CH0p,GXBL1I_REFCLK0p"							M31				
1I			REFCLK_GXBL1I_CHBp							L29				
1I			REFCLK_GXBL1I_CHBn							L28				
1H			REFCLK_GXBL1H_CHTp							N29				
1H			REFCLK_GXBL1H_CHTn							N28				
1H			GXBL1H_TX_CH5n							H38				
1H			GXBL1H_TX_CH5p							H39				
1H			"GXBL1H_RX_CH5n,GXBL1H_REFCLK5n"							M34				
1H			"GXBL1H_RX_CH5p,GXBL1H_REFCLK5p"							M35				
1H			GXBL1H_TX_CH4n							J36				
1H			GXBL1H_TX_CH4p							J37				
1H			"GXBL1H_RX_CH4n,GXBL1H_REFCLK4n"							N32				
1H			"GXBL1H_RX_CH4p,GXBL1H_REFCLK4p"							N33				
1H			GXBL1H_TX_CH3n							K38				
1H			GXBL1H_TX_CH3p							K39				
1H			"GXBL1H_RX_CH3n,GXBL1H_REFCLK3n"							P30				
1H			"GXBL1H_RX_CH3p,GXBL1H_REFCLK3p"							P31				
1H			GXBL1H_TX_CH2n							L36				
1H			GXBL1H_TX_CH2p							L37				
1H			"GXBL1H_RX_CH2n,GXBL1H_REFCLK2n"							P34				
1H			"GXBL1H_RX_CH2p,GXBL1H_REFCLK2p"							P35				
1H			GXBL1H_TX_CH1n							M38				
1H			GXBL1H_TX_CH1p							M39				
1H			"GXBL1H_RX_CH1n,GXBL1H_REFCLK1n"							R32				
1H			"GXBL1H_RX_CH1p,GXBL1H_REFCLK1p"							R33				
1H			GXBL1H_TX_CH0n							N36				
1H			GXBL1H_TX_CH0p							N37				
1H			"GXBL1H_RX_CH0n,GXBL1H_REFCLK0n"							T30				
1H			"GXBL1H_RX_CH0p,GXBL1H_REFCLK0p"							T31				
1H			REFCLK_GXBL1H_CHBp							R29				
1H			REFCLK_GXBL1H_CHBn							R28				
1G			REFCLK_GXBL1G_CHTp							U29				
1G			REFCLK_GXBL1G_CHTn							U28				
1G			GXBL1G_TX_CH5n							P38				
1G			GXBL1G_TX_CH5p							P39				
1G			"GXBL1G_RX_CH5n,GXBL1G_REFCLK5n"							T34				
1G			"GXBL1G_RX_CH5p,GXBL1G_REFCLK5p"							T35				
1G			GXBL1G_TX_CH4n							R36				
1G			GXBL1G_TX_CH4p							R37				
1G			"GXBL1G_RX_CH4n,GXBL1G_REFCLK4n"							U32				
1G			"GXBL1G_RX_CH4p,GXBL1G_REFCLK4p"							U33				
1G			GXBL1G_TX_CH3n							T38				
1G			GXBL1G_TX_CH3p							T39				
1G			"GXBL1G_RX_CH3n,GXBL1G_REFCLK3n"							V30				
1G			"GXBL1G_RX_CH3p,GXBL1G_REFCLK3p"							V31				
1G			GXBL1G_TX_CH2n							U36				
1G			GXBL1G_TX_CH2p							U37				
1G			"GXBL1G_RX_CH2n,GXBL1G_REFCLK2n"							V34				
1G			"GXBL1G_RX_CH2p,GXBL1G_REFCLK2p"							V35				
1G			GXBL1G_TX_CH1n							V38				
1G			GXBL1G_TX_CH1p							V39				
1G			"GXBL1G_RX_CH1n,GXBL1G_REFCLK1n"							W32				
1G			"GXBL1G_RX_CH1p,GXBL1G_REFCLK1p"							W33				
1G			GXBL1G_TX_CH0n							W36				
1G			GXBL1G_TX_CH0p							W37				
1G			"GXBL1G_RX_CH0n,GXBL1G_REFCLK0n"							Y30				
1G			"GXBL1G_RX_CH0p,GXBL1G_REFCLK0p"							Y31				
1G			REFCLK_GXBL1G_CHBp							W29				
1G			REFCLK_GXBL1G_CHBn							W28				
1F			REFCLK_GXBL1F_CHTp							AA29				
1F			REFCLK_GXBL1F_CHTn							AA28				
1F			GXBL1F_TX_CH5n							Y38				
1F			GXBL1F_TX_CH5p							Y39				
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"							Y34				
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"							Y35				
1F			GXBL1F_TX_CH4n							AA36				
1F			GXBL1F_TX_CH4p							AA37				
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"							AA32				
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"							AA33				
1F			GXBL1F_TX_CH3n							AB38				
1F			GXBL1F_TX_CH3p							AB39				
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"							AB34				
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"							AB35				
1F			GXBL1F_TX_CH2n							AC36				
1F			GXBL1F_TX_CH2p							AC37				
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"							AB30				
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"							AB31				
1F			GXBL1F_TX_CH1n							AD38				
1F			GXBL1F_TX_CH1p							AD39				
