Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	GT Support	SF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36								
1H			REFCLK_GXBL1H_CHTp						L37												
1H			REFCLK_GXBL1H_CHTn						L38												
1H			GXBL1H_TX_CH5n						A37												
1H			GXBL1H_TX_CH5p						A38												
1H			"GXBL1H_RX_CH5n,GXBL1H_REFCLK5n"						C37												
1H			"GXBL1H_RX_CH5p,GXBL1H_REFCLK5p"						C38												
1H			GXBL1H_TX_CH4n					Yes	B39												
1H			GXBL1H_TX_CH4p					Yes	B40												
1H			"GXBL1H_RX_CH4n,GXBL1H_REFCLK4n"					Yes	D39												
1H			"GXBL1H_RX_CH4p,GXBL1H_REFCLK4p"					Yes	D40						 						
1H			GXBL1H_TX_CH3n					Yes	A41												
1H			GXBL1H_TX_CH3p					Yes	A42												
1H			"GXBL1H_RX_CH3n,GXBL1H_REFCLK3n"					Yes	E37												
1H			"GXBL1H_RX_CH3p,GXBL1H_REFCLK3p"					Yes	E38												
1H			GXBL1H_TX_CH2n						B43												
1H			GXBL1H_TX_CH2p						B44												
1H			"GXBL1H_RX_CH2n,GXBL1H_REFCLK2n"						F39												
1H			"GXBL1H_RX_CH2p,GXBL1H_REFCLK2p"						F40												
1H			GXBL1H_TX_CH1n						C41												
1H			GXBL1H_TX_CH1p						C42												
1H			"GXBL1H_RX_CH1n,GXBL1H_REFCLK1n"						G37												
1H			"GXBL1H_RX_CH1p,GXBL1H_REFCLK1p"						G38												
1H			GXBL1H_TX_CH0n						D43												
1H			GXBL1H_TX_CH0p						D44												
1H			"GXBL1H_RX_CH0n,GXBL1H_REFCLK0n"						H39												
1H			"GXBL1H_RX_CH0p,GXBL1H_REFCLK0p"						H40												
1H			REFCLK_GXBL1H_CHBp						N37												
1H			REFCLK_GXBL1H_CHBn						N38												
1G			REFCLK_GXBL1G_CHTp						R37												
1G			REFCLK_GXBL1G_CHTn						R38												
1G			GXBL1G_TX_CH5n						E41												
1G			GXBL1G_TX_CH5p						E42												
1G			"GXBL1G_RX_CH5n,GXBL1G_REFCLK5n"						K39												
1G			"GXBL1G_RX_CH5p,GXBL1G_REFCLK5p"						K40												
1G			GXBL1G_TX_CH4n						F43												
