Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	HPS Function (3)	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	U19	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1C			REFCLK_GXBL1C_CHTp							K20				
1C			REFCLK_GXBL1C_CHTn							K19				
1C			GXBL1C_TX_CH5n							C21				
1C			GXBL1C_TX_CH5p							C22				
1C			"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n"							A19				
1C			"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p"							A20				
1C			GXBL1C_TX_CH4n							G21				
1C			GXBL1C_TX_CH4p							G22				
1C			"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n"							E21				
1C			"GXBL1C_RX_CH4p,GXBL1C_REFCLK4p"							E22				
1C			GXBL1C_TX_CH3n							L21				
1C			GXBL1C_TX_CH3p							L22				
1C			"GXBL1C_RX_CH3n,GXBL1C_REFCLK3n"							J21				
1C			"GXBL1C_RX_CH3p,GXBL1C_REFCLK3p"							J22				
1C			GXBL1C_TX_CH2n							R21				
1C			GXBL1C_TX_CH2p							R22				
1C			"GXBL1C_RX_CH2n,GXBL1C_REFCLK2n"							N21				
1C			"GXBL1C_RX_CH2p,GXBL1C_REFCLK2p"							N22				
1C			GXBL1C_TX_CH1n							W21				
1C			GXBL1C_TX_CH1p							W22				
1C			"GXBL1C_RX_CH1n,GXBL1C_REFCLK1n"							U21				
1C			"GXBL1C_RX_CH1p,GXBL1C_REFCLK1p"							U22				
1C			GXBL1C_TX_CH0n							AA21				
1C			GXBL1C_TX_CH0p							AA22				
1C			"GXBL1C_RX_CH0n,GXBL1C_REFCLK0n"							Y19				
1C			"GXBL1C_RX_CH0p,GXBL1C_REFCLK0p"							Y20				
1C			REFCLK_GXBL1C_CHBp							M20				
1C			REFCLK_GXBL1C_CHBn							M19				
2L	47	VREFB2LN0	IO				DIFFIO2L_1n		No	D9	DQ0	DQ0	DQ0	DQ0
