Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F29	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1D			REFCLK_GXBL1D_CHTp						N24				
1D			REFCLK_GXBL1D_CHTn						N23				
1D			GXBL1D_TX_CH5n						E27				
1D			GXBL1D_TX_CH5p						E28				
1D			"GXBL1D_RX_CH5n,GXBL1D_REFCLK5n"						D25				
1D			"GXBL1D_RX_CH5p,GXBL1D_REFCLK5p"						D26				
1D			GXBL1D_TX_CH4n						G27				
1D			GXBL1D_TX_CH4p						G28				
1D			"GXBL1D_RX_CH4n,GXBL1D_REFCLK4n"						F25				
1D			"GXBL1D_RX_CH4p,GXBL1D_REFCLK4p"						F26				
1D			GXBL1D_TX_CH3n						J27				
1D			GXBL1D_TX_CH3p						J28				
1D			"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n"						H25				
1D			"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p"						H26				
1D			GXBL1D_TX_CH2n						L27				
1D			GXBL1D_TX_CH2p						L28				
1D			"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n"						K25				
1D			"GXBL1D_RX_CH2p,GXBL1D_REFCLK2p"						K26				
1D			GXBL1D_TX_CH1n						N27				
1D			GXBL1D_TX_CH1p						N28				
1D			"GXBL1D_RX_CH1n,GXBL1D_REFCLK1n"						M25				
1D			"GXBL1D_RX_CH1p,GXBL1D_REFCLK1p"						M26				
1D			GXBL1D_TX_CH0n						R27				
1D			GXBL1D_TX_CH0p						R28				
1D			"GXBL1D_RX_CH0n,GXBL1D_REFCLK0n"						P25				
1D			"GXBL1D_RX_CH0p,GXBL1D_REFCLK0p"						P26				
1D			REFCLK_GXBL1D_CHBp						R24				
1D			REFCLK_GXBL1D_CHBn						R23				
1C			REFCLK_GXBL1C_CHTp						U24				
1C			REFCLK_GXBL1C_CHTn						U23				
1C			GXBL1C_TX_CH5n						U27				
1C			GXBL1C_TX_CH5p						U28				
1C			"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n"						T25				
1C			"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p"						T26				
1C			GXBL1C_TX_CH4n						W27				
1C			GXBL1C_TX_CH4p						W28				
1C			"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n"						V25				
1C			"GXBL1C_RX_CH4p,GXBL1C_REFCLK4p"						V26				
1C			GXBL1C_TX_CH3n						AA27				
1C			GXBL1C_TX_CH3p						AA28				
1C			"GXBL1C_RX_CH3n,GXBL1C_REFCLK3n"						Y25				
1C			"GXBL1C_RX_CH3p,GXBL1C_REFCLK3p"						Y26				
1C			GXBL1C_TX_CH2n						AC27				
1C			GXBL1C_TX_CH2p						AC28				
1C			"GXBL1C_RX_CH2n,GXBL1C_REFCLK2n"						AB25				
1C			"GXBL1C_RX_CH2p,GXBL1C_REFCLK2p"						AB26				
1C			GXBL1C_TX_CH1n						AE27				
1C			GXBL1C_TX_CH1p						AE28				
1C			"GXBL1C_RX_CH1n,GXBL1C_REFCLK1n"						AD25				
1C			"GXBL1C_RX_CH1p,GXBL1C_REFCLK1p"						AD26				
1C			GXBL1C_TX_CH0n						AG27				
1C			GXBL1C_TX_CH0p						AG28				
1C			"GXBL1C_RX_CH0n,GXBL1C_REFCLK0n"						AF25				
1C			"GXBL1C_RX_CH0p,GXBL1C_REFCLK0p"						AF26				
1C			REFCLK_GXBL1C_CHBp						W24				
1C			REFCLK_GXBL1C_CHBn						W23				
2L	47	VREFB2LN0	IO			DIFFIO2L_1n		No	H16	DQ0	DQ0	DQ0	DQ0
2L	46	VREFB2LN0	IO			DIFFIO2L_1p		No	H17	DQ0	DQ0	DQ0	DQ0
2L	45	VREFB2LN0	IO			DIFFIO2L_2n		No	J19	DQSn0	DQ0	DQ0	DQ0
2L	44	VREFB2LN0	IO			DIFFIO2L_2p		No	J18	DQS0	DQ0	DQ0	DQ0
2L	43	VREFB2LN0	IO			DIFFIO2L_3n		No	K17	DQ0	DQ0	DQ0	DQ0
2L	42	VREFB2LN0	IO			DIFFIO2L_3p		No	J17	DQ0	DQ0	DQ0	DQ0
2L	41	VREFB2LN0	IO			DIFFIO2L_4n		No	F18	DQSn1	DQSn0/CQn0	DQ0	DQ0
2L	40	VREFB2LN0	IO			DIFFIO2L_4p		No	F17	DQS1	DQS0/CQ0	DQ0	DQ0
2L	39	VREFB2LN0	IO			DIFFIO2L_5n		No	H18	DQ1	DQ0	DQ0	DQ0
2L	38	VREFB2LN0	IO			DIFFIO2L_5p		No	G18	DQ1	DQ0	DQ0	DQ0
2L	37	VREFB2LN0	IO			DIFFIO2L_6n		No	G19	DQ1	DQ0	DQSn0/CQn0	DQ0
2L	36	VREFB2LN0	IO			DIFFIO2L_6p		No	G20	DQ1	DQ0	DQS0/CQ0	DQ0
2L	35	VREFB2LN0	IO			DIFFIO2L_7n		No	E21	DQ2	DQ1	DQ0	DQ0
2L	34	VREFB2LN0	IO			DIFFIO2L_7p		No	D22	DQ2	DQ1	DQ0	DQ0
2L	33	VREFB2LN0	IO			DIFFIO2L_8n		No	E23	DQSn2	DQ1	DQ0	DQ0
2L	32	VREFB2LN0	IO			DIFFIO2L_8p		No	D23	DQS2	DQ1	DQ0	DQ0
2L	31	VREFB2LN0	IO			DIFFIO2L_9n		No	F22	DQ2	DQ1	DQ0	DQ0
2L	30	VREFB2LN0	IO			DIFFIO2L_9p		No	E22	DQ2	DQ1	DQ0	DQ0
