Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	KF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1H			REFCLK_GXBL1H_CHTp						K31				
1H			REFCLK_GXBL1H_CHTn						K30				
1H			GXBL1H_TX_CH5n						A36				
1H			GXBL1H_TX_CH5p						A37				
1H			"GXBL1H_RX_CH5n,GXBL1H_REFCLK5n"						B34				
1H			"GXBL1H_RX_CH5p,GXBL1H_REFCLK5p"						B35				
1H			GXBL1H_TX_CH4n						B38				
1H			GXBL1H_TX_CH4p						B39				
1H			"GXBL1H_RX_CH4n,GXBL1H_REFCLK4n"						D34				
1H			"GXBL1H_RX_CH4p,GXBL1H_REFCLK4p"						D35				
1H			GXBL1H_TX_CH3n						C36				
1H			GXBL1H_TX_CH3p						C37				
1H			"GXBL1H_RX_CH3n,GXBL1H_REFCLK3n"						G32				
1H			"GXBL1H_RX_CH3p,GXBL1H_REFCLK3p"						G33				
1H			GXBL1H_TX_CH2n						D38				
1H			GXBL1H_TX_CH2p						D39				
1H			"GXBL1H_RX_CH2n,GXBL1H_REFCLK2n"						F34				
1H			"GXBL1H_RX_CH2p,GXBL1H_REFCLK2p"						F35				
1H			GXBL1H_TX_CH1n						E36				
1H			GXBL1H_TX_CH1p						E37				
1H			"GXBL1H_RX_CH1n,GXBL1H_REFCLK1n"						J32				
1H			"GXBL1H_RX_CH1p,GXBL1H_REFCLK1p"						J33				
1H			GXBL1H_TX_CH0n						F38				
1H			GXBL1H_TX_CH0p						F39				
1H			"GXBL1H_RX_CH0n,GXBL1H_REFCLK0n"						H34				
1H			"GXBL1H_RX_CH0p,GXBL1H_REFCLK0p"						H35				
1H			REFCLK_GXBL1H_CHBp						M31				
1H			REFCLK_GXBL1H_CHBn						M30				
1G			REFCLK_GXBL1G_CHTp						P31				
1G			REFCLK_GXBL1G_CHTn						P30				
1G			GXBL1G_TX_CH5n						G36				
1G			GXBL1G_TX_CH5p						G37				
1G			"GXBL1G_RX_CH5n,GXBL1G_REFCLK5n"						L32				
1G			"GXBL1G_RX_CH5p,GXBL1G_REFCLK5p"						L33				
1G			GXBL1G_TX_CH4n						H38				
1G			GXBL1G_TX_CH4p						H39				
1G			"GXBL1G_RX_CH4n,GXBL1G_REFCLK4n"						K34				
1G			"GXBL1G_RX_CH4p,GXBL1G_REFCLK4p"						K35				
1G			GXBL1G_TX_CH3n						J36				
1G			GXBL1G_TX_CH3p						J37				
