Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	RF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1H			GXBL1H_TX_CH2n					A32				
1H			GXBL1H_TX_CH2p					A33				
1H			"GXBL1H_RX_CH2n,GXBL1H_REFCLK2n"					B30				
1H			"GXBL1H_RX_CH2p,GXBL1H_REFCLK2p"					B31				
1H			GXBL1H_TX_CH1n					B34				
1H			GXBL1H_TX_CH1p					B35				
1H			"GXBL1H_RX_CH1n,GXBL1H_REFCLK1n"					C32				
1H			"GXBL1H_RX_CH1p,GXBL1H_REFCLK1p"					C33				
1H			GXBL1H_TX_CH0n					A36				
1H			GXBL1H_TX_CH0p					A37				
1H			"GXBL1H_RX_CH0n,GXBL1H_REFCLK0n"					E32				
1H			"GXBL1H_RX_CH0p,GXBL1H_REFCLK0p"					E33				
1H			REFCLK_GXBL1H_CHBp					L33				
1H			REFCLK_GXBL1H_CHBn					L32				
1G			REFCLK_GXBL1G_CHTp					N33				
1G			REFCLK_GXBL1G_CHTn					N32				
1G			GXBL1G_TX_CH5n					B38				
1G			GXBL1G_TX_CH5p					B39				
1G			"GXBL1G_RX_CH5n,GXBL1G_REFCLK5n"					D34				
1G			"GXBL1G_RX_CH5p,GXBL1G_REFCLK5p"					D35				
1G			GXBL1G_TX_CH4n					C36				
1G			GXBL1G_TX_CH4p					C37				
1G			"GXBL1G_RX_CH4n,GXBL1G_REFCLK4n"					F34				
1G			"GXBL1G_RX_CH4p,GXBL1G_REFCLK4p"					F35				
1G			GXBL1G_TX_CH3n					D38				
1G			GXBL1G_TX_CH3p					D39				
1G			"GXBL1G_RX_CH3n,GXBL1G_REFCLK3n"					H34				
1G			"GXBL1G_RX_CH3p,GXBL1G_REFCLK3p"					H35				
1G			GXBL1G_TX_CH2n					E36				
1G			GXBL1G_TX_CH2p					E37				
1G			"GXBL1G_RX_CH2n,GXBL1G_REFCLK2n"					K34				
1G			"GXBL1G_RX_CH2p,GXBL1G_REFCLK2p"					K35				
1G			GXBL1G_TX_CH1n					F38				
1G			GXBL1G_TX_CH1p					F39				
1G			"GXBL1G_RX_CH1n,GXBL1G_REFCLK1n"					L36				
1G			"GXBL1G_RX_CH1p,GXBL1G_REFCLK1p"					L37				
1G			GXBL1G_TX_CH0n					G36				
1G			GXBL1G_TX_CH0p					G37				
1G			"GXBL1G_RX_CH0n,GXBL1G_REFCLK0n"					M34				
1G			"GXBL1G_RX_CH0p,GXBL1G_REFCLK0p"					M35				
1G			REFCLK_GXBL1G_CHBp					R33				
1G			REFCLK_GXBL1G_CHBn					R32				
1F			REFCLK_GXBL1F_CHTp					U33				
1F			REFCLK_GXBL1F_CHTn					U32				
1F			GXBL1F_TX_CH5n					H38				
1F			GXBL1F_TX_CH5p					H39				
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"					N36				
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"					N37				
1F			GXBL1F_TX_CH4n					J36				
1F			GXBL1F_TX_CH4p					J37				
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"					P34				
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"					P35				
1F			GXBL1F_TX_CH3n					K38				
1F			GXBL1F_TX_CH3p					K39				
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"					R36				
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"					R37				
1F			GXBL1F_TX_CH2n					M38				
1F			GXBL1F_TX_CH2p					M39				
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"					T34				
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"					T35				
1F			GXBL1F_TX_CH1n					P38				
1F			GXBL1F_TX_CH1p					P39				
1F			"GXBL1F_RX_CH1n,GXBL1F_REFCLK1n"					U36				
1F			"GXBL1F_RX_CH1p,GXBL1F_REFCLK1p"					U37				
1F			GXBL1F_TX_CH0n					T38				
1F			GXBL1F_TX_CH0p					T39				
1F			"GXBL1F_RX_CH0n,GXBL1F_REFCLK0n"					V34				
1F			"GXBL1F_RX_CH0p,GXBL1F_REFCLK0p"					V35				
1F			REFCLK_GXBL1F_CHBp					W33				
1F			REFCLK_GXBL1F_CHBn					W32				
1E			REFCLK_GXBL1E_CHTp					AA33				
1E			REFCLK_GXBL1E_CHTn					AA32				
1E			GXBL1E_TX_CH5n					V38				
1E			GXBL1E_TX_CH5p					V39				
1E			"GXBL1E_RX_CH5n,GXBL1E_REFCLK5n"					W36				
1E			"GXBL1E_RX_CH5p,GXBL1E_REFCLK5p"					W37				
1E			GXBL1E_TX_CH4n					Y38				
1E			GXBL1E_TX_CH4p					Y39				
1E			"GXBL1E_RX_CH4n,GXBL1E_REFCLK4n"					Y34				
1E			"GXBL1E_RX_CH4p,GXBL1E_REFCLK4p"					Y35				
1E			GXBL1E_TX_CH3n					AB38				
1E			GXBL1E_TX_CH3p					AB39				
1E			"GXBL1E_RX_CH3n,GXBL1E_REFCLK3n"					AA36				
1E			"GXBL1E_RX_CH3p,GXBL1E_REFCLK3p"					AA37				
1E			GXBL1E_TX_CH2n					AD38				
1E			GXBL1E_TX_CH2p					AD39				
1E			"GXBL1E_RX_CH2n,GXBL1E_REFCLK2n"					AB34				
1E			"GXBL1E_RX_CH2p,GXBL1E_REFCLK2p"					AB35				
1E			GXBL1E_TX_CH1n					AF38				
1E			GXBL1E_TX_CH1p					AF39				
1E			"GXBL1E_RX_CH1n,GXBL1E_REFCLK1n"					AC36				
1E			"GXBL1E_RX_CH1p,GXBL1E_REFCLK1p"					AC37				
1E			GXBL1E_TX_CH0n					AH38				
1E			GXBL1E_TX_CH0p					AH39				
1E			"GXBL1E_RX_CH0n,GXBL1E_REFCLK0n"					AD34				
1E			"GXBL1E_RX_CH0p,GXBL1E_REFCLK0p"					AD35				
1E			REFCLK_GXBL1E_CHBp					AC33				
1E			REFCLK_GXBL1E_CHBn					AC32				
1D			REFCLK_GXBL1D_CHTp					AE33				
1D			REFCLK_GXBL1D_CHTn					AE32				
1D			GXBL1D_TX_CH5n					AK38				
1D			GXBL1D_TX_CH5p					AK39				
1D			"GXBL1D_RX_CH5n,GXBL1D_REFCLK5n"					AE36				
1D			"GXBL1D_RX_CH5p,GXBL1D_REFCLK5p"					AE37				
1D			GXBL1D_TX_CH4n					AL36				
1D			GXBL1D_TX_CH4p					AL37				
1D			"GXBL1D_RX_CH4n,GXBL1D_REFCLK4n"					AF34				
1D			"GXBL1D_RX_CH4p,GXBL1D_REFCLK4p"					AF35				
1D			GXBL1D_TX_CH3n					AM38				
