Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	NF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1F			REFCLK_GXBL1F_CHTp					T40				
1F			REFCLK_GXBL1F_CHTn					T39				
1F			GXBL1F_TX_CH5n					A41				
1F			GXBL1F_TX_CH5p					A42				
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"					B39				
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"					B40				
1F			GXBL1F_TX_CH4n					B43				
1F			GXBL1F_TX_CH4p					B44				
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"					C41				
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"					C42				
1F			GXBL1F_TX_CH3n					D43				
1F			GXBL1F_TX_CH3p					D44				
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"					D39				
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"					D40				
1F			GXBL1F_TX_CH2n					F43				
1F			GXBL1F_TX_CH2p					F44				
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"					E41				
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"					E42				
1F			GXBL1F_TX_CH1n					H43				
1F			GXBL1F_TX_CH1p					H44				
1F			"GXBL1F_RX_CH1n,GXBL1F_REFCLK1n"					G41				
1F			"GXBL1F_RX_CH1p,GXBL1F_REFCLK1p"					G42				
1F			GXBL1F_TX_CH0n					K43				
1F			GXBL1F_TX_CH0p					K44				
1F			"GXBL1F_RX_CH0n,GXBL1F_REFCLK0n"					J41				
1F			"GXBL1F_RX_CH0p,GXBL1F_REFCLK0p"					J42				
1F			REFCLK_GXBL1F_CHBp					V40				
1F			REFCLK_GXBL1F_CHBn					V39				
1E			REFCLK_GXBL1E_CHTp					Y40				
1E			REFCLK_GXBL1E_CHTn					Y39				
1E			GXBL1E_TX_CH5n					M43				
1E			GXBL1E_TX_CH5p					M44				
1E			"GXBL1E_RX_CH5n,GXBL1E_REFCLK5n"					L41				
1E			"GXBL1E_RX_CH5p,GXBL1E_REFCLK5p"					L42				
1E			GXBL1E_TX_CH4n					P43				
1E			GXBL1E_TX_CH4p					P44				
1E			"GXBL1E_RX_CH4n,GXBL1E_REFCLK4n"					N41				
1E			"GXBL1E_RX_CH4p,GXBL1E_REFCLK4p"					N42				
1E			GXBL1E_TX_CH3n					T43				
1E			GXBL1E_TX_CH3p					T44				
1E			"GXBL1E_RX_CH3n,GXBL1E_REFCLK3n"					R41				
1E			"GXBL1E_RX_CH3p,GXBL1E_REFCLK3p"					R42				
1E			GXBL1E_TX_CH2n					V43				
1E			GXBL1E_TX_CH2p					V44				
1E			"GXBL1E_RX_CH2n,GXBL1E_REFCLK2n"					U41				
1E			"GXBL1E_RX_CH2p,GXBL1E_REFCLK2p"					U42				
1E			GXBL1E_TX_CH1n					Y43				
1E			GXBL1E_TX_CH1p					Y44				
1E			"GXBL1E_RX_CH1n,GXBL1E_REFCLK1n"					W41				
1E			"GXBL1E_RX_CH1p,GXBL1E_REFCLK1p"					W42				
