Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	UF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1J			REFCLK_GXBL1J_CHTp					H36				
1J			REFCLK_GXBL1J_CHTn					H35				
1J			GXBL1J_TX_CH5n					A33				
1J			GXBL1J_TX_CH5p					A34				
1J			"GXBL1J_RX_CH5n,GXBL1J_REFCLK5n"					C33				
1J			"GXBL1J_RX_CH5p,GXBL1J_REFCLK5p"					C34				
1J			GXBL1J_TX_CH4n					A37				
1J			GXBL1J_TX_CH4p					A38				
1J			"GXBL1J_RX_CH4n,GXBL1J_REFCLK4n"					E33				
1J			"GXBL1J_RX_CH4p,GXBL1J_REFCLK4p"					E34				
1J			GXBL1J_TX_CH3n					B39				
1J			GXBL1J_TX_CH3p					B40				
1J			"GXBL1J_RX_CH3n,GXBL1J_REFCLK3n"					B35				
1J			"GXBL1J_RX_CH3p,GXBL1J_REFCLK3p"					B36				
1J			GXBL1J_TX_CH2n					A41				
1J			GXBL1J_TX_CH2p					A42				
1J			"GXBL1J_RX_CH2n,GXBL1J_REFCLK2n"					D35				
1J			"GXBL1J_RX_CH2p,GXBL1J_REFCLK2p"					D36				
1J			GXBL1J_TX_CH1n					B43				
1J			GXBL1J_TX_CH1p					B44				
1J			"GXBL1J_RX_CH1n,GXBL1J_REFCLK1n"					F35				
1J			"GXBL1J_RX_CH1p,GXBL1J_REFCLK1p"					F36				
1J			GXBL1J_TX_CH0n					C41				
1J			GXBL1J_TX_CH0p					C42				
1J			"GXBL1J_RX_CH0n,GXBL1J_REFCLK0n"					C37				
1J			"GXBL1J_RX_CH0p,GXBL1J_REFCLK0p"					C38				
1J			REFCLK_GXBL1J_CHBp					K36				
1J			REFCLK_GXBL1J_CHBn					K35				
1I			REFCLK_GXBL1I_CHTp					M36				
1I			REFCLK_GXBL1I_CHTn					M35				
1I			GXBL1I_TX_CH5n					D43				
1I			GXBL1I_TX_CH5p					D44				
1I			"GXBL1I_RX_CH5n,GXBL1I_REFCLK5n"					E37				
1I			"GXBL1I_RX_CH5p,GXBL1I_REFCLK5p"					E38				
1I			GXBL1I_TX_CH4n					E41				
1I			GXBL1I_TX_CH4p					E42				
1I			"GXBL1I_RX_CH4n,GXBL1I_REFCLK4n"					D39				
1I			"GXBL1I_RX_CH4p,GXBL1I_REFCLK4p"					D40				
1I			GXBL1I_TX_CH3n					F43				
1I			GXBL1I_TX_CH3p					F44				
1I			"GXBL1I_RX_CH3n,GXBL1I_REFCLK3n"					G37				
1I			"GXBL1I_RX_CH3p,GXBL1I_REFCLK3p"					G38				
1I			GXBL1I_TX_CH2n					G41				
1I			GXBL1I_TX_CH2p					G42				
1I			"GXBL1I_RX_CH2n,GXBL1I_REFCLK2n"					F39				
1I			"GXBL1I_RX_CH2p,GXBL1I_REFCLK2p"					F40				
1I			GXBL1I_TX_CH1n					H43				
1I			GXBL1I_TX_CH1p					H44				
1I			"GXBL1I_RX_CH1n,GXBL1I_REFCLK1n"					H39				
1I			"GXBL1I_RX_CH1p,GXBL1I_REFCLK1p"					H40				
1I			GXBL1I_TX_CH0n					J41				
1I			GXBL1I_TX_CH0p					J42				
1I			"GXBL1I_RX_CH0n,GXBL1I_REFCLK0n"					J37				
1I			"GXBL1I_RX_CH0p,GXBL1I_REFCLK0p"					J38				
1I			REFCLK_GXBL1I_CHBp					P36				
1I			REFCLK_GXBL1I_CHBn					P35				
1H			REFCLK_GXBL1H_CHTp					T36				
1H			REFCLK_GXBL1H_CHTn					T35				
1H			GXBL1H_TX_CH5n					K43				
1H			GXBL1H_TX_CH5p					K44				
1H			"GXBL1H_RX_CH5n,GXBL1H_REFCLK5n"					K39				
1H			"GXBL1H_RX_CH5p,GXBL1H_REFCLK5p"					K40				
1H			GXBL1H_TX_CH4n					L41				
1H			GXBL1H_TX_CH4p					L42				
1H			"GXBL1H_RX_CH4n,GXBL1H_REFCLK4n"					L37				
1H			"GXBL1H_RX_CH4p,GXBL1H_REFCLK4p"					L38				
1H			GXBL1H_TX_CH3n					M43				
1H			GXBL1H_TX_CH3p					M44				
1H			"GXBL1H_RX_CH3n,GXBL1H_REFCLK3n"					M39				
1H			"GXBL1H_RX_CH3p,GXBL1H_REFCLK3p"					M40				
1H			GXBL1H_TX_CH2n					N41				
1H			GXBL1H_TX_CH2p					N42				
1H			"GXBL1H_RX_CH2n,GXBL1H_REFCLK2n"					N37				
1H			"GXBL1H_RX_CH2p,GXBL1H_REFCLK2p"					N38				
1H			GXBL1H_TX_CH1n					P43				
1H			GXBL1H_TX_CH1p					P44				
1H			"GXBL1H_RX_CH1n,GXBL1H_REFCLK1n"					P39				
1H			"GXBL1H_RX_CH1p,GXBL1H_REFCLK1p"					P40				
1H			GXBL1H_TX_CH0n					R41				
1H			GXBL1H_TX_CH0p					R42				
1H			"GXBL1H_RX_CH0n,GXBL1H_REFCLK0n"					R37				
1H			"GXBL1H_RX_CH0p,GXBL1H_REFCLK0p"					R38				
1H			REFCLK_GXBL1H_CHBp					V36				
1H			REFCLK_GXBL1H_CHBn					V35				
1G			REFCLK_GXBL1G_CHTp					Y36				
1G			REFCLK_GXBL1G_CHTn					Y35				
1G			GXBL1G_TX_CH5n					T43				
1G			GXBL1G_TX_CH5p					T44				
1G			"GXBL1G_RX_CH5n,GXBL1G_REFCLK5n"					T39				
1G			"GXBL1G_RX_CH5p,GXBL1G_REFCLK5p"					T40				
1G			GXBL1G_TX_CH4n					U41				
1G			GXBL1G_TX_CH4p					U42				
1G			"GXBL1G_RX_CH4n,GXBL1G_REFCLK4n"					U37				
1G			"GXBL1G_RX_CH4p,GXBL1G_REFCLK4p"					U38				
1G			GXBL1G_TX_CH3n					V43				
1G			GXBL1G_TX_CH3p					V44				
1G			"GXBL1G_RX_CH3n,GXBL1G_REFCLK3n"					V39				
1G			"GXBL1G_RX_CH3p,GXBL1G_REFCLK3p"					V40				
1G			GXBL1G_TX_CH2n					W41				
1G			GXBL1G_TX_CH2p					W42				
1G			"GXBL1G_RX_CH2n,GXBL1G_REFCLK2n"					W37				
1G			"GXBL1G_RX_CH2p,GXBL1G_REFCLK2p"					W38				
1G			GXBL1G_TX_CH1n					Y43				
1G			GXBL1G_TX_CH1p					Y44				
1G			"GXBL1G_RX_CH1n,GXBL1G_REFCLK1n"					Y39				
1G			"GXBL1G_RX_CH1p,GXBL1G_REFCLK1p"					Y40				
1G			GXBL1G_TX_CH0n					AA41				
1G			GXBL1G_TX_CH0p					AA42				
1G			"GXBL1G_RX_CH0n,GXBL1G_REFCLK0n"					AA37				
1G			"GXBL1G_RX_CH0p,GXBL1G_REFCLK0p"					AA38				
1G			REFCLK_GXBL1G_CHBp					AB36				
1G			REFCLK_GXBL1G_CHBn					AB35				
1F			REFCLK_GXBL1F_CHTp					AD36				
1F			REFCLK_GXBL1F_CHTn					AD35				
1F			GXBL1F_TX_CH5n					AB43				
1F			GXBL1F_TX_CH5p					AB44				
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"					AB39				
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"					AB40				
1F			GXBL1F_TX_CH4n					AC41				
1F			GXBL1F_TX_CH4p					AC42				
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"					AC37				
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"					AC38				
1F			GXBL1F_TX_CH3n					AD43				
1F			GXBL1F_TX_CH3p					AD44				
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"					AD39				
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"					AD40				
1F			GXBL1F_TX_CH2n					AE41				
1F			GXBL1F_TX_CH2p					AE42				
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"					AE37				
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"					AE38				
1F			GXBL1F_TX_CH1n					AF43				
1F			GXBL1F_TX_CH1p					AF44				
1F			"GXBL1F_RX_CH1n,GXBL1F_REFCLK1n"					AF39				
1F			"GXBL1F_RX_CH1p,GXBL1F_REFCLK1p"					AF40				
1F			GXBL1F_TX_CH0n					AG41				
1F			GXBL1F_TX_CH0p					AG42				
1F			"GXBL1F_RX_CH0n,GXBL1F_REFCLK0n"					AG37				
1F			"GXBL1F_RX_CH0p,GXBL1F_REFCLK0p"					AG38				
1F			REFCLK_GXBL1F_CHBp					AF36				
1F			REFCLK_GXBL1F_CHBn					AF35				
1E			REFCLK_GXBL1E_CHTp					AH36				
1E			REFCLK_GXBL1E_CHTn					AH35				
1E			GXBL1E_TX_CH5n					AH43				
1E			GXBL1E_TX_CH5p					AH44				
1E			"GXBL1E_RX_CH5n,GXBL1E_REFCLK5n"					AH39				
1E			"GXBL1E_RX_CH5p,GXBL1E_REFCLK5p"					AH40				
1E			GXBL1E_TX_CH4n					AJ41				
1E			GXBL1E_TX_CH4p					AJ42				
1E			"GXBL1E_RX_CH4n,GXBL1E_REFCLK4n"					AJ37				
1E			"GXBL1E_RX_CH4p,GXBL1E_REFCLK4p"					AJ38				
1E			GXBL1E_TX_CH3n					AK43				
1E			GXBL1E_TX_CH3p					AK44				
1E			"GXBL1E_RX_CH3n,GXBL1E_REFCLK3n"					AK39				
1E			"GXBL1E_RX_CH3p,GXBL1E_REFCLK3p"					AK40				
1E			GXBL1E_TX_CH2n					AL41				
1E			GXBL1E_TX_CH2p					AL42				
1E			"GXBL1E_RX_CH2n,GXBL1E_REFCLK2n"					AL37				
1E			"GXBL1E_RX_CH2p,GXBL1E_REFCLK2p"					AL38				
1E			GXBL1E_TX_CH1n					AM43				
1E			GXBL1E_TX_CH1p					AM44				
1E			"GXBL1E_RX_CH1n,GXBL1E_REFCLK1n"					AM39				
1E			"GXBL1E_RX_CH1p,GXBL1E_REFCLK1p"					AM40				
1E			GXBL1E_TX_CH0n					AN41				
1E			GXBL1E_TX_CH0p					AN42				
1E			"GXBL1E_RX_CH0n,GXBL1E_REFCLK0n"					AN37				
1E			"GXBL1E_RX_CH0p,GXBL1E_REFCLK0p"					AN38				
1E			REFCLK_GXBL1E_CHBp					AK36				
1E			REFCLK_GXBL1E_CHBn					AK35				
1D			REFCLK_GXBL1D_CHTp					AM36				
1D			REFCLK_GXBL1D_CHTn					AM35				
1D			GXBL1D_TX_CH5n					AP43				
1D			GXBL1D_TX_CH5p					AP44				
1D			"GXBL1D_RX_CH5n,GXBL1D_REFCLK5n"					AP39				
1D			"GXBL1D_RX_CH5p,GXBL1D_REFCLK5p"					AP40				
1D			GXBL1D_TX_CH4n					AR41				
1D			GXBL1D_TX_CH4p					AR42				
1D			"GXBL1D_RX_CH4n,GXBL1D_REFCLK4n"					AR37				
1D			"GXBL1D_RX_CH4p,GXBL1D_REFCLK4p"					AR38				
1D			GXBL1D_TX_CH3n					AT43				
1D			GXBL1D_TX_CH3p					AT44				
1D			"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n"					AT39				
1D			"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p"					AT40				
1D			GXBL1D_TX_CH2n					AU41				
1D			GXBL1D_TX_CH2p					AU42				
1D			"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n"					AU37				
1D			"GXBL1D_RX_CH2p,GXBL1D_REFCLK2p"					AU38				
1D			GXBL1D_TX_CH1n					AV43				
1D			GXBL1D_TX_CH1p					AV44				
1D			"GXBL1D_RX_CH1n,GXBL1D_REFCLK1n"					AV39				
1D			"GXBL1D_RX_CH1p,GXBL1D_REFCLK1p"					AV40				
1D			GXBL1D_TX_CH0n					AW41				
1D			GXBL1D_TX_CH0p					AW42				
1D			"GXBL1D_RX_CH0n,GXBL1D_REFCLK0n"					AW37				
1D			"GXBL1D_RX_CH0p,GXBL1D_REFCLK0p"					AW38				
1D			REFCLK_GXBL1D_CHBp					AP36				
1D			REFCLK_GXBL1D_CHBn					AP35				
1C			REFCLK_GXBL1C_CHTp					AT36				
1C			REFCLK_GXBL1C_CHTn					AT35				
1C			GXBL1C_TX_CH5n					AY43				
1C			GXBL1C_TX_CH5p					AY44				
1C			"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n"					AY39				
1C			"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p"					AY40				
1C			GXBL1C_TX_CH4n					BA41				
1C			GXBL1C_TX_CH4p					BA42				
1C			"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n"					BB39				
1C			"GXBL1C_RX_CH4p,GXBL1C_REFCLK4p"					BB40				
1C			GXBL1C_TX_CH3n					BB43				
1C			GXBL1C_TX_CH3p					BB44				
1C			"GXBL1C_RX_CH3n,GXBL1C_REFCLK3n"					BA37				
1C			"GXBL1C_RX_CH3p,GXBL1C_REFCLK3p"					BA38				
1C			GXBL1C_TX_CH2n					BC41				
1C			GXBL1C_TX_CH2p					BC42				
1C			"GXBL1C_RX_CH2n,GXBL1C_REFCLK2n"					AY35				
1C			"GXBL1C_RX_CH2p,GXBL1C_REFCLK2p"					AY36				
1C			GXBL1C_TX_CH1n					BD39				
1C			GXBL1C_TX_CH1p					BD40				
1C			"GXBL1C_RX_CH1n,GXBL1C_REFCLK1n"					BC37				
1C			"GXBL1C_RX_CH1p,GXBL1C_REFCLK1p"					BC38				
1C			GXBL1C_TX_CH0n					BD35				
1C			GXBL1C_TX_CH0p					BD36				
1C			"GXBL1C_RX_CH0n,GXBL1C_REFCLK0n"					BB35				
1C			"GXBL1C_RX_CH0p,GXBL1C_REFCLK0p"					BB36				
1C			REFCLK_GXBL1C_CHBp					AV36				
1C			REFCLK_GXBL1C_CHBn					AV35				
2L	47	VREFB2LN0	IO			LVDS2L_1n	No	E22	DQ0	DQ0	DQ0	DQ0
2L	46	VREFB2LN0	IO			LVDS2L_1p	No	D22	DQ0	DQ0	DQ0	DQ0
2L	45	VREFB2LN0	IO			LVDS2L_2n	Yes	B21	DQSn0	DQ0	DQ0	DQ0
2L	44	VREFB2LN0	IO			LVDS2L_2p	Yes	A21	DQS0	DQ0	DQ0	DQ0
2L	43	VREFB2LN0	IO			LVDS2L_3n	No	A22	DQ0	DQ0	DQ0	DQ0
2L	42	VREFB2LN0	IO			LVDS2L_3p	No	A23	DQ0	DQ0	DQ0	DQ0
2L	41	VREFB2LN0	IO			LVDS2L_4n	Yes	D21	DQSn1	DQSn0/CQn0	DQ0	DQ0
2L	40	VREFB2LN0	IO			LVDS2L_4p	Yes	C21	DQS1	DQS0/CQ0	DQ0	DQ0
2L	39	VREFB2LN0	IO			LVDS2L_5n	No	B23	DQ1	DQ0	DQ0	DQ0
2L	38	VREFB2LN0	IO			LVDS2L_5p	No	C22	DQ1	DQ0	DQ0	DQ0
2L	37	VREFB2LN0	IO			LVDS2L_6n	Yes	C24	DQ1	DQ0	DQSn0/CQn0	DQ0
2L	36	VREFB2LN0	IO			LVDS2L_6p	Yes	C23	DQ1	DQ0	DQS0/CQ0	DQ0
2L	35	VREFB2LN0	IO			LVDS2L_7n	No	L23	DQ2	DQ1	DQ0	DQ0
2L	34	VREFB2LN0	IO			LVDS2L_7p	No	K23	DQ2	DQ1	DQ0	DQ0
2L	33	VREFB2LN0	IO			LVDS2L_8n	Yes	F23	DQSn2	DQ1	DQ0	DQ0
2L	32	VREFB2LN0	IO			LVDS2L_8p	Yes	E23	DQS2	DQ1	DQ0	DQ0
2L	31	VREFB2LN0	IO			LVDS2L_9n	No	H23	DQ2	DQ1	DQ0	DQ0
2L	30	VREFB2LN0	IO			LVDS2L_9p	No	G23	DQ2	DQ1	DQ0	DQ0
2L	29	VREFB2LN0	IO	PLL_2L_CLKOUT1n		LVDS2L_10n	Yes	G24	DQSn3	DQSn1/CQn1	DQ0	DQ0
2L	28	VREFB2LN0	IO	"PLL_2L_CLKOUT1p,PLL_2L_CLKOUT1,PLL_2L_FB1"		LVDS2L_10p	Yes	H24	DQS3	DQS1/CQ1	DQ0	DQ0
2L	27	VREFB2LN0	IO			LVDS2L_11n	No	J24	DQ3	DQ1	DQ0	DQ0
2L	26	VREFB2LN0	IO	RZQ_2L		LVDS2L_11p	No	K24	DQ3	DQ1	DQ0	DQ0
2L	25	VREFB2LN0	IO	CLK_2L_1n		LVDS2L_12n	Yes	N23	DQ3	DQ1	DQ0	DQ0
2L	24	VREFB2LN0	IO	CLK_2L_1p		LVDS2L_12p	Yes	M23	DQ3	DQ1	DQ0	DQ0
2L	23	VREFB2LN0	IO	CLK_2L_0n		LVDS2L_13n	No	M24	DQ4	DQ2	DQ1	DQ0
2L	22	VREFB2LN0	IO	CLK_2L_0p		LVDS2L_13p	No	M25	DQ4	DQ2	DQ1	DQ0
2L	21	VREFB2LN0	IO			LVDS2L_14n	Yes	T23	DQSn4	DQ2	DQ1	DQSn0/CQn0
2L	20	VREFB2LN0	IO			LVDS2L_14p	Yes	R23	DQS4	DQ2	DQ1	DQS0/CQ0
2L	19	VREFB2LN0	IO	PLL_2L_CLKOUT0n		LVDS2L_15n	No	L25	DQ4	DQ2	DQ1	DQ0
2L	18	VREFB2LN0	IO	"PLL_2L_CLKOUT0p,PLL_2L_CLKOUT0,PLL_2L_FB0"		LVDS2L_15p	No	L26	DQ4	DQ2	DQ1	DQ0
2L	17	VREFB2LN0	IO			LVDS2L_16n	Yes	P25	DQSn5	DQSn2/CQn2	DQ1	DQ0
2L	16	VREFB2LN0	IO			LVDS2L_16p	Yes	N24	DQS5	DQS2/CQ2	DQ1	DQ0
2L	15	VREFB2LN0	IO			LVDS2L_17n	No	P24	DQ5	DQ2	DQ1	DQ0
2L	14	VREFB2LN0	IO			LVDS2L_17p	No	R24	DQ5	DQ2	DQ1	DQ0
2L	13	VREFB2LN0	IO			LVDS2L_18n	Yes	T26	DQ5	DQ2	DQSn1/CQn1	DQ0
2L	12	VREFB2LN0	IO			LVDS2L_18p	Yes	R25	DQ5	DQ2	DQS1/CQ1	DQ0
2L	11	VREFB2LN0	IO			LVDS2L_19n	No	E24	DQ6	DQ3	DQ1	DQ0
2L	10	VREFB2LN0	IO			LVDS2L_19p	No	D24	DQ6	DQ3	DQ1	DQ0
2L	9	VREFB2LN0	IO			LVDS2L_20n	Yes	J25	DQSn6	DQ3	DQ1	DQ0
2L	8	VREFB2LN0	IO			LVDS2L_20p	Yes	K25	DQS6	DQ3	DQ1	DQ0
2L	7	VREFB2LN0	IO			LVDS2L_21n	No	E25	DQ6	DQ3	DQ1	DQ0
2L	6	VREFB2LN0	IO			LVDS2L_21p	No	D25	DQ6	DQ3	DQ1	DQ0
2L	5	VREFB2LN0	IO			LVDS2L_22n	Yes	B25	DQSn7	DQSn3/CQn3	DQ1	DQ0
2L	4	VREFB2LN0	IO			LVDS2L_22p	Yes	A26	DQS7	DQS3/CQ3	DQ1	DQ0
2L	3	VREFB2LN0	IO			LVDS2L_23n	No	F25	DQ7	DQ3	DQ1	DQ0
2L	2	VREFB2LN0	IO			LVDS2L_23p	No	G25	DQ7	DQ3	DQ1	DQ0
2L	1	VREFB2LN0	IO			LVDS2L_24n	Yes	B24	DQ7	DQ3	DQ1	DQ0
2L	0	VREFB2LN0	IO			LVDS2L_24p	Yes	A25	DQ7	DQ3	DQ1	DQ0
2K	47	VREFB2KN0	IO			LVDS2K_1n	No	J26	DQ8	DQ4	DQ2	DQ1
2K	46	VREFB2KN0	IO			LVDS2K_1p	No	K27	DQ8	DQ4	DQ2	DQ1
2K	45	VREFB2KN0	IO			LVDS2K_2n	Yes	C26	DQSn8	DQ4	DQ2	DQ1
2K	44	VREFB2KN0	IO			LVDS2K_2p	Yes	D26	DQS8	DQ4	DQ2	DQ1
2K	43	VREFB2KN0	IO			LVDS2K_3n	No	F26	DQ8	DQ4	DQ2	DQ1
2K	42	VREFB2KN0	IO			LVDS2K_3p	No	E27	DQ8	DQ4	DQ2	DQ1
2K	41	VREFB2KN0	IO			LVDS2K_4n	Yes	P26	DQSn9	DQSn4/CQn4	DQ2	DQ1
2K	40	VREFB2KN0	IO			LVDS2K_4p	Yes	R27	DQS9	DQS4/CQ4	DQ2	DQ1
2K	39	VREFB2KN0	IO			LVDS2K_5n	No	H26	DQ9	DQ4	DQ2	DQ1
2K	38	VREFB2KN0	IO			LVDS2K_5p	No	G26	DQ9	DQ4	DQ2	DQ1
2K	37	VREFB2KN0	IO			LVDS2K_6n	Yes	N26	DQ9	DQ4	DQSn2/CQn2	DQ1
2K	36	VREFB2KN0	IO			LVDS2K_6p	Yes	M26	DQ9	DQ4	DQS2/CQ2	DQ1
2K	35	VREFB2KN0	IO			LVDS2K_7n	No	B26	DQ10	DQ5	DQ2	DQ1
2K	34	VREFB2KN0	IO			LVDS2K_7p	No	A27	DQ10	DQ5	DQ2	DQ1
2K	33	VREFB2KN0	IO			LVDS2K_8n	Yes	C27	DQSn10	DQ5	DQ2	DQ1
2K	32	VREFB2KN0	IO			LVDS2K_8p	Yes	D27	DQS10	DQ5	DQ2	DQ1
2K	31	VREFB2KN0	IO			LVDS2K_9n	No	G28	DQ10	DQ5	DQ2	DQ1
2K	30	VREFB2KN0	IO			LVDS2K_9p	No	F28	DQ10	DQ5	DQ2	DQ1
2K	29	VREFB2KN0	IO	PLL_2K_CLKOUT1n		LVDS2K_10n	Yes	F27	DQSn11	DQSn5/CQn5	DQ2	DQ1
2K	28	VREFB2KN0	IO	"PLL_2K_CLKOUT1p,PLL_2K_CLKOUT1,PLL_2K_FB1"		LVDS2K_10p	Yes	E28	DQS11	DQS5/CQ5	DQ2	DQ1
2K	27	VREFB2KN0	IO			LVDS2K_11n	No	H27	DQ11	DQ5	DQ2	DQ1
2K	26	VREFB2KN0	IO	RZQ_2K		LVDS2K_11p	No	J27	DQ11	DQ5	DQ2	DQ1
2K	25	VREFB2KN0	IO	CLK_2K_1n		LVDS2K_12n	Yes	H28	DQ11	DQ5	DQ2	DQ1
2K	24	VREFB2KN0	IO	CLK_2K_1p		LVDS2K_12p	Yes	J29	DQ11	DQ5	DQ2	DQ1
2K	23	VREFB2KN0	IO	CLK_2K_0n		LVDS2K_13n	No	A28	DQ12	DQ6	DQ3	DQ1
2K	22	VREFB2KN0	IO	CLK_2K_0p		LVDS2K_13p	No	B28	DQ12	DQ6	DQ3	DQ1
2K	21	VREFB2KN0	IO			LVDS2K_14n	Yes	D30	DQSn12	DQ6	DQ3	DQSn1/CQn1
2K	20	VREFB2KN0	IO			LVDS2K_14p	Yes	E30	DQS12	DQ6	DQ3	DQS1/CQ1
2K	19	VREFB2KN0	IO	PLL_2K_CLKOUT0n		LVDS2K_15n	No	C28	DQ12	DQ6	DQ3	DQ1
2K	18	VREFB2KN0	IO	"PLL_2K_CLKOUT0p,PLL_2K_CLKOUT0,PLL_2K_FB0"		LVDS2K_15p	No	C29	DQ12	DQ6	DQ3	DQ1
2K	17	VREFB2KN0	IO			LVDS2K_16n	Yes	E29	DQSn13	DQSn6/CQn6	DQ3	DQ1
2K	16	VREFB2KN0	IO			LVDS2K_16p	Yes	D29	DQS13	DQS6/CQ6	DQ3	DQ1
2K	15	VREFB2KN0	IO			LVDS2K_17n	No	G29	DQ13	DQ6	DQ3	DQ1
2K	14	VREFB2KN0	IO			LVDS2K_17p	No	H29	DQ13	DQ6	DQ3	DQ1
