"Pin Information for the Arria® GX EP1AGX50C/D Device Version 1.4"												
												
												
Bank Number	VREF Group	Pin Name/Function	Optional Function(s)	Configuration Function	EP1AGX50DF1152	EP1AGX50DF780	EP1AGX50CF484	x8/x9 Mode		x16/x18 Mode		x36 Mode
								DQ group for DQS mode (F1152)	"DQ group for DQS mode (F780, F484) (1)"	DQ group for DQS mode (F1152)	"DQ group for DQS mode (F780, F484) (1)"	DQ group for DQS mode (F1152)
		VCCD_PLL7			K25							
		VCCA_PLL7			J26							
		GNDA_PLL7			K26							
		GNDA_PLL7			J25							
B2	VREFB2N0	FPLL7CLKp	INPUT		C34							
B2	VREFB2N0	FPLL7CLKn	INPUT		C33							
B2	VREFB2N0	IO	DIFFIO_TX41p		J28							
B2	VREFB2N0	IO	DIFFIO_TX41n		K27							
B2	VREFB2N0	IO	DIFFIO_RX40p		E34							
B2	VREFB2N0	IO	DIFFIO_RX40n		D34							
B2	VREFB2N0	IO	DIFFIO_TX40p		J30							
B2	VREFB2N0	IO	DIFFIO_TX40n		J29							
B2	VREFB2N0	IO	DIFFIO_RX39p		F32							
B2	VREFB2N0	IO	DIFFIO_RX39n		F31							
B2	VREFB2N0	IO	DIFFIO_TX39p		K30							
B2	VREFB2N0	IO	DIFFIO_TX39n		K29							
B2	VREFB2N0	VREFB2N0	VREFB2N0		R30	T21	J18					
B2	VREFB2N0	IO	DIFFIO_RX38p		F34							
B2	VREFB2N0	IO	DIFFIO_RX38n		F33							
B2	VREFB2N0	IO	DIFFIO_TX38p		L26							
B2	VREFB2N0	IO	DIFFIO_TX38n		L25							
B2	VREFB2N0	IO	DIFFIO_RX37p		G33							
B2	VREFB2N0	IO	DIFFIO_RX37n		G32							
B2	VREFB2N0	IO	DIFFIO_TX37p		M26							
B2	VREFB2N0	IO	DIFFIO_TX37n		M25							
B2	VREFB2N0	IO	DIFFIO_RX36p		H32	C28	B20					
B2	VREFB2N0	IO	DIFFIO_RX36n		H31	C27	B19					
B2	VREFB2N0	IO	DIFFIO_TX36p		K28	H23	D19					
B2	VREFB2N0	IO	DIFFIO_TX36n		L28	H22	D18					
B2	VREFB2N0	IO	DIFFIO_RX35p		G34	D28	A17					
B2	VREFB2N0	IO	DIFFIO_RX35n		H34	D27	B17					
B2	VREFB2N0	IO	DIFFIO_TX35p		L29	F24	C20					
B2	VREFB2N0	IO	DIFFIO_TX35n		M29	F23	C19					
B2	VREFB2N1	IO	DIFFIO_RX34p		J32	F27	A19					
B2	VREFB2N1	IO	DIFFIO_RX34n		J31	F26	A18					
B2	VREFB2N1	IO	DIFFIO_TX34p		M28	G24	D20					
B2	VREFB2N1	IO	DIFFIO_TX34n		M27	G23	E20					
B2	VREFB2N1	IO	DIFFIO_RX33p		J34	E28	A21					
B2	VREFB2N1	IO	DIFFIO_RX33n		J33	F28	A20					
B2	VREFB2N1	IO	DIFFIO_TX33p		N27	E26	F20					
B2	VREFB2N1	IO	DIFFIO_TX33n		N26	E25	F19					
B2	VREFB2N1	IO	DIFFIO_RX32p		K33	G28	B22					
B2	VREFB2N1	IO	DIFFIO_RX32n		K32	G27	A22					
B2	VREFB2N1	IO	DIFFIO_TX32p		N25	K24	G19					
B2	VREFB2N1	IO	DIFFIO_TX32n		N24	J23	G18					
B2	VREFB2N1	VREFB2N1	VREFB2N1		M30	M23	H19					
B2	VREFB2N1	IO	DIFFIO_RX31p		L32	J27	C22					
B2	VREFB2N1	IO	DIFFIO_RX31n		L31	J26	C21					
B2	VREFB2N1	IO	DIFFIO_TX31p		N23	K22	F18					
B2	VREFB2N1	IO	DIFFIO_TX31n		P23	K21	F17					
B2	VREFB2N1	IO	DIFFIO_RX30p		L34	H28	D22					
B2	VREFB2N1	IO	DIFFIO_RX30n		K34	J28	D21					
B2	VREFB2N1	IO	DIFFIO_TX30p		N29	K23	G17					
B2	VREFB2N1	IO	DIFFIO_TX30n		N28	L23	G16					
B2	VREFB2N1	IO	DIFFIO_RX29p		M32	L26	E22					
B2	VREFB2N1	IO	DIFFIO_RX29n		M31	L25	F22					
B2	VREFB2N1	IO	DIFFIO_TX29p		P29	G26	H16					
B2	VREFB2N1	IO	DIFFIO_TX29n		P28	G25	J16					
B2	VREFB2N1	IO	DIFFIO_RX28p		M34	K28	F21					
B2	VREFB2N1	IO	DIFFIO_RX28n		M33	K27	G21					
B2	VREFB2N1	IO	DIFFIO_TX28p		R29	M22	K15					
B2	VREFB2N1	IO	DIFFIO_TX28n		R28	M21	K14					
B2	VREFB2N2	IO	DIFFIO_RX27p		N31	M27	G20					
B2	VREFB2N2	IO	DIFFIO_RX27n		N30	M26	H20					
B2	VREFB2N2	IO	DIFFIO_TX27p		R23	J25	J17					
B2	VREFB2N2	IO	DIFFIO_TX27n		T23	J24	K16					
B2	VREFB2N2	IO	DIFFIO_RX26p		N33	L28	G22					
B2	VREFB2N2	IO	DIFFIO_RX26n		N32	M28	H22					
B2	VREFB2N2	IO	DIFFIO_TX26p		T29	H26	L16					
B2	VREFB2N2	IO	DIFFIO_TX26n		T28	H25	L15					
B2	VREFB2N2	IO	DIFFIO_RX25p		P32	N28	J22					
B2	VREFB2N2	IO	DIFFIO_RX25n		P31	P28	J21					
B2	VREFB2N2	IO	DIFFIO_TX25p		U24	K26	M14					
B2	VREFB2N2	IO	DIFFIO_TX25n		U23	K25	N14					
B2	VREFB2N2	IO	DIFFIO_RX24p		N34	N26	J20					
B2	VREFB2N2	IO	DIFFIO_RX24n		P34	N25	J19					
B2	VREFB2N2	IO	DIFFIO_TX24p		U31	M25	M16					
B2	VREFB2N2	IO	DIFFIO_TX24n		U30	M24	M15					
B2	VREFB2N2	VREFB2N2	VREFB2N2		K31	F25	E19					
B2	VREFB2N2	IO	DIFFIO_RX23p		R32	P27	K22					
B2	VREFB2N2	IO	DIFFIO_RX23n		R31	P26	K21					
B2	VREFB2N2	IO	DIFFIO_TX23p		U29	P25	K20					
B2	VREFB2N2	IO	DIFFIO_TX23n		U28	P24	K19					
B2	VREFB2N2	IO	DIFFIO_RX22p		R34	R28	L22					
B2	VREFB2N2	IO	DIFFIO_RX22n		R33	T28	L21					
B2	VREFB2N2	IO	DIFFIO_TX22p		W29	M20	N16					
B2	VREFB2N2	IO	DIFFIO_TX22n		V29	N20	N15					
B2	VREFB2N2	IO	DIFFIO_RX21p		T32	T27	L20					
B2	VREFB2N2	IO	DIFFIO_RX21n		T31	T26	L19					
B2	VREFB2N2	IO	DIFFIO_TX21p		U27	R21	P16					
