"Pin Information for the Arria® GX EP1AGX90E Device Version 1.3   "								
								
								
Bank Number	VREF Group	Pin Name/Function	Optional Function(s)	Configuration Function	EP1AGX90EF1152  	"x8/x9
Mode"	"x16/x18
Mode"	"x32/x36
Mode"
						DQ group for DQS mode	DQ group for DQS mode 	DQ group for DQS mode 
		VCCD_PLL7			K25			
		VCCA_PLL7			J26			
		GNDA_PLL7			K26			
		GNDA_PLL7			J25			
B2	VREFB2N0	FPLL7CLKp	INPUT		C34			
B2	VREFB2N0	FPLL7CLKn	INPUT		C33			
B2	VREFB2N0	VREFB2N0	VREFB2N0		R30			
B2	VREFB2N0	IO	DIFFIO_TX51p		F30			
B2	VREFB2N0	IO	DIFFIO_TX51n		G31			
B2	VREFB2N0	IO	DIFFIO_RX50p		D33			
B2	VREFB2N0	IO	DIFFIO_RX50n		D32			
B2	VREFB2N0	IO	DIFFIO_TX50p		H29			
B2	VREFB2N0	IO	DIFFIO_TX50n		G30			
B2	VREFB2N0	IO	DIFFIO_RX49p		E32			
B2	VREFB2N0	IO	DIFFIO_RX49n		E31			
B2	VREFB2N0	IO	DIFFIO_TX49p		J28			
B2	VREFB2N0	IO	DIFFIO_TX49n		K27			
B2	VREFB2N1	IO	DIFFIO_RX48p		E34			
B2	VREFB2N1	IO	DIFFIO_RX48n		D34			
B2	VREFB2N1	IO	DIFFIO_TX48p		J30			
B2	VREFB2N1	IO	DIFFIO_TX48n		J29			
B2	VREFB2N1	IO	DIFFIO_RX47p		F32			
B2	VREFB2N1	IO	DIFFIO_RX47n		F31			
B2	VREFB2N1	IO	DIFFIO_TX47p		K30			
B2	VREFB2N1	IO	DIFFIO_TX47n		K29			
B2	VREFB2N1	IO	DIFFIO_RX46p		F34			
B2	VREFB2N1	IO	DIFFIO_RX46n		F33			
B2	VREFB2N1	IO	DIFFIO_TX46p		L26			
B2	VREFB2N1	IO	DIFFIO_TX46n		L25			
B2	VREFB2N1	IO	DIFFIO_RX45p		G33			
B2	VREFB2N1	IO	DIFFIO_RX45n		G32			
B2	VREFB2N1	IO	DIFFIO_TX45p		M26			
B2	VREFB2N1	IO	DIFFIO_TX45n		M25			
B2	VREFB2N1	IO	DIFFIO_RX44p		H32			
B2	VREFB2N1	IO	DIFFIO_RX44n		H31			
B2	VREFB2N1	IO	DIFFIO_TX44p		K28			
B2	VREFB2N1	IO	DIFFIO_TX44n		L28			
B2	VREFB2N1	VREFB2N1	VREFB2N1		M30			
B2	VREFB2N1	IO	DIFFIO_RX43p		G34			
B2	VREFB2N1	IO	DIFFIO_RX43n		H34			
B2	VREFB2N1	IO	DIFFIO_TX43p		L29			
B2	VREFB2N1	IO	DIFFIO_TX43n		M29			
B2	VREFB2N1	IO	DIFFIO_RX42p		J32			
B2	VREFB2N1	IO	DIFFIO_RX42n		J31			
B2	VREFB2N1	IO	DIFFIO_TX42p		M28			
B2	VREFB2N1	IO	DIFFIO_TX42n		M27			
B2	VREFB2N1	IO	DIFFIO_RX41p		J34			
B2	VREFB2N1	IO	DIFFIO_RX41n		J33			
B2	VREFB2N1	IO	DIFFIO_TX41p		N27			
B2	VREFB2N1	IO	DIFFIO_TX41n		N26			
B2	VREFB2N1	IO	DIFFIO_RX40p		K33			
B2	VREFB2N1	IO	DIFFIO_RX40n		K32			
B2	VREFB2N1	IO	DIFFIO_TX40p		N25			
B2	VREFB2N1	IO	DIFFIO_TX40n		N24			
B2	VREFB2N1	IO	DIFFIO_RX39p		L32			
B2	VREFB2N1	IO	DIFFIO_RX39n		L31			
B2	VREFB2N1	IO	DIFFIO_TX39p		N23			
B2	VREFB2N1	IO	DIFFIO_TX39n		P23			
B2	VREFB2N2	IO	DIFFIO_RX38p		L34			
B2	VREFB2N2	IO	DIFFIO_RX38n		K34			
B2	VREFB2N2	IO	DIFFIO_TX38p		N29			
B2	VREFB2N2	IO	DIFFIO_TX38n		N28			
B2	VREFB2N2	IO	DIFFIO_RX37p		M32			
B2	VREFB2N2	IO	DIFFIO_RX37n		M31			
B2	VREFB2N2	IO	DIFFIO_TX37p		P29			
B2	VREFB2N2	IO	DIFFIO_TX37n		P28			
B2	VREFB2N2	IO	DIFFIO_RX36p		M34			
B2	VREFB2N2	IO	DIFFIO_RX36n		M33			
B2	VREFB2N2	IO	DIFFIO_TX36p		R29			
B2	VREFB2N2	IO	DIFFIO_TX36n		R28			
B2	VREFB2N2	IO	DIFFIO_RX35p		N31			
B2	VREFB2N2	IO	DIFFIO_RX35n		N30			
B2	VREFB2N2	IO	DIFFIO_TX35p		R23			
B2	VREFB2N2	IO	DIFFIO_TX35n		T23			
B2	VREFB2N2	IO	DIFFIO_RX34p		N33			
B2	VREFB2N2	IO	DIFFIO_RX34n		N32			
B2	VREFB2N2	IO	DIFFIO_TX34p		T29			
B2	VREFB2N2	IO	DIFFIO_TX34n		T28			
B2	VREFB2N2	VREFB2N2	VREFB2N2		K31			
B2	VREFB2N2	IO	DIFFIO_RX33p		P32			
B2	VREFB2N2	IO	DIFFIO_RX33n		P31			
B2	VREFB2N2	IO	DIFFIO_TX33p		U24			
B2	VREFB2N2	IO	DIFFIO_TX33n		U23			
B2	VREFB2N2	IO	DIFFIO_RX32p		N34			
B2	VREFB2N2	IO	DIFFIO_RX32n		P34			
B2	VREFB2N2	IO	DIFFIO_TX32p		U31			
B2	VREFB2N2	IO	DIFFIO_TX32n		U30			
B2	VREFB2N2	IO	DIFFIO_RX31p		R32			
B2	VREFB2N2	IO	DIFFIO_RX31n		R31			
B2	VREFB2N2	IO	DIFFIO_TX31p		U29			
B2	VREFB2N2	IO	DIFFIO_TX31n		U28			
B2	VREFB2N2	IO	DIFFIO_RX30p		R34			
B2	VREFB2N2	IO	DIFFIO_RX30n		R33			
B2	VREFB2N2	IO	DIFFIO_TX30p		W29			
B2	VREFB2N2	IO	DIFFIO_TX30n		V29			
B2	VREFB2N2	IO	DIFFIO_RX29p		T32			
B2	VREFB2N2	IO	DIFFIO_RX29n		T31			
B2	VREFB2N2	IO	DIFFIO_TX29p		U27			
B2	VREFB2N2	IO	DIFFIO_TX29n		V28			
B2	VREFB2N2	IO	CLK0n/DIFFIO_RX_C0n		T34			
B2	VREFB2N2	IO	CLK0p/DIFFIO_RX_C0p		U34			
