Bank Number	VREF	"PinName/Function (2), (3)"	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1152 (4)	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 	HMC pin assignment for DDR3 (5)	HMC pin assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0
		DNU					E33									
		DNU					F33									
		RREF_TL					F34									
GXB_L1		REFCLK3Ln					R27									
GXB_L1		REFCLK3Lp					R26									
GXB_L1		GXB_TX_L11n					G31									
GXB_L1		GXB_TX_L11p					G32									
GXB_L1		"GXB_RX_L11p,GXB_REFCLK_L11p"					H34									
GXB_L1		"GXB_RX_L11n,GXB_REFCLK_L11n"					H33									
GXB_L1		GXB_TX_L10n					J31									
GXB_L1		GXB_TX_L10p					J32									
GXB_L1		"GXB_RX_L10p,GXB_REFCLK_L10p"					K34									
GXB_L1		"GXB_RX_L10n,GXB_REFCLK_L10n"					K33									
GXB_L1		GXB_TX_L9n					L31									
GXB_L1		GXB_TX_L9p					L32									
GXB_L1		"GXB_RX_L9p,GXB_REFCLK_L9p"					M34									
GXB_L1		"GXB_RX_L9n,GXB_REFCLK_L9n"					M33									
GXB_L1		GXB_TX_L8n					N31									
GXB_L1		GXB_TX_L8p					N32									
GXB_L1		"GXB_RX_L8p,GXB_REFCLK_L8p"					P34									
GXB_L1		"GXB_RX_L8n,GXB_REFCLK_L8n"					P33									
GXB_L1		GXB_TX_L7n					R31									
GXB_L1		GXB_TX_L7p					R32									
GXB_L1		"GXB_RX_L7p,GXB_REFCLK_L7p"					T34									
GXB_L1		"GXB_RX_L7n,GXB_REFCLK_L7n"					T33									
GXB_L1		GXB_TX_L6n					U31									
GXB_L1		GXB_TX_L6p					U32									
GXB_L1		"GXB_RX_L6p,GXB_REFCLK_L6p"					V34									
GXB_L1		"GXB_RX_L6n,GXB_REFCLK_L6n"					V33									
GXB_L1		REFCLK2Ln					U27									
GXB_L1		REFCLK2Lp					U26									
GXB_L0		REFCLK1Ln					W27									
GXB_L0		REFCLK1Lp					W26									
GXB_L0		GXB_TX_L5n					W31									
GXB_L0		GXB_TX_L5p					W32									
GXB_L0		"GXB_RX_L5p,GXB_REFCLK_L5p"					Y34									
GXB_L0		"GXB_RX_L5n,GXB_REFCLK_L5n"					Y33									
