Bank Number	VREF	"PinName/Function (2), (3)"	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1517 (4)	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 	HMC pin assignment for DDR3 (5)	HMC pin assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0
		DNU					A38									
		DNU					B38									
		RREF_TL					B39									
GXB_L2		REFCLK5Ln					U32									
GXB_L2		REFCLK5Lp					U31									
GXB_L2		GXB_TX_L17n					C36									
GXB_L2		GXB_TX_L17p					C37									
GXB_L2		"GXB_RX_L17p,GXB_REFCLK_L17p"					D39									
GXB_L2		"GXB_RX_L17n,GXB_REFCLK_L17n"					D38									
GXB_L2		GXB_TX_L16n					E36									
GXB_L2		GXB_TX_L16p					E37									
GXB_L2		"GXB_RX_L16p,GXB_REFCLK_L16p"					F39									
GXB_L2		"GXB_RX_L16n,GXB_REFCLK_L16n"					F38									
GXB_L2		GXB_TX_L15n					G36									
GXB_L2		GXB_TX_L15p					G37									
GXB_L2		"GXB_RX_L15p,GXB_REFCLK_L15p"					H39									
GXB_L2		"GXB_RX_L15n,GXB_REFCLK_L15n"					H38									
GXB_L2		GXB_TX_L14n					J36									
GXB_L2		GXB_TX_L14p					J37									
GXB_L2		"GXB_RX_L14p,GXB_REFCLK_L14p"					K39									
GXB_L2		"GXB_RX_L14n,GXB_REFCLK_L14n"					K38									
GXB_L2		GXB_TX_L13n					L36									
GXB_L2		GXB_TX_L13p					L37									
GXB_L2		"GXB_RX_L13p,GXB_REFCLK_L13p"					M39									
GXB_L2		"GXB_RX_L13n,GXB_REFCLK_L13n"					M38									
GXB_L2		GXB_TX_L12n					N36									
GXB_L2		GXB_TX_L12p					N37									
GXB_L2		"GXB_RX_L12p,GXB_REFCLK_L12p"					P39									
GXB_L2		"GXB_RX_L12n,GXB_REFCLK_L12n"					P38									
GXB_L2		REFCLK4Ln					W32									
GXB_L2		REFCLK4Lp					W31									
GXB_L1		REFCLK3Ln					AA32									
GXB_L1		REFCLK3Lp					AA31									
GXB_L1		GXB_TX_L11n					R36									
GXB_L1		GXB_TX_L11p					R37									
GXB_L1		"GXB_RX_L11p,GXB_REFCLK_L11p"					T39									
GXB_L1		"GXB_RX_L11n,GXB_REFCLK_L11n"					T38									
GXB_L1		GXB_TX_L10n					U36									
GXB_L1		GXB_TX_L10p					U37									
GXB_L1		"GXB_RX_L10p,GXB_REFCLK_L10p"					V39									
GXB_L1		"GXB_RX_L10n,GXB_REFCLK_L10n"					V38									
GXB_L1		GXB_TX_L9n					W36									
GXB_L1		GXB_TX_L9p					W37									
GXB_L1		"GXB_RX_L9p,GXB_REFCLK_L9p"					Y39									
GXB_L1		"GXB_RX_L9n,GXB_REFCLK_L9n"					Y38									
GXB_L1		GXB_TX_L8n					AA36									
GXB_L1		GXB_TX_L8p					AA37									
GXB_L1		"GXB_RX_L8p,GXB_REFCLK_L8p"					AB39									
GXB_L1		"GXB_RX_L8n,GXB_REFCLK_L8n"					AB38									
GXB_L1		GXB_TX_L7n					AC36									
GXB_L1		GXB_TX_L7p					AC37									
GXB_L1		"GXB_RX_L7p,GXB_REFCLK_L7p"					AD39									
GXB_L1		"GXB_RX_L7n,GXB_REFCLK_L7n"					AD38									
GXB_L1		GXB_TX_L6n					AE36									
GXB_L1		GXB_TX_L6p					AE37									
GXB_L1		"GXB_RX_L6p,GXB_REFCLK_L6p"					AF39									
GXB_L1		"GXB_RX_L6n,GXB_REFCLK_L6n"					AF38									
GXB_L1		REFCLK2Ln					AC32									
GXB_L1		REFCLK2Lp					AC31									
GXB_L0		REFCLK1Ln					AE32									
GXB_L0		REFCLK1Lp					AE31									
GXB_L0		GXB_TX_L5n					AG36									
GXB_L0		GXB_TX_L5p					AG37									
GXB_L0		"GXB_RX_L5p,GXB_REFCLK_L5p"					AH39									
GXB_L0		"GXB_RX_L5n,GXB_REFCLK_L5n"					AH38									
GXB_L0		GXB_TX_L4n					AJ36									
GXB_L0		GXB_TX_L4p					AJ37									
GXB_L0		"GXB_RX_L4p,GXB_REFCLK_L4p"					AK39									
GXB_L0		"GXB_RX_L4n,GXB_REFCLK_L4n"					AK38									
GXB_L0		GXB_TX_L3n					AL36									
GXB_L0		GXB_TX_L3p					AL37									
GXB_L0		"GXB_RX_L3p,GXB_REFCLK_L3p"					AM39									
GXB_L0		"GXB_RX_L3n,GXB_REFCLK_L3n"					AM38									
GXB_L0		GXB_TX_L2n					AN36									
GXB_L0		GXB_TX_L2p					AN37									
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					AP39									
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					AP38									
GXB_L0		GXB_TX_L1n					AR36									
GXB_L0		GXB_TX_L1p					AR37									
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AT39									
