Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	E144 (3)		
B1	VREFB1N0	IO		"DATA1,ASDO"	DIFFIO_L3n	6		
B1	VREFB1N0	IO	VREFB1N0			7		
B1	VREFB1N0	IO		"FLASH_nCE,nCSO"	DIFFIO_L4p	8		
B1	VREFB1N0	nSTATUS		nSTATUS		9		
B1	VREFB1N0	IO			DIFFIO_L6p	10		
B1	VREFB1N0	IO			DIFFIO_L6n	11		
B1	VREFB1N0	IO		DCLK		12		
B1	VREFB1N0	IO		DATA0		13		
B1	VREFB1N0	nCONFIG		nCONFIG		14		
B1	VREFB1N0	TDI		TDI		15		
B1	VREFB1N0	TCK		TCK		16		
B1	VREFB1N0	TMS		TMS		18		
B1	VREFB1N0	TDO		TDO		20		
B1	VREFB1N0	nCE		nCE		21		
B1	VREFB1N0	CLK0	DIFFCLK_0p			22		
B1	VREFB1N0	CLK1	DIFFCLK_0n			23		
B2	VREFB2N0	CLK2	DIFFCLK_1p			24		
B2	VREFB2N0	CLK3	DIFFCLK_1n			25		
B2	VREFB2N0	IO			DIFFIO_L8p	28		
B2	VREFB2N0	IO	VREFB2N0			31		
B2	VREFB2N0	IO	RUP1			32		
B2	VREFB2N0	IO	RDN1			33		
B3	VREFB3N0	IO			DIFFIO_B2p	39		
B3	VREFB3N0	IO				42		
B3	VREFB3N0	IO	PLL1_CLKOUTp			43		
B3	VREFB3N0	IO	PLL1_CLKOUTn			44		
B3	VREFB3N0	IO	VREFB3N0			46		
B3	VREFB3N0	IO			DIFFIO_B9n	49		
B3	VREFB3N0	IO			DIFFIO_B10n	50		
B3	VREFB3N0	IO			DIFFIO_B11p	51		
B3	VREFB3N0	CLK15	DIFFCLK_6p			52		
B3	VREFB3N0	CLK14	DIFFCLK_6n			53		
B4	VREFB4N0	CLK13	DIFFCLK_7p			54		
B4	VREFB4N0	CLK12	DIFFCLK_7n			55		
B4	VREFB4N0	IO			DIFFIO_B16p	58		
B4	VREFB4N0	IO			DIFFIO_B17p	59		
B4	VREFB4N0	IO			DIFFIO_B17n	60		
B4	VREFB4N0	IO	VREFB4N0			65		
B4	VREFB4N0	IO	RUP2			66		
B4	VREFB4N0	IO	RDN2			67		
B4	VREFB4N0	IO			DIFFIO_B23n	68		
B4	VREFB4N0	IO			DIFFIO_B24p	69		
