Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	F484		
B1	VREFB1N0	IO			DIFFIO_L1p	H7		
B1	VREFB1N0	IO			DIFFIO_L1n	G3		
B1	VREFB1N0	IO			DIFFIO_L2p	B2		
B1	VREFB1N0	IO			DIFFIO_L2n	B1		
B1	VREFB1N0	IO	VREFB1N0			G5		
B1	VREFB1N0	IO			DIFFIO_L3p	E4		
B1	VREFB1N0	IO			DIFFIO_L3n	E3		
B1	VREFB1N0	IO			DIFFIO_L5p	D2		
B1	VREFB1N0	IO		"DATA1,ASDO"	DIFFIO_L5n	D1		
B1	VREFB1N0	IO			DIFFIO_L6p	H6		
B1	VREFB1N0	IO			DIFFIO_L6n	J6		
B1	VREFB1N0	IO			DIFFIO_L7n	H3		
B1	VREFB1N0	IO		"FLASH_nCE,nCSO"	DIFFIO_L8p	E2		
B1	VREFB1N0	IO			DIFFIO_L8n	E1		
B1	VREFB1N1	IO			DIFFIO_L9p	F2		
B1	VREFB1N1	IO			DIFFIO_L9n	F1		
B1	VREFB1N1	IO				H4		
B1	VREFB1N1	IO	VREFB1N1			H5		
B1	VREFB1N1	nSTATUS		nSTATUS		K6		
B1	VREFB1N1	IO			DIFFIO_L12p	J4		
B1	VREFB1N1	IO			DIFFIO_L13p	H2		
B1	VREFB1N1	IO			DIFFIO_L13n	H1		
B1	VREFB1N2	IO	VREFB1N2			J3		
B1	VREFB1N2	IO			DIFFIO_L23p	J2		
B1	VREFB1N2	IO			DIFFIO_L23n	J1		
B1	VREFB1N2	IO		DCLK		K2		
B1	VREFB1N2	IO		DATA0		K1		
B1	VREFB1N2	nCONFIG		nCONFIG		K5		
B1	VREFB1N2	TDI		TDI		L5		
B1	VREFB1N2	TCK		TCK		L2		
B1	VREFB1N2	TMS		TMS		L1		
B1	VREFB1N2	TDO		TDO		L4		
B1	VREFB1N2	nCE		nCE		L3		
B1	VREFB1N2	CLK0	DIFFCLK_0p			G2		
B1	VREFB1N2	CLK1	DIFFCLK_0n			G1		
B2	VREFB2N0	CLK2	DIFFCLK_1p			T2		
B2	VREFB2N0	CLK3	DIFFCLK_1n			T1		
B2	VREFB2N0	IO			DIFFIO_L25p	L6		
B2	VREFB2N0	IO			DIFFIO_L25n	M6		
B2	VREFB2N0	IO			DIFFIO_L27p	M2		
B2	VREFB2N0	IO			DIFFIO_L27n	M1		
B2	VREFB2N0	IO			DIFFIO_L28p	M4		
B2	VREFB2N0	IO			DIFFIO_L28n	M3		
B2	VREFB2N0	IO			DIFFIO_L29p	N2		
B2	VREFB2N0	IO			DIFFIO_L29n	N1		
B2	VREFB2N0	IO	VREFB2N0			M5		
B2	VREFB2N0	IO			DIFFIO_L30p	P2		
B2	VREFB2N0	IO			DIFFIO_L30n	P1		
B2	VREFB2N0	IO			DIFFIO_L31p	R2		
B2	VREFB2N0	IO			DIFFIO_L31n	R1		
B2	VREFB2N0	IO			DIFFIO_L32n	N5		
B2	VREFB2N0	IO			DIFFIO_L33p	P4		
B2	VREFB2N0	IO			DIFFIO_L33n	P3		
B2	VREFB2N0	IO			DIFFIO_L34p	U2		
B2	VREFB2N1	IO			DIFFIO_L34n	U1		
B2	VREFB2N1	IO			DIFFIO_L35p	V2		
B2	VREFB2N1	IO			DIFFIO_L35n	V1		
B2	VREFB2N1	IO			DIFFIO_L36p	P5		
B2	VREFB2N1	IO			DIFFIO_L36n	N6		
B2	VREFB2N1	IO			DIFFIO_L37p	R4		
B2	VREFB2N1	IO			DIFFIO_L37n	R3		
B2	VREFB2N1	IO			DIFFIO_L38p	W2		
B2	VREFB2N1	IO			DIFFIO_L38n	W1		
B2	VREFB2N1	IO			DIFFIO_L39p	Y2		
B2	VREFB2N1	IO			DIFFIO_L39n	Y1		
B2	VREFB2N1	IO	VREFB2N1			T3		
B2	VREFB2N1	IO	RUP1			V4		
B2	VREFB2N1	IO	RDN1			V3		
B2	VREFB2N2	IO	VREFB2N2			R5		
B2	VREFB2N2	IO			DIFFIO_L48p	T4		
B2	VREFB2N2	IO			DIFFIO_L48n	T5		
B3	VREFB3N2	IO			DIFFIO_B1n	V5		
B3	VREFB3N2	IO			DIFFIO_B3p	Y4		
B3	VREFB3N2	IO			DIFFIO_B3n	Y3		
B3	VREFB3N2	IO				Y6		
B3	VREFB3N2	IO	PLL1_CLKOUTp			AA3		
B3	VREFB3N2	IO	PLL1_CLKOUTn			AB3		
B3	VREFB3N2	IO			DIFFIO_B4p	W6		
B3	VREFB3N2	IO				AA4		
B3	VREFB3N2	IO	VREFB3N2			AB4		
B3	VREFB3N2	IO			DIFFIO_B5p	AA5		
B3	VREFB3N2	IO			DIFFIO_B7n	AA6		
B3	VREFB3N2	IO			DIFFIO_B8p	AB6		
B3	VREFB3N2	IO			DIFFIO_B8n	AB5		
B3	VREFB3N2	IO			DIFFIO_B9p	W7		
B3	VREFB3N1	IO			DIFFIO_B9n	Y7		
B3	VREFB3N1	IO			DIFFIO_B12n	U9		
B3	VREFB3N1	IO			DIFFIO_B13p	V8		
B3	VREFB3N1	IO			DIFFIO_B13n	W8		
B3	VREFB3N1	IO			DIFFIO_B14p	AA7		
B3	VREFB3N1	IO			DIFFIO_B14n	AB7		
B3	VREFB3N1	IO				Y8		
B3	VREFB3N1	IO	VREFB3N1			V9		
B3	VREFB3N1	IO			DIFFIO_B15p	V10		
B3	VREFB3N1	IO			DIFFIO_B15n	U10		
B3	VREFB3N1	IO			DIFFIO_B17p	AA8		
B3	VREFB3N1	IO			DIFFIO_B17n	AB8		
B3	VREFB3N1	IO			DIFFIO_B18p	AA9		
B3	VREFB3N1	IO			DIFFIO_B18n	AB9		
B3	VREFB3N0	IO	VREFB3N0			U11		
B3	VREFB3N0	IO				V11		
B3	VREFB3N0	IO			DIFFIO_B23p	W10		
B3	VREFB3N0	IO			DIFFIO_B23n	Y10		
B3	VREFB3N0	IO			DIFFIO_B24p	AA10		
B3	VREFB3N0	IO			DIFFIO_B24n	AB10		
B3	VREFB3N0	CLK15	DIFFCLK_6p			AA11		
B3	VREFB3N0	CLK14	DIFFCLK_6n			AB11		
B4	VREFB4N2	CLK13	DIFFCLK_7p			AA12		
B4	VREFB4N2	CLK12	DIFFCLK_7n			AB12		
B4	VREFB4N2	IO			DIFFIO_B32p	AA13		
B4	VREFB4N2	IO			DIFFIO_B32n	AB13		
B4	VREFB4N2	IO			DIFFIO_B35p	AA14		
B4	VREFB4N2	IO			DIFFIO_B35n	AB14		
B4	VREFB4N2	IO	VREFB4N2			V12		
B4	VREFB4N2	IO			DIFFIO_B36p	W13		
B4	VREFB4N2	IO			DIFFIO_B36n	Y13		
B4	VREFB4N2	IO			DIFFIO_B37p	AA15		
B4	VREFB4N2	IO			DIFFIO_B37n	AB15		
B4	VREFB4N2	IO			DIFFIO_B38p	U12		
B4	VREFB4N2	IO			DIFFIO_B39p	Y14		
B4	VREFB4N2	IO			DIFFIO_B39n	Y15		
B4	VREFB4N2	IO			DIFFIO_B40p	AA16		
B4	VREFB4N2	IO			DIFFIO_B40n	AB16		
B4	VREFB4N2	IO			DIFFIO_B41p	V13		
B4	VREFB4N1	IO			DIFFIO_B41n	W14		
B4	VREFB4N1	IO			DIFFIO_B43p	V14		
B4	VREFB4N1	IO			DIFFIO_B44p	U14		
B4	VREFB4N1	IO			DIFFIO_B44n	V15		
B4	VREFB4N1	IO			DIFFIO_B45p	W15		
B4	VREFB4N1	IO			DIFFIO_B46n	T15		
B4	VREFB4N1	IO				AB18		
B4	VREFB4N1	IO	VREFB4N1			AA18		
B4	VREFB4N1	IO	RUP2			AA19		
B4	VREFB4N1	IO	RDN2			AB19		
B4	VREFB4N1	IO			DIFFIO_B48p	W17		
B4	VREFB4N1	IO			DIFFIO_B48n	Y17		
B4	VREFB4N1	IO			DIFFIO_B49p	AA20		
B4	VREFB4N1	IO			DIFFIO_B49n	AB20		
B4	VREFB4N0	IO	VREFB4N0			V16		
B4	VREFB4N0	IO	PLL4_CLKOUTp			T16		
B4	VREFB4N0	IO	PLL4_CLKOUTn			R16		
B5	VREFB5N2	IO			DIFFIO_R51n	AA22		
B5	VREFB5N2	IO			DIFFIO_R51p	AA21		
B5	VREFB5N2	IO	RUP3			T17		
B5	VREFB5N2	IO	RDN3			T18		
B5	VREFB5N2	IO			DIFFIO_R50n	W20		
B5	VREFB5N2	IO	VREFB5N2			W19		
B5	VREFB5N2	IO			DIFFIO_R49n	Y22		
B5	VREFB5N2	IO			DIFFIO_R49p	R17		
B5	VREFB5N2	IO			DIFFIO_R48n	U20		
