"Pin Information for the Cyclone® IV EP4CE15 Device 
Version 1.3 
Notes (1), (2), (3)"																				
"Bank
Number"	"VREFB
Group"	"PinName/
Function"	"Optional
Function(s)"	"Configuration
Function"	F484	"F256/
U256/
M256"	M164	E144 (4)	DQS for X8/X9 in F484	DQS for X16/X18 in F484	DQS for X32/X36 in F484	DQS for X8/X9 in F256/U256	DQS for X16/X18 in F256/U256	DQS for X8/X9 in M164	DQS for X8/X9 in E144					
B1	VREFB1N0	IO			H5															
B1	VREFB1N0	IO	DIFFIO_L1p		B2				DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L1n		B1				DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO			G5															
B1	VREFB1N0	IO	DIFFIO_L2p	nRESET	E4				DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L2n		E3				DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L3p		C2	B1	C1		"DQS2L/CQ3L,CDPCLK0"											
B1	VREFB1N0	IO	DIFFIO_L3n		C1				DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L4p		D2	C2			DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L4n	"DATA1,ASDO"	D1	C1	D2	6												
B1	VREFB1N0	IO	VREFB1N0		H7	F3	D1	7												
B1	VREFB1N0	IO	DIFFIO_L5p		H6				DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L5n		J6				DQ2L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L6p	"FLASH_nCE,nCSO"	E2	D2	E1	8												
B1	VREFB1N0	IO	DIFFIO_L6n		E1	D1				DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L7p		F2				DM2L	DM1L0/BWS#1L0	DM1L0/BWS#1L0									
B1	VREFB1N0	IO	DIFFIO_L7n		F1				DQ0L	DQ1L	DQ1L									
B1	VREFB1N0	IO	DIFFIO_L8p		G4															
B1	VREFB1N0	IO	DIFFIO_L8n		G3															
B1	VREFB1N1	nSTATUS		nSTATUS	K6	F4	E2	9												
B1	VREFB1N1	IO	DIFFIO_L9p		L8															
B1	VREFB1N1	IO	DIFFIO_L9n		K8	G5														
B1	VREFB1N1	IO	DIFFIO_L10p		J7	F2														
B1	VREFB1N1	IO	DIFFIO_L10n		K7	F1														
B1	VREFB1N1	IO			J4	G2	F2	10	"DQS0L/CQ1L,DPCLK0"											
