"Pin Information for the Cyclone® IV EP4CE55 Device
 Version 1.2   
Notes (1), (2), (3)"																									
Bank Number	VREFB Group	Pin Name / Function	Optional Function(s)	Configuration Function	F780	F484/U484	DQS for X8/X9 in F780	DQS for X16/X18 in F780	DQS for X32/X36 in F780	DQS for X8/X9 in F484/U484	DQS for X16/X18 in F484/U484	DQS for X32/X36 in F484/U484			
B1	  VREFB1N0	  IO	  DIFFIO_L1p	   	   	  G4	   	   	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L1n	   	  C2	  G3	  DQ2L	  DQ1L	  DQ1L	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L2p	   	  D2	  B2	  DQ2L	  DQ1L	  DQ1L	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L2n	   	  D1	  B1	  DQ2L	  DQ1L	  DQ1L	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  VREFB1N0	   	  H7	  G5	   	   	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L3p	  nRESET	  G6	  E4	  DQ2L	  DQ1L	  DQ1L	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L3n	   	  G5	  E3	  DQ2L	  DQ1L	  DQ1L	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L4p	   	  E3	  C2	"  DQS2L/CQ3L,CDPCLK0"	"  DQS2L/CQ3L,CDPCLK0"	"  DQS2L/CQ3L,CDPCLK0"	"  DQS2L/CQ3L,CDPCLK0"	"  DQS2L/CQ3L,CDPCLK0"	"  DQS2L/CQ3L,CDPCLK0"			
B1	  VREFB1N0	  IO	  DIFFIO_L4n	   	  F3	  C1	  DQ2L	  DQ1L	  DQ1L	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L5p	   	  F5	  D2	  DQ2L	  DQ1L	  DQ1L	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L5n	"  DATA1,ASDO"	  F4	  D1	   	   	   	   	   	   			
B1	  VREFB1N0	  IO	   	   	  H6	  H7	   	   	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L6p	   	  G4	  H6	  DQ2L	  DQ1L	  DQ1L	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L6n	   	  G3	  J6	   	   	   	  DQ2L	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L7p	   	  H4	  H4	   	   	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L7n	   	  H3	  H3	   	   	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L8p	"  FLASH_nCE,nCSO"	  E2	  E2	   	   	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L8n	   	  E1	  E1	   	  DQ1L	  DQ1L	   	  DQ1L	  DQ1L			
B1	  VREFB1N0	  IO	  DIFFIO_L9p	   	  F2	  F2	  DM2L	  DM1L/BWS#1L	  DM1L/BWS#1L	  DM2L	  DM1L/BWS#1L	  DM1L/BWS#1L			
B1	  VREFB1N1	  IO	  DIFFIO_L9n	   	  F1	  F1	  DQ0L	  DQ1L	  DQ1L	  DQ0L	  DQ1L	  DQ1L			
B1	  VREFB1N1	  IO	   	   	  H5	  J5	   	   	   	   	   	   			
B1	  VREFB1N1	  IO	  VREFB1N1	   	  L5	  H5	   	   	   	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L10p	   	  J4	   	   	   	   	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L10n	   	  J3	   	  DQ0L	  DQ1L	  DQ1L	   	   	   			
B1	  VREFB1N1	  nSTATUS	   	  nSTATUS	  M6	  K6	   	   	   	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L11p	   	  G2	  J7	  DQ0L	  DQ1L	  DQ1L	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L11n	   	  G1	  K7	   	   	   	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L12p	   	  K2	  J4	"  DQS0L/CQ1L,DPCLK0"	"  DQS0L/CQ1L,DPCLK0"	"  DQS0L/CQ1L,DPCLK0"	"  DQS0L/CQ1L,DPCLK0"	"  DQS0L/CQ1L,DPCLK0"	"  DQS0L/CQ1L,DPCLK0"			
B1	  VREFB1N1	  IO	  DIFFIO_L12n	   	  K1	   	  DQ0L	  DQ1L	  DQ1L	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L13p	   	  M5	  H2	   	   	   	  DQ0L	  DQ1L	  DQ1L			
B1	  VREFB1N1	  IO	  DIFFIO_L13n	   	  L1	  H1	  DQ0L	  DQ1L	  DQ1L	  DQ0L	  DQ1L	  DQ1L			
B1	  VREFB1N1	  IO	  DIFFIO_L14p	   	  M2	   	   	   	   	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L14n	   	  M1	  J3	  DQ0L	  DQ1L	  DQ1L	   	   	   			
B1	  VREFB1N1	  IO	  DIFFIO_L15p	   	  P2	  J2	   	   	   	  DQ0L	  DQ1L	  DQ1L			
B1	  VREFB1N1	  IO	  DIFFIO_L15n	   	  P1	  J1	  DQ0L	  DQ1L	  DQ1L	  DQ0L	  DQ1L	  DQ1L			
B1	  VREFB1N1	  DCLK	   	  DCLK	  P3	  K2	   	   	   	   	   	   			
B1	  VREFB1N1	  IO	   	  DATA0	  N7	  K1	   	   	   	   	   	   			
B1	  VREFB1N1	  nCONFIG	   	  nCONFIG	  P4	  K5	   	   	   	   	   	   			
B1	  VREFB1N1	  TDI	   	  TDI	  P7	  L5	   	   	   	   	   	   			
B1	  VREFB1N1	  TCK	   	  TCK	  P5	  L2	   	   	   	   	   	   			
B1	  VREFB1N1	  TMS	   	  TMS	  P8	  L1	   	   	   	   	   	   			
B1	  VREFB1N1	  TDO	   	  TDO	  P6	  L4	   	   	   	   	   	   			
B1	  VREFB1N1	  nCE	   	  nCE	  R8	  L3	   	   	   	   	   	   			
B1	  VREFB1N1	  CLK1	  DIFFCLK_0n	   	  J1	  G1	   	   	   	   	   	   			
B2	  VREFB2N0	  CLK2	  DIFFCLK_1p	   	  Y2	  T2	   	   	   	   	   	   			
B2	  VREFB2N0	  CLK3	  DIFFCLK_1n	   	  Y1	  T1	   	   	   	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L16p	   	  R2	  L6	  DQ0L	  DQ1L	  DQ1L	  DQ0L	  DQ1L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L16n	   	  R1	  M6	   	  DQ1L	  DQ1L	  DQ0L	  DQ1L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L17p	   	  U3	  M2	  DM0L	  DM1L/BWS#1L	  DM1L/BWS#1L	  DQ0L	  DQ1L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L17n	   	  U4	  M1	   	   	   	   	  DQ1L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L18p	   	  R3	  M4	  DQ1L	  DQ3L	  DQ1L	  DM0L	  DM1L/BWS#1L	  DM1L/BWS#1L			
B2	  VREFB2N0	  IO	  DIFFIO_L18n	   	  R4	  M3	  DQ1L	  DQ3L	  DQ1L	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L19p	   	  T4	  N2	  DQ1L	  DQ3L	  DQ1L	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L19n	   	  T3	  N1	   	   	   	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	   	   	  R5	   	  DQ1L	  DQ3L	  DQ1L	   	   	   			
B2	  VREFB2N0	  IO	  VREFB2N0	   	  T7	  M5	   	   	   	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L20p	   	  U2	  P2	   	   	   	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L20n	   	  U1	  P1	  DQ1L	  DQ3L	  DQ1L	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L21p	   	  V4	  R2	  DQ1L	  DQ3L	  DQ1L	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L21n	   	  V3	  R1	   	   	   	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L22p	   	  V2	   	  DQ1L	  DQ3L	  DQ1L	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L22n	   	  V1	  N5	  DQ1L	  DQ3L	  DQ1L	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L23p	   	  AB2	  P4	"  DQS1L/CQ1L#,DPCLK1"	"  DQS1L/CQ1L#,DPCLK1"	"  DQS1L/CQ1L#,DPCLK1"	"  DQS1L/CQ1L#,DPCLK1"	"  DQS1L/CQ1L#,DPCLK1"	"  DQS1L/CQ1L#,DPCLK1"			
B2	  VREFB2N0	  IO	  DIFFIO_L23n	   	  AB1	  P3	   	   	   	  DQ1L	  DQ3L	  DQ1L			
B2	  VREFB2N0	  IO	  DIFFIO_L24p	   	  W2	  U2	  DQ1L	  DQ3L	  DQ1L	  DM1L/BWS#1L	  DM3L/BWS#3L	  DM1L/BWS#1L			
