Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F256	DQS for X8									
2A	VREFB2AN0	IO			DIFFIO_TX_L9n	DIFFOUT_L9n	F3										
2A	VREFB2AN0	IO			DIFFIO_RX_L10n	DIFFOUT_L10n	G3	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_TX_L9p	DIFFOUT_L9p	F4	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_RX_L10p	DIFFOUT_L10p	H3	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_RX_L11n	DIFFOUT_L11n	H4	DQSn1L									
2A	VREFB2AN0	IO			DIFFIO_TX_L12n	DIFFOUT_L12n	E2	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_RX_L11p	DIFFOUT_L11p	H5	DQS1L									
2A	VREFB2AN0	IO			DIFFIO_TX_L12p	DIFFOUT_L12p	F2										
2A	VREFB2AN0	IO			DIFFIO_TX_L13n	DIFFOUT_L13n	G1	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_RX_L14n	DIFFOUT_L14n	J2	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_TX_L13p	DIFFOUT_L13p	G2	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_RX_L14p	DIFFOUT_L14p	J3	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_RX_L15n	DIFFOUT_L15n	K4										
2A	VREFB2AN0	IO			DIFFIO_TX_L16n	DIFFOUT_L16n	H1	DQ1L									
2A	VREFB2AN0	IO			DIFFIO_RX_L15p	DIFFOUT_L15p	K5										
2A	VREFB2AN0	IO			DIFFIO_TX_L16p	DIFFOUT_L16p	J1	DQ1L									
3A		TDO		TDO			M6										
3A		nCSO		DATA4			L3										
3A		TMS		TMS			L6										
3A		AS_DATA3		DATA3			M2										
3A		TCK		TCK			M3										
3A		AS_DATA2		DATA2			L2										
3A		TDI		TDI			L4										
3A		AS_DATA1		DATA1			K1										
3A		DCLK		DCLK			M5										
3A		"AS_DATA0,ASDO"		DATA0			M1										
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	N4	DQ1B									
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	N1										
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	P4	DQ1B									
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	P1	DQ1B									
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	M7	DQSn1B									
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	R1	DQ1B									
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	L7	DQS1B									
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	P2										
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	P3	DQ1B									
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	T2	DQ1B									
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	N3	DQ1B									
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	R2	DQ1B									
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	R6										
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	T3	DQ1B									
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	P7										
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	R4	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B17n	DIFFOUT_B17n	T5										
