Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	M484	DQS for X8	DQS for X16									
3A		TDO		TDO			AE4											
3A		nCSO		DATA4			AE3											
3A		TMS		TMS			AB6											
3A		AS_DATA3		DATA3			AH3											
3A		TCK		TCK			AH2											
3A		AS_DATA2		DATA2			AH4											
3A		TDI		TDI			AA6											
3A		AS_DATA1		DATA1			AF4											
3A		DCLK		DCLK			W5											
3A		"AS_DATA0,ASDO"		DATA0			AD5											
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	AA7	DQ1B										
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	AE7											
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	Y7	DQ1B										
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	AD7	DQ1B										
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	AC8	DQSn1B										
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	W7	DQ1B										
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	AB8	DQS1B										
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	W6											
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	U6	DQ1B										
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	AF8	DQ1B										
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	T6	DQ1B										
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	AE8	DQ1B										
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	U7											
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	AH9	DQ1B										
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	T7											
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AH8	DQ1B										
3B	VREFB3BN0	IO			DIFFIO_TX_B25n	DIFFOUT_B25n	AE10											
3B	VREFB3BN0	IO			DIFFIO_RX_B26n	DIFFOUT_B26n	Y9	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_TX_B25p	DIFFOUT_B25p	AE9	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_RX_B26p	DIFFOUT_B26p	Y8	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	W9	DQSn4B										
3B	VREFB3BN0	IO			DIFFIO_TX_B28n	DIFFOUT_B28n	AB9	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	U9	DQS4B										
3B	VREFB3BN0	IO			DIFFIO_TX_B28p	DIFFOUT_B28p	AA8											
3B	VREFB3BN0	IO			DIFFIO_TX_B29n	DIFFOUT_B29n	AH10	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	U8	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_TX_B29p	DIFFOUT_B29p	AF10	DQ4B										
3B	VREFB3BN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	T8	DQ4B										
3B	VREFB3BN0	IO	"CLK0n,FPLL_BL_FBn"		DIFFIO_RX_B31n	DIFFOUT_B31n	W12											
3B	VREFB3BN0	IO			DIFFIO_TX_B32n	DIFFOUT_B32n	AD10	DQ4B										
