Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F484	DQS for X8	DQS for X16									
3A		TDO		TDO			M5											
3A		nCSO		DATA4			R4											
3A		TMS		TMS			P5											
3A		AS_DATA3		DATA3			T4											
3A		TCK		TCK			V5											
3A		AS_DATA2		DATA2			AA5											
3A		TDI		TDI			W5											
3A		AS_DATA1		DATA1			AB3											
3A		DCLK		DCLK			V3											
3A		"AS_DATA0,ASDO"		DATA0			AB4											
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	R6	DQ1B										
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	U7											
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	R5	DQ1B										
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	U8	DQ1B										
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	P6	DQSn1B										
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	W8	DQ1B										
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	N6	DQS1B										
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	W9											
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	T7	DQ1B										
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	U6	DQ1B										
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	T8	DQ1B										
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	V6	DQ1B										
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	M6											
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	R7	DQ1B										
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	M7											
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	P7	DQ1B										
3B	VREFB3BN0	IO			DIFFIO_TX_B25n	DIFFOUT_B25n	AB6											
3B	VREFB3BN0	IO			DIFFIO_RX_B26n	DIFFOUT_B26n	V9	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_TX_B25p	DIFFOUT_B25p	AB5	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_RX_B26p	DIFFOUT_B26p	V10	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	P8	DQSn2B										
3B	VREFB3BN0	IO			DIFFIO_TX_B28n	DIFFOUT_B28n	AA7	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	N8	DQS2B										
3B	VREFB3BN0	IO			DIFFIO_TX_B28p	DIFFOUT_B28p	AB7											
3B	VREFB3BN0	IO			DIFFIO_TX_B29n	DIFFOUT_B29n	AA8	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	T9	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_TX_B29p	DIFFOUT_B29p	AB8	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	U10	DQ2B										
3B	VREFB3BN0	IO	"CLK0n,FPLL_BL_FBn"		DIFFIO_RX_B31n	DIFFOUT_B31n	M8											
3B	VREFB3BN0	IO			DIFFIO_TX_B32n	DIFFOUT_B32n	AA10	DQ2B										
3B	VREFB3BN0	IO	"CLK0p,FPLL_BL_FBp"		DIFFIO_RX_B31p	DIFFOUT_B31p	M9											
3B	VREFB3BN0	IO			DIFFIO_TX_B32p	DIFFOUT_B32p	AA9	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	Y10											
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	T10	DQ3B										
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	Y9	DQ3B										
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	R9	DQ3B										
3B	VREFB3BN0	IO			DIFFIO_RX_B35n	DIFFOUT_B35n	U11	DQSn3B										
3B	VREFB3BN0	IO			DIFFIO_TX_B36n	DIFFOUT_B36n	R12	DQ3B										
3B	VREFB3BN0	IO			DIFFIO_RX_B35p	DIFFOUT_B35p	U12	DQS3B										
3B	VREFB3BN0	IO			DIFFIO_TX_B36p	DIFFOUT_B36p	P12											
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B37n	DIFFOUT_B37n	AB10	DQ3B										
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	R10	DQ3B										
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB"		DIFFIO_TX_B37p	DIFFOUT_B37p	AB11	DQ3B										
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	R11	DQ3B										
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B39n	DIFFOUT_B39n	P9											
