Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	M383	DQS for X8	HMC Pin Assignment for DDR3/DDR2 (2)	HMC Pin Assignment for LPDDR2	Board Connection Requirement for Pin Migration Only									
1A	VREFB1AN0	IO			DIFFIO_TX_L1n	DIFFOUT_L1n	H23				GND									
1A	VREFB1AN0	IO			DIFFIO_RX_L2n	DIFFOUT_L2n	F25	DQ1L			DNU									
1A	VREFB1AN0	IO			DIFFIO_TX_L1p	DIFFOUT_L1p	H22	DQ1L			GND									
1A	VREFB1AN0	IO			DIFFIO_RX_L2p	DIFFOUT_L2p	G25	DQ1L			DNU									
1A	VREFB1AN0	IO			DIFFIO_RX_L3n	DIFFOUT_L3n	G24	DQSn1L			GND									
1A	VREFB1AN0	IO			DIFFIO_TX_L4n	DIFFOUT_L4n	E22	DQ1L			GND									
1A	VREFB1AN0	IO			DIFFIO_RX_L3p	DIFFOUT_L3p	H24	DQS1L			GND									
1A	VREFB1AN0	IO			DIFFIO_TX_L4p	DIFFOUT_L4p	F22				GND									
1A	VREFB1AN0	IO			DIFFIO_TX_L5n	DIFFOUT_L5n	F23	DQ1L			GND									
1A	VREFB1AN0	IO			DIFFIO_RX_L6n	DIFFOUT_L6n	J25	DQ1L			DNU									
1A	VREFB1AN0	IO			DIFFIO_TX_L5p	DIFFOUT_L5p	G22	DQ1L			GND									
1A	VREFB1AN0	IO			DIFFIO_RX_L6p	DIFFOUT_L6p	J24	DQ1L			GND									
1A	VREFB1AN0	IO			DIFFIO_RX_L7n	DIFFOUT_L7n	K25				DNU									
1A	VREFB1AN0	IO			DIFFIO_TX_L8n	DIFFOUT_L8n	J23	DQ1L			GND									
1A	VREFB1AN0	IO			DIFFIO_RX_L7p	DIFFOUT_L7p	L25				GND									
1A	VREFB1AN0	IO			DIFFIO_TX_L8p	DIFFOUT_L8p	K23	DQ1L			VCC									
2A	VREFB2AN0	IO			DIFFIO_TX_L9n	DIFFOUT_L9n	L22				GND									
2A	VREFB2AN0	IO			DIFFIO_RX_L10n	DIFFOUT_L10n	M25	DQ1L			DNU									
