Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F672	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (2)	HMC Pin Assignment for LPDDR2									
3A		TDO		TDO			V7													
3A		nCSO		DATA4			Y6													
3A		TMS		TMS			R6													
3A		AS_DATA3		DATA3			U6													
3A		TCK		TCK			Y5													
3A		AS_DATA2		DATA2			AB5													
3A		TDI		TDI			T6													
3A		AS_DATA1		DATA1			AD5													
3A		DCLK		DCLK			N8													
3A		"AS_DATA0,ASDO"		DATA0			AF5													
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	T7	DQ1B												
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	U7													
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	T8	DQ1B												
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	V8	DQ1B												
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	W8	DQSn1B												
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	AB6	DQ1B												
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	Y9	DQS1B												
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	AA6													
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	R10	DQ1B												
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	AA7	DQ1B												
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	R9	DQ1B												
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	Y8	DQ1B												
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	R8													
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	AD6	DQ1B												
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	P8													
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AD7	DQ1B												
3B	VREFB3BN0	IO			DIFFIO_TX_B25n	DIFFOUT_B25n	U9			GND	GND									
3B	VREFB3BN0	IO			DIFFIO_RX_B26n	DIFFOUT_B26n	Y11	DQ2B		B_A_15										
3B	VREFB3BN0	IO			DIFFIO_TX_B25p	DIFFOUT_B25p	T9	DQ2B		B_WE#										
3B	VREFB3BN0	IO			DIFFIO_RX_B26p	DIFFOUT_B26p	W11	DQ2B		B_A_14										
3B	VREFB3BN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	T11	DQSn2B		B_CS#_1	B_CS#_1									
3B	VREFB3BN0	IO			DIFFIO_TX_B28n	DIFFOUT_B28n	AC10	DQ2B		B_A_13										
3B	VREFB3BN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	R11	DQS2B		B_CS#_0	B_CS#_0									
3B	VREFB3BN0	IO			DIFFIO_TX_B28p	DIFFOUT_B28p	AB10			B_A_12										
3B	VREFB3BN0	IO			DIFFIO_TX_B29n	DIFFOUT_B29n	AC8	DQ2B		B_A_11										
3B	VREFB3BN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	AB11	DQ2B		B_A_9	B_CA_9									
3B	VREFB3BN0	IO			DIFFIO_TX_B29p	DIFFOUT_B29p	AC9	DQ2B		B_A_10										
3B	VREFB3BN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	AB12	DQ2B		B_A_8	B_CA_8									
3B	VREFB3BN0	IO	"CLK0n,FPLL_BL_FBn"		DIFFIO_RX_B31n	DIFFOUT_B31n	T12													
