Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1152	DQS for X8	DQS for X16									
GXB_L3		REFCLK3Ln					P10											
GXB_L3		REFCLK3Lp					R11											
GXB_L3		GXB_TX_L11n					F3											
GXB_L3		GXB_TX_L11p					F4											
GXB_L3		"GXB_RX_L11p,GXB_REFCLK_L11p"					G2											
GXB_L3		"GXB_RX_L11n,GXB_REFCLK_L11n"					G1											
GXB_L3		GXB_TX_L10n					H3											
GXB_L3		GXB_TX_L10p					H4											
GXB_L3		"GXB_RX_L10p,GXB_REFCLK_L10p"					J2											
GXB_L3		"GXB_RX_L10n,GXB_REFCLK_L10n"					J1											
GXB_L3		GXB_TX_L9n					K3											
GXB_L3		GXB_TX_L9p					K4											
GXB_L3		"GXB_RX_L9p,GXB_REFCLK_L9p"					L2											
GXB_L3		"GXB_RX_L9n,GXB_REFCLK_L9n"					L1											
GXB_L2		GXB_TX_L8n					M3											
GXB_L2		GXB_TX_L8p					M4											
GXB_L2		"GXB_RX_L8p,GXB_REFCLK_L8p"					N2											
GXB_L2		"GXB_RX_L8n,GXB_REFCLK_L8n"					N1											
GXB_L2		GXB_TX_L7n					P3											
GXB_L2		GXB_TX_L7p					P4											
GXB_L2		"GXB_RX_L7p,GXB_REFCLK_L7p"					R2											
GXB_L2		"GXB_RX_L7n,GXB_REFCLK_L7n"					R1											
GXB_L2		GXB_TX_L6n					T3											
GXB_L2		GXB_TX_L6p					T4											
GXB_L2		"GXB_RX_L6p,GXB_REFCLK_L6p"					U2											
GXB_L2		"GXB_RX_L6n,GXB_REFCLK_L6n"					U1											
GXB_L2		REFCLK2Lp					U11											
GXB_L2		REFCLK2Ln					T10											
GXB_L1		REFCLK1Ln					V10											
GXB_L1		REFCLK1Lp					W11											
GXB_L1		GXB_TX_L5n					V3											
GXB_L1		GXB_TX_L5p					V4											
GXB_L1		"GXB_RX_L5p,GXB_REFCLK_L5p"					W2											
GXB_L1		"GXB_RX_L5n,GXB_REFCLK_L5n"					W1											
GXB_L1		GXB_TX_L4n					Y3											
GXB_L1		GXB_TX_L4p					Y4											
GXB_L1		"GXB_RX_L4p,GXB_REFCLK_L4p"					AA2											
GXB_L1		"GXB_RX_L4n,GXB_REFCLK_L4n"					AA1											
GXB_L1		GXB_TX_L3n					AB3											
GXB_L1		GXB_TX_L3p					AB4											
GXB_L1		"GXB_RX_L3p,GXB_REFCLK_L3p"					AC2											
GXB_L1		"GXB_RX_L3n,GXB_REFCLK_L3n"					AC1											
GXB_L0		GXB_TX_L2n					AD3											
GXB_L0		GXB_TX_L2p					AD4											
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					AE2											
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					AE1											
GXB_L0		GXB_TX_L1n					AF3											
GXB_L0		GXB_TX_L1p					AF4											
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AG2											
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AG1											
GXB_L0		GXB_TX_L0n					AH3											
GXB_L0		GXB_TX_L0p					AH4											
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AJ2											
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AJ1											
GXB_L0		REFCLK0Lp					AA11											
GXB_L0		REFCLK0Ln					AB10											
3A		TDO		TDO			AF11											
3A		nCSO		DATA4			AG10											
3A		TMS		TMS			AG11											
3A		AS_DATA3		DATA3			AJ6											
3A		TCK		TCK			AK5											
3A		AS_DATA2		DATA2			AH8											
3A		TDI		TDI			AE10											
3A		AS_DATA1		DATA1			AJ7											
3A		DCLK		DCLK			AF10											
3A		"AS_DATA0,ASDO"		DATA0			AH9											
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	AD11	DQ1B										
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	AM4											
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	AD12	DQ1B										
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	AM5	DQ1B										
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	AJ11	DQSn1B										
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	AL7	DQ1B										
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	AH12	DQS1B										
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	AK7											
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	AG13	DQ1B										
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	AL8	DQ1B										
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	AF13	DQ1B										
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	AK8	DQ1B										
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	AC12											
