Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	M301	DQS for X8							
GXB_L1		REFCLK1Ln					E20								
GXB_L1		REFCLK1Lp					E21								
GXB_L1		GXB_TX_L5n					G21								
GXB_L1		GXB_TX_L5p					H21								
GXB_L1		"GXB_RX_L5p,GXB_REFCLK_L5p"					F18								
GXB_L1		"GXB_RX_L5n,GXB_REFCLK_L5n"					G18								
GXB_L0		GXB_TX_L2n					K21								
GXB_L0		GXB_TX_L2p					L21								
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					J18								
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					K18		 						
GXB_L0		GXB_TX_L1n					N21								
GXB_L0		GXB_TX_L1p					P21								
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					M18								
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					N18								
GXB_L0		GXB_TX_L0n					T21								
GXB_L0		GXB_TX_L0p					U21								
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					R18								
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					T18								
GXB_L0		REFCLK0Lp					U19								
GXB_L0		REFCLK0Ln					V20								
3A		TDO		TDO			Y21								
3A		nCSO		DATA4			W19								
3A		TMS		TMS			Y20								
3A		AS_DATA3		DATA3			W20								
3A		TCK		TCK			V19								
3A		AS_DATA2		DATA2			Y19								
3A		TDI		TDI			AA21								
3A		AS_DATA1		DATA1			W21								
3A		DCLK		DCLK			AA20								
3A		"AS_DATA0,ASDO"		DATA0			AA19								
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	AA18	DQ1B							
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	V17								
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	AA17	DQ1B							
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	V16	DQ1B							
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	Y16	DQSn1B							
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	V15	DQ1B							
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	AA16	DQS1B							
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	W16								
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	Y15	DQ1B							
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	V9	DQ1B							
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	AA15	DQ1B							
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	V10	DQ1B							
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	W14								
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	V11	DQ1B							
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	Y14								
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	V12	DQ1B							
3B	VREFB3BN0	IO			DIFFIO_RX_B10n	DIFFOUT_B10n	Y13								
3B	VREFB3BN0	IO			DIFFIO_RX_B11p	DIFFOUT_B11p	W13								
3B	VREFB3BN0	IO			DIFFIO_RX_B14n	DIFFOUT_B14n	AA13								
3B	VREFB3BN0	IO	"CLK0n,FPLL_BL_FBn"		DIFFIO_RX_B15n	DIFFOUT_B15n	AA12								
3B	VREFB3BN0	IO			DIFFIO_RX_B18n	DIFFOUT_B18n	AA11	DQ3B							
3B	VREFB3BN0	IO			DIFFIO_TX_B17p	DIFFOUT_B17p	W4	DQ3B							
3B	VREFB3BN0	IO			DIFFIO_RX_B18p	DIFFOUT_B18p	AA10	DQ3B							
3B	VREFB3BN0	IO			DIFFIO_RX_B19n	DIFFOUT_B19n	Y10	DQSn3B							
3B	VREFB3BN0	IO			DIFFIO_TX_B20n	DIFFOUT_B20n	V5	DQ3B							
3B	VREFB3BN0	IO			DIFFIO_RX_B19p	DIFFOUT_B19p	Y11	DQS3B							
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B21n	DIFFOUT_B21n	U5	DQ3B							
3B	VREFB3BN0	IO			DIFFIO_RX_B22n	DIFFOUT_B22n	W6	DQ3B							
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB"		DIFFIO_TX_B21p	DIFFOUT_B21p	V4	DQ3B							
3B	VREFB3BN0	IO			DIFFIO_RX_B22p	DIFFOUT_B22p	V6	DQ3B							
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B23n	DIFFOUT_B23n	U4								
3B	VREFB3BN0	IO			DIFFIO_TX_B24n	DIFFOUT_B24n	V7	DQ3B							
3B	VREFB3BN0	IO	CLK1p		DIFFIO_RX_B23p	DIFFOUT_B23p	U3								
3B	VREFB3BN0	IO			DIFFIO_TX_B24p	DIFFOUT_B24p	W7	DQ3B							
4A	VREFB4AN0	IO	RZQ_0		DIFFIO_TX_B25n	DIFFOUT_B25n	T2								
4A	VREFB4AN0	IO			DIFFIO_RX_B26n	DIFFOUT_B26n	R3								
4A	VREFB4AN0	IO			DIFFIO_TX_B25p	DIFFOUT_B25p	T3								
4A	VREFB4AN0	IO			DIFFIO_RX_B26p	DIFFOUT_B26p	R4								
4A	VREFB4AN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	Y8								
4A	VREFB4AN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	Y9								
4A	VREFB4AN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	AA8								
4A	VREFB4AN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	AA7								
4A	VREFB4AN0	IO	CLK2p		DIFFIO_RX_B31p	DIFFOUT_B31p	AA6								
4A	VREFB4AN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	Y6								
4A	VREFB4AN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	AA5								
4A	VREFB4AN0	IO			DIFFIO_RX_B35n	DIFFOUT_B35n	Y5								
4A	VREFB4AN0	IO			DIFFIO_RX_B35p	DIFFOUT_B35p	Y4								
4A	VREFB4AN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	Y3								
4A	VREFB4AN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	AA3								
4A	VREFB4AN0	IO	CLK3p		DIFFIO_RX_B39p	DIFFOUT_B39p	AA2								
4A	VREFB4AN0	IO			DIFFIO_RX_B43n	DIFFOUT_B43n	AA1								
4A	VREFB4AN0	IO			DIFFIO_RX_B43p	DIFFOUT_B43p	Y1								
4A	VREFB4AN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	W1								
4A	VREFB4AN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	W2								
4A	VREFB4AN0	IO			DIFFIO_RX_B47n	DIFFOUT_B47n	V1								
4A	VREFB4AN0	IO			DIFFIO_RX_B47p	DIFFOUT_B47p	V2								
5A	VREFB5AN0	IO	RZQ_1		DIFFIO_TX_R1p	DIFFOUT_R1p	M4								
5A	VREFB5AN0	IO		INIT_DONE	DIFFIO_RX_R2p	DIFFOUT_R2p	R1								
5A	VREFB5AN0	IO		PR_REQUEST	DIFFIO_TX_R1n	DIFFOUT_R1n	M3								
5A	VREFB5AN0	IO		CRC_ERROR	DIFFIO_RX_R2n	DIFFOUT_R2n	P2								
5A	VREFB5AN0	IO		nCEO	DIFFIO_TX_R3p	DIFFOUT_R3p	J4								
5A	VREFB5AN0	IO			DIFFIO_RX_R4p	DIFFOUT_R4p	M2								
5A	VREFB5AN0	IO		CvP_CONFDONE	DIFFIO_TX_R3n	DIFFOUT_R3n	J3								
5A	VREFB5AN0	IO			DIFFIO_RX_R4n	DIFFOUT_R4n	L2								
5A	VREFB5AN0	IO		DEV_OE	DIFFIO_TX_R5p	DIFFOUT_R5p	G3								
5A	VREFB5AN0	IO		nPERSTL0	DIFFIO_RX_R6p	DIFFOUT_R6p	N1								
5A	VREFB5AN0	IO		DEV_CLRn	DIFFIO_TX_R5n	DIFFOUT_R5n	H4								
5A	VREFB5AN0	IO		nPERSTL1	DIFFIO_RX_R6n	DIFFOUT_R6n	N2								
5A	VREFB5AN0	IO			DIFFIO_TX_R7p	DIFFOUT_R7p	K4								
5A	VREFB5AN0	IO			DIFFIO_RX_R8p	DIFFOUT_R8p	P3								
5A	VREFB5AN0	IO			DIFFIO_TX_R7n	DIFFOUT_R7n	K3								
5A	VREFB5AN0	IO			DIFFIO_RX_R8n	DIFFOUT_R8n	N4								
5B	VREFB5BN0	IO	CLK6p		DIFFIO_RX_R17p	DIFFOUT_R17p	L1								
5B	VREFB5BN0	IO			DIFFIO_TX_R18p	DIFFOUT_R18p	E4								
5B	VREFB5BN0	IO	CLK6n		DIFFIO_RX_R17n	DIFFOUT_R17n	K1								
5B	VREFB5BN0	IO			DIFFIO_TX_R18n	DIFFOUT_R18n	E3								
5B	VREFB5BN0	IO			DIFFIO_RX_R19p	DIFFOUT_R19p	H1								
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT0,FPLL_BR_CLKOUTp,FPLL_BR_FB"		DIFFIO_TX_R20p	DIFFOUT_R20p	F3								
5B	VREFB5BN0	IO			DIFFIO_RX_R19n	DIFFOUT_R19n	J2								
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT1,FPLL_BR_CLKOUTn"		DIFFIO_TX_R20n	DIFFOUT_R20n	G4								
5B	VREFB5BN0	IO			DIFFIO_RX_R21p	DIFFOUT_R21p	H2								
5B	VREFB5BN0	IO			DIFFIO_RX_R21n	DIFFOUT_R21n	G2								
