Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDr2 (2)	HMC Pin Assignment for LPDDR2									
GXB_L2		GXB_TX_L8n					K3													
GXB_L2		GXB_TX_L8p					K4													
GXB_L2		"GXB_RX_L8p,GXB_REFCLK_L8p"					L2													
GXB_L2		"GXB_RX_L8n,GXB_REFCLK_L8n"					L1													
GXB_L2		GXB_TX_L7n					M3													
GXB_L2		GXB_TX_L7p					M4													
GXB_L2		"GXB_RX_L7p,GXB_REFCLK_L7p"					N2													
GXB_L2		"GXB_RX_L7n,GXB_REFCLK_L7n"					N1													
GXB_L2		GXB_TX_L6n					P3													
GXB_L2		GXB_TX_L6p					P4													
GXB_L2		"GXB_RX_L6p,GXB_REFCLK_L6p"					R2													
GXB_L2		"GXB_RX_L6n,GXB_REFCLK_L6n"					R1													
GXB_L2		REFCLK2Lp					P8													
GXB_L2		REFCLK2Ln					N7													
GXB_L1		REFCLK1Ln					R7													
GXB_L1		REFCLK1Lp					R8													
GXB_L1		GXB_TX_L5n					T3													
GXB_L1		GXB_TX_L5p					T4													
GXB_L1		"GXB_RX_L5p,GXB_REFCLK_L5p"					U2													
GXB_L1		"GXB_RX_L5n,GXB_REFCLK_L5n"					U1													
GXB_L1		GXB_TX_L4n					V3													
GXB_L1		GXB_TX_L4p					V4													
GXB_L1		"GXB_RX_L4p,GXB_REFCLK_L4p"					W2													
GXB_L1		"GXB_RX_L4n,GXB_REFCLK_L4n"					W1													
GXB_L1		GXB_TX_L3n					Y3													
GXB_L1		GXB_TX_L3p					Y4													
GXB_L1		"GXB_RX_L3p,GXB_REFCLK_L3p"					AA2													
GXB_L1		"GXB_RX_L3n,GXB_REFCLK_L3n"					AA1													
GXB_L0		GXB_TX_L2n					AB3													
GXB_L0		GXB_TX_L2p					AB4													
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					AC2													
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					AC1													
GXB_L0		GXB_TX_L1n					AD3													
GXB_L0		GXB_TX_L1p					AD4													
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AE2													
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AE1													
GXB_L0		GXB_TX_L0n					AF3													
GXB_L0		GXB_TX_L0p					AF4													
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AG2													
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AG1													
GXB_L0		REFCLK0Lp					W8													
GXB_L0		REFCLK0Ln					W7													
3A		TDO		TDO			W9													
3A		nCSO		DATA4			AA7													
3A		TMS		TMS			V7													
3A		AS_DATA3		DATA3			AB7													
3A		TCK		TCK			AC7													
3A		AS_DATA2		DATA2			AE7													
3A		TDI		TDI			U7													
3A		AS_DATA1		DATA1			AE5													
3A		DCLK		DCLK			T7													
3A		"AS_DATA0,ASDO"		DATA0			AG5													
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	U12	DQ1B												
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	AA10													
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	U11	DQ1B												
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	Y10	DQ1B												
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	Y11	DQSn1B												
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	AD9	DQ1B												
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	AA11	DQS1B												
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	AC9													
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	R10	DQ1B												
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	W10	DQ1B												
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	T11	DQ1B												
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	V9	DQ1B												
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	V10													
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	AF6	DQ1B												
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	V11													
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AF7	DQ1B												
3A	VREFB3AN0	IO			DIFFIO_TX_B9n	DIFFOUT_B9n	AB9													
3A	VREFB3AN0	IO			DIFFIO_RX_B10n	DIFFOUT_B10n	AH6	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_TX_B9p	DIFFOUT_B9p	AA9	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_RX_B10p	DIFFOUT_B10p	AG6	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_RX_B11n	DIFFOUT_B11n	U8	DQSn2B												
3A	VREFB3AN0	IO			DIFFIO_TX_B12n	DIFFOUT_B12n	AG8	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_RX_B11p	DIFFOUT_B11p	T9	DQS2B												
3A	VREFB3AN0	IO			DIFFIO_TX_B12p	DIFFOUT_B12p	AF8													
3A	VREFB3AN0	IO			DIFFIO_TX_B13n	DIFFOUT_B13n	AB8	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_RX_B14n	DIFFOUT_B14n	AH5	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_TX_B13p	DIFFOUT_B13p	AA8	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_RX_B14p	DIFFOUT_B14p	AH4	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_RX_B15n	DIFFOUT_B15n	U9													
3A	VREFB3AN0	IO			DIFFIO_TX_B16n	DIFFOUT_B16n	AH7	DQ2B												
3A	VREFB3AN0	IO			DIFFIO_RX_B15p	DIFFOUT_B15p	T10													
3A	VREFB3AN0	IO			DIFFIO_TX_B16p	DIFFOUT_B16p	AG7	DQ2B												
3B	VREFB3BN0	IO			DIFFIO_TX_B17n	DIFFOUT_B17n	AF10													
3B	VREFB3BN0	IO			DIFFIO_RX_B18n	DIFFOUT_B18n	AD13	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_TX_B17p	DIFFOUT_B17p	AE10	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_RX_B18p	DIFFOUT_B18p	AD12	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_RX_B19n	DIFFOUT_B19n	W12	DQSn3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_TX_B20n	DIFFOUT_B20n	AJ2	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_RX_B19p	DIFFOUT_B19p	V12	DQS3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_TX_B20p	DIFFOUT_B20p	AJ1													
3B	VREFB3BN0	IO			DIFFIO_TX_B21n	DIFFOUT_B21n	AK3	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_RX_B22n	DIFFOUT_B22n	AE13	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_TX_B21p	DIFFOUT_B21p	AJ3	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_RX_B22p	DIFFOUT_B22p	AE12	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_RX_B23n	DIFFOUT_B23n	AB13													
3B	VREFB3BN0	IO			DIFFIO_TX_B24n	DIFFOUT_B24n	AJ5	DQ3B	DQ1B											
