Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	U672	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
GXB_L1		REFCLK1Ln					N8											
GXB_L1		REFCLK1Lp					P8											
GXB_L1		GXB_TX_L5n					D1											
GXB_L1		GXB_TX_L5p					D2											
GXB_L1		"GXB_RX_L5p,GXB_REFCLK_L5p"					F2											
GXB_L1		"GXB_RX_L5n,GXB_REFCLK_L5n"					F1											
GXB_L1		GXB_TX_L4n					H1											
GXB_L1		GXB_TX_L4p					H2											
GXB_L1		"GXB_RX_L4p,GXB_REFCLK_L4p"					K2											
GXB_L1		"GXB_RX_L4n,GXB_REFCLK_L4n"					K1											
GXB_L1		GXB_TX_L3n					M1											
GXB_L1		GXB_TX_L3p					M2											
GXB_L1		"GXB_RX_L3p,GXB_REFCLK_L3p"					P2											
GXB_L1		"GXB_RX_L3n,GXB_REFCLK_L3n"					P1											
GXB_L0		GXB_TX_L2n					T1											
GXB_L0		GXB_TX_L2p					T2											
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					V2											
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					V1											
GXB_L0		GXB_TX_L1n					Y1											
GXB_L0		GXB_TX_L1p					Y2											
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AB2											
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AB1											
GXB_L0		GXB_TX_L0n					AD1											
GXB_L0		GXB_TX_L0p					AD2											
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AF2											
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AF1											
GXB_L0		REFCLK0Lp					V5											
GXB_L0		REFCLK0Ln					V4											
3A		TDO		TDO			Y9											
3A		nCSO		DATA4			AA6											
3A		TMS		TMS			AC7											
3A		AS_DATA3		DATA3			AB6											
3A		TCK		TCK			AB5											
3A		AS_DATA2		DATA2			AC5											
3A		TDI		TDI			W10											
3A		AS_DATA1		DATA1			AC6											
3A		DCLK		DCLK			AA8											
3A		"AS_DATA0,ASDO"		DATA0			AD7											
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	Y8	DQ1B										
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	Y4											
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	W8	DQ1B										
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	Y5	DQ1B										
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	T8	DQSn1B										
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	AB4	DQ1B										
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	U9	DQS1B										
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	AA4											
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	V10	DQ1B										
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	AD4	DQ1B										
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	U10	DQ1B										
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	AC4	DQ1B										
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	AA11											
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	AE6	DQ1B										
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	Y11											
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AD5	DQ1B										
3B	VREFB3BN0	IO			DIFFIO_TX_B9n	DIFFOUT_B9n	AF4			GND	GND							
3B	VREFB3BN0	IO			DIFFIO_RX_B10n	DIFFOUT_B10n	AE9	DQ2B		B_A_15								
