Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
GXB_L2		GXB_TX_L8n					H3											
GXB_L2		GXB_TX_L8p					H4											
GXB_L2		"GXB_RX_L8p,GXB_REFCLK_L8p"					J2											
GXB_L2		"GXB_RX_L8n,GXB_REFCLK_L8n"					J1											
GXB_L2		GXB_TX_L7n					K3											
GXB_L2		GXB_TX_L7p					K4											
GXB_L2		"GXB_RX_L7p,GXB_REFCLK_L7p"					L2											
GXB_L2		"GXB_RX_L7n,GXB_REFCLK_L7n"					L1											
GXB_L2		GXB_TX_L6n					M3											
GXB_L2		GXB_TX_L6p					M4											
GXB_L2		"GXB_RX_L6p,GXB_REFCLK_L6p"					N2											
GXB_L2		"GXB_RX_L6n,GXB_REFCLK_L6n"					N1											
GXB_L2		REFCLK2Lp					P9											
GXB_L2		REFCLK2Ln					P8											
GXB_L1		REFCLK1Ln					T8											
GXB_L1		REFCLK1Lp					T9											
GXB_L1		GXB_TX_L5n					P3											
GXB_L1		GXB_TX_L5p					P4											
GXB_L1		"GXB_RX_L5p,GXB_REFCLK_L5p"					R2											
GXB_L1		"GXB_RX_L5n,GXB_REFCLK_L5n"					R1											
GXB_L1		GXB_TX_L4n					T3											
GXB_L1		GXB_TX_L4p					T4											
GXB_L1		"GXB_RX_L4p,GXB_REFCLK_L4p"					U2											
GXB_L1		"GXB_RX_L4n,GXB_REFCLK_L4n"					U1											
GXB_L1		GXB_TX_L3n					V3											
GXB_L1		GXB_TX_L3p					V4											
GXB_L1		"GXB_RX_L3p,GXB_REFCLK_L3p"					W2											
GXB_L1		"GXB_RX_L3n,GXB_REFCLK_L3n"					W1											
GXB_L0		GXB_TX_L2n					Y3											
GXB_L0		GXB_TX_L2p					Y4											
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					AA2											
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					AA1											
GXB_L0		GXB_TX_L1n					AB3											
GXB_L0		GXB_TX_L1p					AB4											
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AC2											
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AC1											
GXB_L0		GXB_TX_L0n					AD3											
GXB_L0		GXB_TX_L0p					AD4											
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AE2											
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AE1											
GXB_L0		REFCLK0Lp					W8											
GXB_L0		REFCLK0Ln					W7											
3A		TDO		TDO			AB9											
3A		nCSO		DATA4			AB8											
3A		TMS		TMS			V9											
3A		AS_DATA3		DATA3			AC7											
3A		TCK		TCK			AC5											
3A		AS_DATA2		DATA2			AE8											
3A		TDI		TDI			U8											
3A		AS_DATA1		DATA1			AE5											
3A		DCLK		DCLK			U7											
3A		"AS_DATA0,ASDO"		DATA0			AE6											
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	AE12	DQ1B										
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	AE9											
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	AD11	DQ1B										
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	AD9	DQ1B										
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	AD10	DQSn1B										
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	AF10	DQ1B										
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	AC9	DQS1B										
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	AE11											
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	AE7	DQ1B										
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	AH4	DQ1B										
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	AD7	DQ1B										
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	AG3	DQ1B										
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	AF5											
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	AG8	DQ1B										
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	AF4											
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AF9	DQ1B										
3A	VREFB3AN0	IO			DIFFIO_TX_B9n	DIFFOUT_B9n	AG7											
3A	VREFB3AN0	IO			DIFFIO_RX_B10n	DIFFOUT_B10n	AH2	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_TX_B9p	DIFFOUT_B9p	AF8	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_RX_B10p	DIFFOUT_B10p	AG1	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_RX_B11n	DIFFOUT_B11n	AB12	DQSn2B										
3A	VREFB3AN0	IO			DIFFIO_TX_B12n	DIFFOUT_B12n	AG6	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_RX_B11p	DIFFOUT_B11p	AA12	DQS2B										
3A	VREFB3AN0	IO			DIFFIO_TX_B12p	DIFFOUT_B12p	AF6											
3A	VREFB3AN0	IO			DIFFIO_TX_B13n	DIFFOUT_B13n	AH5	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_RX_B14n	DIFFOUT_B14n	AJ2	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_TX_B13p	DIFFOUT_B13p	AG5	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_RX_B14p	DIFFOUT_B14p	AJ1	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_RX_B15n	DIFFOUT_B15n	AD12											
3A	VREFB3AN0	IO			DIFFIO_TX_B16n	DIFFOUT_B16n	AH3	DQ2B										
3A	VREFB3AN0	IO			DIFFIO_RX_B15p	DIFFOUT_B15p	AC12											
3A	VREFB3AN0	IO			DIFFIO_TX_B16p	DIFFOUT_B16p	AG2	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_TX_B17n	DIFFOUT_B17n	AH9											
3B	VREFB3BN0	IO			DIFFIO_RX_B18n	DIFFOUT_B18n	AG11	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B17p	DIFFOUT_B17p	AG10	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B18p	DIFFOUT_B18p	AF11	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B19n	DIFFOUT_B19n	AB13	DQSn3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B20n	DIFFOUT_B20n	AK3	DQ3B	DQ1B									
