*******************************************************************												
* PT-EP1C12-1.4.txt
* PIN-OUT INFORMATION FOR EP1C12            												
* Ver. 1.4                                            												
*******************************************************************											
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	Q240	F256	F324	DQS for x8 in the Q240	DQS for x8 in the F256	DQS for x8 in the F324
B1	VREF0B1	IO	LVDS23p	INIT_DONE	1	D4	C3			
B1	VREF0B1	IO	LVDS23n	CRC_ERROR	2	C3	C2			
B1	VREF0B1	IO	LVDS22p	CLKUSR	3	C2	D3			
B1	VREF0B1	IO	LVDS22n		4	B1	D2			
B1	VREF0B1	IO	VREF0B1		5	G5	D4			
B1	VREF0B1	IO			6	F4	D1			
B1	VREF0B1	IO	LVDS21p		7	D3	E3	DQ0L0	DQ0L0	DQ0L0
B1	VREF0B1	IO	LVDS21n		8	E4	E2	DQ0L1	DQ0L1	DQ0L1
B1	VREF0B1	VCCIO1			9					
B1	VREF0B1	GND			10					
B1	VREF0B1	IO	DPCLK1		11	F5	F1	DQS0L	DQS0L	DQS0L
B1	VREF0B1	IO	LVDS20p		12	E3	E4	DQ0L2	DQ0L2	DQ0L2
B1	VREF0B1	IO	LVDS20n		13	D2	E5	DQ0L3	DQ0L3	DQ0L3
B1	VREF0B1	IO	LVDS19p		14	E2	F2			
B1	VREF0B1	IO	LVDS19n		15	D1	F3			
B1	VREF0B1	IO	LVDS18p		16	F3	F4			
B1	VREF0B1	IO	LVDS18n		17	G3	F5			
B1	VREF0B1	IO	LVDS17p		18	F2	G1			
B1	VREF0B1	IO	LVDS17n		19	E1	G2			
B1	VREF0B1	IO	LVDS16p		20	G2	F6			
B1	VREF0B1	IO	LVDS16n		21	F1	F7	DM0L	DM0L	
B1	VREF0B1	IO	LVDS15p				G3			
B1	VREF0B1	IO	LVDS15n				G4			DQ0L4
B1	VREF0B1	IO	LVDS14p				G5			DQ0L5
B1	VREF0B1	IO	LVDS14n				G6			DQ0L6
B1	VREF0B1	IO					H1			DQ0L7
B1	VREF0B1	VCCIO1			22					
B1	VREF0B1	GND								
B1	VREF1B1	IO	LVDS13p				H2			
B1	VREF1B1	IO	LVDS13n				H3			
B1	VREF1B1	IO	LVDS12p				H4			
B1	VREF1B1	IO	LVDS12n				H5			DM0L
B1	VREF1B1	IO	VREF1B1		23	H5	H6			
B1	VREF1B1	IO		nCSO	24	G4	J1			
B1	VREF1B1	DATA0		DATA0	25	H2	H7			
B1	VREF1B1	nCONFIG		nCONFIG	26	H3	J2			
	VREF1B1	VCCA_PLL1			27	H6	J5			
B1	VREF1B1	CLK0	LVDSCLK1p		28	G1	J3			
B1	VREF1B1	CLK1	LVDSCLK1n		29	H1	J4			
	VREF1B1	GNDA_PLL1			30	J6	K1			
	VREF1B1	GNDG_PLL1			31	J5	J6			
B1	VREF1B1	nCEO		nCEO	32	H4	K2			
B1	VREF1B1	nCE		nCE	33	J4	J7			
B1	VREF1B1	MSEL0		MSEL0	34	J3	K3			
B1	VREF1B1	MSEL1		MSEL1	35	J2	K7			
B1	VREF1B1	DCLK		DCLK	36	K4	L1			
B1	VREF1B1	IO		ASDO	37	K3	K6			
B1	VREF1B1	IO	PLL1_OUTp		38	J1	K4			
B1	VREF1B1	IO	PLL1_OUTn		39	K2	K5			
B1	VREF1B1	IO	LVDS11p				L7			DM1L
B1	VREF1B1	IO	LVDS11n				L6			
B1	VREF1B1	IO	LVDS10p				L2			
