*******************************************************************												
* PT-EP1C3T100-1.5.txt
* PIN-OUT INFORMATION FOR EP1C3T100             												
* Ver. 1.5                                            												
*******************************************************************							
							
Bank Number	VREFB Group	Pin Name / Function	Optional Function(s)	Configuration Function	T100	DQS for x8 in the T100	
B1	VREF0B1	IO		INIT_DONE	1		
B1	VREF0B1	IO		CRC_ERROR	2		
B1	VREF0B1	IO		CLKUSR	3		
B1	VREF0B1	IO	VREF0B1		4		
B1	VREF0B1	VCCIO1					
B1	VREF0B1	GND					
B1	VREF1B1	IO	VREF1B1		5		
B1	VREF1B1	IO		nCSO	6		
B1	VREF1B1	DATA0		DATA0	7		
B1	VREF1B1	nCONFIG		nCONFIG	8		
	VREF1B1	VCCA_PLL1			9		
B1	VREF1B1	CLK0			10		
	VREF1B1	GNDA_PLL1			11		
B1	VREF1B1	nCEO		nCEO	12		
B1	VREF1B1	nCE		nCE	13		
B1	VREF1B1	MSEL0		MSEL0	14		
B1	VREF1B1	MSEL1		MSEL1	15		
B1	VREF1B1	DCLK		DCLK	16		
B1	VREF1B1	IO		ASDO	17		
B1	VREF2B1	VCCIO1			18		
B1	VREF2B1	GND			19		
B1	VREF2B1	IO	VREF2B1		20		
B1	VREF2B1	IO			21		
B1	VREF2B1	IO			22		
B1	VREF2B1	IO			23		
B1	VREF2B1	IO			24		
B1	VREF2B1	IO			25		
B4	VREF2B4	IO			26		
B4	VREF2B4	IO			27	DQ1B7	
B4	VREF2B4	IO			28	DQ1B6	
B4	VREF2B4	IO			29	DQ1B5	
B4	VREF2B4	GND			30		
B4	VREF2B4	VCCIO4			31		
	VREF2B4	GND			32		
	VREF2B4	VCCINT			33		
B4	VREF2B4	IO	DPCLK7		34	DQS1B	
B4	VREF2B4	IO	VREF2B4		35		
B4	VREF2B4	IO			36	DQ1B4	
B4	VREF1B4	IO			37		
B4	VREF1B4	IO	VREF1B4		38		
B4	VREF1B4	IO			39	DM1B	
B4	VREF1B4	IO			40		
B4	VREF0B4	IO	VREF0B4		41		
B4	VREF0B4	IO	DPCLK6		42	DQS0B	
	VREF0B4	GND			43		
	VREF0B4	VCCINT			44		
B4	VREF0B4	GND			45		
B4	VREF0B4	VCCIO4			46		
B4	VREF0B4	IO			47	DQ1B3	
B4	VREF0B4	IO			48	DQ1B2	
B4	VREF0B4	IO			49	DQ1B1	
B4	VREF0B4	IO			50	DQ1B0	
B3	VREF2B3	IO			51		
B3	VREF2B3	IO			52		
B3	VREF2B3	IO			53	DQ0R7	
B3	VREF2B3	IO			54	DQ0R6	
B3	VREF2B3	IO			55	DQ0R5	
B3	VREF2B3	IO			56	DQ0R4	
B3	VREF2B3	IO	VREF2B3		57		
B3	VREF2B3	GND			58		
B3	VREF2B3	VCCIO3			59		
B3	VREF1B3	CONF_DONE		CONF_DONE	60		
B3	VREF1B3	nSTATUS		nSTATUS	61		
B3	VREF1B3	TCK		TCK	62		
B3	VREF1B3	TMS		TMS	63		
B3	VREF1B3	TDO		TDO	64		
B3	VREF1B3	IO			65	DM0R	
B3	VREF1B3	CLK2			66		
B3	VREF1B3	TDI		TDI	67		
B3	VREF1B3	IO	VREF1B3		68		
B3	VREF0B3	IO			69	DQ0R3	
B3	VREF0B3	IO			70	DQ0R2	
B3	VREF0B3	IO			71	DQ0R1	
B3	VREF0B3	IO	DPCLK4		72	DQS0R	
B3	VREF0B3	GND					
B3	VREF0B3	VCCIO3					
B3	VREF0B3	IO	VREF0B3		73		
B3	VREF0B3	IO			74	DQ0R0	
B3	VREF0B3	IO			75		
B2	VREF0B2	IO			76	DQ1T0	
