*******************************************************************												
* PT-EP1C4-1.3.txt
* PIN-OUT INFORMATION FOR EP1C4            												
* Ver. 1.3                                            												
*******************************************************************									
									
Bank Number	VREFB Group	Pin Name / Function	Optional Function(s)	Configuration Function	F324	F400	DQS for x8 in the F324	DQS for x8 in the F400	
B1	VREF0B1	GND							
B1	VREF0B1	IO	LVDS31p	INIT_DONE	C3	C3			
B1	VREF0B1	IO	LVDS31n	CRC_ERROR	C2	C2			
B1	VREF0B1	IO	LVDS30p	CLKUSR	D3	D3			
B1	VREF0B1	IO	LVDS30n		D2	D2			
B1	VREF0B1	IO	VREF0B1		D4	D4			
B1	VREF0B1	IO			D1	D1			
B1	VREF0B1	IO	LVDS29p		E3	E4	DQ0L0	DQ0L0	
B1	VREF0B1	VCCIO1							
B1	VREF0B1	IO	LVDS29n		E2	E5	DQ0L1	DQ0L1	
B1	VREF0B1	IO	DPCLK1		F1	F3	DQS0L	DQS0L	
B1	VREF0B1	IO	LVDS28p		E4	E3	DQ0L2	DQ0L2	
B1	VREF0B1	IO	LVDS28n		E5	E2	DQ0L3	DQ0L3	
B1	VREF0B1	IO	LVDS27p		F2	F4			
B1	VREF0B1	IO	LVDS27n		F3	F5			
B1	VREF0B1	IO	LVDS26p		F4	F2			
B1	VREF0B1	IO	LVDS26n		F5	F1			
B1	VREF0B1	IO	LVDS25n		G2	G5			
B1	VREF0B1	IO	LVDS25p		G1	F6			
B1	VREF0B1	IO	LVDS24p		F6	G1			
B1	VREF0B1	GND							
B1	VREF0B1	IO	LVDS24n		F7	G2			
B1	VREF0B1	IO	LVDS23n		G4	G7	DQ0L4	DQ0L4	
B1	VREF0B1	IO	LVDS23p		G3	G6			
B1	VREF0B1	VCCIO1							
B1	VREF0B1	IO	LVDS22p		G5	G3	DQ0L5	DQ0L5	
B1	VREF0B1	IO	LVDS22n		G6	G4	DQ0L6	DQ0L6	
B1	VREF0B1	IO			H1	H7	DQ0L7	DQ0L7	
B1	VREF1B1	IO	LVDS21p		H2	H1			
B1	VREF1B1	IO	LVDS21n		H3	H2			
B1	VREF1B1	IO	LVDS20p		H4	H3			
B1	VREF1B1	IO	LVDS20n		H5	H4	DM0L	DM0L	
B1	VREF1B1	IO	LVDS19p			J1			
B1	VREF1B1	IO	LVDS19n			J2			
B1	VREF1B1	IO	LVDS18n			H6			
B1	VREF1B1	IO	LVDS18p			H5			
B1	VREF1B1	GND							
B1	VREF1B1	IO	LVDS17p			J3			
B1	VREF1B1	IO	LVDS17n			J4			
B1	VREF1B1	IO	LVDS16p			J5			
B1	VREF1B1	VCCIO1							
B1	VREF1B1	IO	LVDS16n			J6			
B1	VREF1B1	IO				J7			
B1	VREF1B1	IO	VREF1B1		H6	J8			
	VREF1B1	VCCA_PLL1			J5	K4			
B1	VREF1B1	DATA0		DATA0	H7	K3			
B1	VREF1B1	nCONFIG		nCONFIG	J2	K1			
B1	VREF1B1	IO		nCSO	J1	K2			
B1	VREF1B1	nCEO		nCEO	K2	L2			
B1	VREF1B1	nCE		nCE	J7	L5			
B1	VREF1B1	CLK0	LVDSCLK1p		J3	K5			
B1	VREF1B1	MSEL0		MSEL0	K3	L1			
	VREF1B1	GNDA_PLL1			K1	K7			
B1	VREF1B1	MSEL1		MSEL1	K7	L6			
B1	VREF1B1	CLK1	LVDSCLK1n		J4	K6			
B1	VREF1B1	DCLK		DCLK	L1	L3			
	VREF1B1	GNDG_PLL1			J6	L7			
B1	VREF1B1	IO		ASDO	K6	L4			
B1	VREF1B1	IO	PLL1_OUTp		K4	L8			
B1	VREF1B1	IO	PLL1_OUTn		K5	M8			
B1	VREF1B1	IO	LVDS15p			M2			
B1	VREF1B1	IO	LVDS15n			M1			
B1	VREF1B1	IO	LVDS14n			M6			
B1	VREF1B1	IO	LVDS14p			M5			
B1	VREF1B1	GND							
B1	VREF1B1	IO	LVDS13p			M4			
B1	VREF1B1	IO	LVDS13n			M3			
B1	VREF1B1	IO	LVDS12n		L6	N6			
B1	VREF1B1	VCCIO1							
B1	VREF1B1	IO	LVDS12p		L7	M7	DM1L	DM1L	
B1	VREF1B1	IO	LVDS11p		L2	N1			
B1	VREF1B1	IO	LVDS11n		L3	N2			
B1	VREF1B1	IO	LVDS10p		L5	N4			
B1	VREF1B1	IO	LVDS10n		L4	N3			
B1	VREF2B1	IO			M1	N5	DQ1L0	DQ1L0	
B1	VREF2B1	IO	LVDS9p			N7			
B1	VREF2B1	IO	LVDS9n			P7			
B1	VREF2B1	IO	LVDS8p		M3	P2	DQ1L1	DQ1L1	
B1	VREF2B1	IO	LVDS8n		M2	P1	DQ1L2	DQ1L2	
B1	VREF2B1	IO	LVDS7p		M5	P6	DQ1L3	DQ1L3	
B1	VREF2B1	GND							
B1	VREF2B1	IO	LVDS7n		M4	P5			
B1	VREF2B1	IO	LVDS6p		N1	P3			
B1	VREF2B1	IO	LVDS6n		N2	P4			
B1	VREF2B1	VCCIO1							
B1	VREF2B1	IO	LVDS5p		M6	R1			
B1	VREF2B1	IO	LVDS5n		N7	R2			
B1	VREF2B1	IO	LVDS4p		N5	R6			
B1	VREF2B1	IO	LVDS4n		N6	R5			
B1	VREF2B1	IO	LVDS3p		N3	R3	DQ1L4	DQ1L4	
B1	VREF2B1	IO	LVDS3n		N4	R4	DQ1L5	DQ1L5	
B1	VREF2B1	IO	DPCLK0		P5	T4	DQS1L	DQS1L	
B1	VREF2B1	IO	LVDS2p		P2	T2	DQ1L6	DQ1L6	
B1	VREF2B1	IO	LVDS2n		P3	T3	DQ1L7	DQ1L7	
B1	VREF2B1	IO	VREF2B1		R1	U1			
B1	VREF2B1	IO			P4	U4			
B1	VREF2B1	IO	LVDS1p		R2	U2			
B1	VREF2B1	IO	LVDS1n		R3	U3			
B1	VREF2B1	IO	LVDS0p		T2	V2			
B1	VREF2B1	IO	LVDS0n		T3	V3			
B1	VREF2B1	GND							
B1	VREF2B1	VCCIO1							
B4	VREF2B4	IO	LVDS128p		U3	W3			
B4	VREF2B4	IO	LVDS128n		V4	Y4			
B4	VREF2B4	IO	LVDS127p		T4	V4			
B4	VREF2B4	IO	LVDS127n		U4	W4			
B4	VREF2B4	VCCIO4							
B4	VREF2B4	IO	LVDS126p		T5	T5	DQ1B7	DQ1B7	
B4	VREF2B4	IO	LVDS126n		U5	U5	DQ1B6	DQ1B6	
B4	VREF2B4	IO	LVDS125p		M8	V5			
B4	VREF2B4	GND							
B4	VREF2B4	IO	LVDS125n		N8	W5			
B4	VREF2B4	IO	DPCLK7		R4	T6	DQS1B	DQS1B	
B4	VREF2B4	IO	VREF2B4		R5	T7			
B4	VREF2B4	IO	LVDS124p		V6	W6			
B4	VREF2B4	IO	LVDS124n		U6	Y6	DQ1B5	DQ1B5	
B4	VREF2B4	IO	LVDS123p		P6	U6	DQ1B4	DQ1B4	
	VREF2B4	GND							
B4	VREF2B4	IO	LVDS123n		P7	V6			
B4	VREF2B4	IO	LVDS122p		T6	W7			
B4	VREF2B4	IO	LVDS122n		R6	Y7			
B4	VREF2B4	IO	LVDS121p		U7	R7	DQ1B3	DQ1B3	
B4	VREF2B4	IO	LVDS121n		V7	T8	DQ1B2	DQ1B2	
B4	VREF2B4	IO	LVDS120p		T7	V7	DQ1B1	DQ1B1	
B4	VREF2B4	VCCIO4							
B4	VREF2B4	IO	LVDS120n		R7	U7	DQ1B0	DQ1B0	
B4	VREF1B4	IO	LVDS119p		U8	V8			
B4	VREF1B4	IO	LVDS119n		V8	U8			
B4	VREF1B4	GND							
B4	VREF1B4	IO	LVDS118p		T8	W8			
B4	VREF1B4	IO	LVDS118n		R8	Y8			
B4	VREF1B4	IO	LVDS117p		U9	U9			
	VREF1B4	GND							
B4	VREF1B4	IO	LVDS117n		V9	V9			
B4	VREF1B4	IO	LVDS116p		R9	T9	DM1B	DM1B	
B4	VREF1B4	IO	LVDS116n		T9	R9			
B4	VREF1B4	IO	LVDS115p		M9	Y9			
B4	VREF1B4	IO	LVDS115n		N9	W9			
B4	VREF1B4	IO	LVDS114p			T10			
B4	VREF1B4	IO	LVDS114n			U10			
B4	VREF1B4	IO	VREF1B4		P9	V10			
B4	VREF1B4	IO	LVDS113p			W10			
B4	VREF1B4	IO	LVDS113n			Y10			
B4	VREF1B4	VCCIO4							
B4	VREF1B4	IO	LVDS112p		U10	V11			
B4	VREF1B4	IO	LVDS112n		V10	U11			
B4	VREF1B4	IO	LVDS111p		T10	W11			
B4	VREF1B4	GND							
B4	VREF1B4	IO	LVDS111n		R10	Y11			
B4	VREF1B4	IO				R11			
B4	VREF1B4	IO	LVDS110p			Y12			
	VREF1B4	GND							
B4	VREF1B4	IO	LVDS110n		P10	W12			
B4	VREF1B4	IO	LVDS109p		R11	T11			
B4	VREF1B4	IO	LVDS109n		T11	T12			
