*******************************************************************												
* PT-EP1C6-1.5.txt
* PIN-OUT INFORMATION FOR EP1C6            												
* Ver. 1.5                                            												
*******************************************************************											
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	T144	Q240	F256	DQS for x8 in the T144	DQS for x8 in the Q240	DQS for x8 in the F256
B1	VREF0B1	IO	LVDS14p	INIT_DONE	1	1	D4	DM1L		
B1	VREF0B1	IO	LVDS14n	CRC_ERROR	2	2	C3	DQ1L0		
B1	VREF0B1	IO	LVDS13p	CLKUSR	3	3	C2	DQ1L1		
B1	VREF0B1	IO	LVDS13n		4	4	B1			
B1	VREF0B1	IO	VREF0B1		5	5	G5			
B1	VREF0B1	IO			6	6	F4	DQ1L2		
B1	VREF0B1	IO	LVDS12p		7	7	D3	DQ1L3	DQ0L0	DQ0L0
B1	VREF0B1	IO	LVDS12n			8	E4		DQ0L1	DQ0L1
B1	VREF0B1	VCCIO1			8	9				
B1	VREF0B1	GND			9	10				
B1	VREF0B1	IO	DPCLK1		10	11	F5	DQS0L	DQS0L	DQS0L
B1	VREF0B1	IO	LVDS11p			12	E3		DQ0L2	DQ0L2
B1	VREF0B1	IO	LVDS11n			13	D2		DQ0L3	DQ0L3
B1	VREF0B1	IO	LVDS10p			14	E2			
B1	VREF0B1	IO	LVDS10n			15	D1			
B1	VREF0B1	IO	LVDS9p			16	F3			
B1	VREF0B1	IO	LVDS9n			17	G3			
B1	VREF0B1	IO	LVDS8p			18	F2			
B1	VREF0B1	IO	LVDS8n			19	E1			
B1	VREF0B1	IO	LVDS7p			20	G2			
B1	VREF0B1	IO	LVDS7n			21	F1		DM0L	DM0L
B1	VREF0B1	VCCIO1				22				
B1	VREF1B1	IO	VREF1B1		11	23	H5			
B1	VREF1B1	IO		nCSO	12	24	G4			
B1	VREF1B1	DATA0		DATA0	13	25	H2			
B1	VREF1B1	nCONFIG		nCONFIG	14	26	H3			
	VREF1B1	VCCA_PLL1			15	27	H6			
B1	VREF1B1	CLK0	LVDSCLK1p		16	28	G1			
B1	VREF1B1	CLK1	LVDSCLK1n		17	29	H1			
	VREF1B1	GNDA_PLL1			18	30	J6			
	VREF1B1	GNDG_PLL1			19	31	J5			
B1	VREF1B1	nCEO		nCEO	20	32	H4			
B1	VREF1B1	nCE		nCE	21	33	J4			
B1	VREF1B1	MSEL0		MSEL0	22	34	J3			
B1	VREF1B1	MSEL1		MSEL1	23	35	J2			
B1	VREF1B1	DCLK		DCLK	24	36	K4			
B1	VREF1B1	IO		ASDO	25	37	K3			
