"Pin Information for the Cyclone® II EP2C5 Device Version 2.0   Note (1), (2)"													
													
													
Bank Number	VREFB Group	Pin Name / Function	Optional Function(s)	Configuration Function	T144	Q208	F256	DQS for x8/x9 in T144	DQS for x8/x9 in Q208	DQS for x16/x18 in Q208	DQS for x8/x9 in F256	DQS for x16/x18 in F256	
B1	VREFB1N0	IO	ASDO	ASDO	1	1	C3						
B1	VREFB1N0	IO	nCSO	nCSO	2	2	F4						
B1	VREFB1N0	IO	LVDS9p	CRC_ERROR	3	3	C1						
B1	VREFB1N0	IO	LVDS9n	CLKUSR	4	4	C2						
B1	VREFB1N0	IO	LVDS8p			5	D5						
B1	VREFB1N0	IO	LVDS8n			6	E5				DQ0L0	DQ1L0	
B1	VREFB1N0	VCCIO1			5	7							
B1	VREFB1N0	IO	LVDS7p			8	E3		DQ1L0		DQ0L1	DQ1L1	
B1	VREFB1N0	GND			6	9							
B1	VREFB1N0	IO	LVDS7n			10	E4		DQ1L1		DQ0L2	DQ1L2	
B1	VREFB1N0	IO	LVDS6p			11	D3		DQ1L2		DQ0L3	DQ1L3	
B1	VREFB1N0	IO	LVDS6n			12	D4		DQ1L3		DQ0L4	DQ1L4	
B1	VREFB1N0	IO	VREFB1N0		7	13	F3						
B1	VREFB1N0	VCCIO1											
B1	VREFB1N0	IO	LVDS5p		8	14	E1	DPCLK0/DQS0L	DPCLK0/DQS0L	DPCLK0/DQS0L	DPCLK0/DQS0L	DPCLK0/DQS0L	
B1	VREFB1N0	IO	LVDS5n		9	15	E2				DQ0L5	DQ1L5	
B1	VREFB1N0	TDO		TDO	10	16	G2						
B1	VREFB1N0	TMS		TMS	11	17	G1						
B1	VREFB1N0	TCK		TCK	12	18	F2						
B1	VREFB1N0	TDI		TDI	13	19	H5						
B1	VREFB1N0	DATA0	DATA0	DATA0	14	20	F1						
B1	VREFB1N0	DCLK	DCLK	DCLK	15	21	H4						
B1	VREFB1N0	nCE		nCE	16	22	G5						
B1	VREFB1N0	CLK0	LVDSCLK0p/input(3)		17	23	H2						
B1	VREFB1N0	CLK1	LVDSCLK0n/input(3)		18	24	H1						
B1	VREFB1N0	GND			19	25							
B1	VREFB1N0	nCONFIG		nCONFIG	20	26	J5						
B1	VREFB1N1	CLK2	LVDSCLK1p/input(3)		21	27	J2						
B1	VREFB1N1	CLK3	LVDSCLK1n/input(3)		22	28	J1						
B1	VREFB1N1	VCCIO1			23	29							
B1	VREFB1N1	IO	LVDS4p		24	30	K2	DPCLK1/DQS1L	DPCLK1/DQS1L	DPCLK1/DQS1L	DPCLK1/DQS1L	DPCLK1/DQS1L	
B1	VREFB1N1	IO	LVDS4n		25	31	K1				DQ0L6	DQ1L6	
B1	VREFB1N1	IO	LVDS3p		26	32	K4				DQ0L7	DQ1L7	
B1	VREFB1N1	IO	LVDS3n		27	33	K5		DQ1L4			DQ1L8	
B1	VREFB1N1	IO				34	M1		DQ1L5		DM0L	DM1L0/BWS#1L0	
B1	VREFB1N1	IO	LVDS2p			35	L1		DQ1L6		DQ1L0	DQ1L9	
B1	VREFB1N1	IO	LVDS2n			36	L2				DQ1L1	DQ1L10	
B1	VREFB1N1	IO	VREFB1N1		28	37	J4						
B1	VREFB1N1	IO					M2				DQ1L2	DQ1L11	
B1	VREFB1N1	GND				38							
B1	VREFB1N1	IO				39	M3		DQ1L7		DQ1L3	DQ1L12	
B1	VREFB1N1	IO	LVDS1p			40	N1		DQ1L8		DQ1L4	DQ1L13	
B1	VREFB1N1	IO	LVDS1n			41	N2		DM1L/BWS#1L		DQ1L5	DQ1L14	
B1	VREFB1N1	VCCIO1			29	42							
B1	VREFB1N1	IO				43	L3				DQ1L6	DQ1L15	
B1	VREFB1N1	IO	LVDS0p			44	P1				DQ1L7	DQ1L16	
