Pin Name	84-Pin PLCC 	144-Pin TQFP	208-Pin PQFP/RQFP 
MSEL0	31	77	108
MSEL1	32	76	107
nSTATUS	55	35	52
nCONFIG	34	74	105
DCLK	13	107	155
CONF_DONE	76	2	2
INIT_DONE	69	14	19
nCE	14	106	154
nCEO	75	3	3
nWS	80	142	206
nRS	81	141	204
nCS	78	144	208
CS	79	143	207
RDYnBSY	70	11	16
CLKUSR	73	7	10
DATA7	5	116	166
DATA6	6	114	164
DATA5	7	113	162
DATA4	8	112	161
DATA3	9	111	159
DATA2	10	110	158
DATA1	11	109	157
DATA0	12	108	156
TDI	15	105	153
TDO	74	4	4
TCK	77	1	1
TMS	57	34	50
TRST	56		51
Dedicated Inputs	2, 42, 44, 84	54, 56, 124, 126	78, 80, 182, 184
Dedicated Clock Pins	1, 43	55, 125	79, 183
DEV_CLRn	3	122	180
DEV_OE	83	128	186
VCCINT	4, 20, 33, 40, 45, 63	6, 25, 52, 53, 75, 93, 123	6, 23, 35, 43, 76, 77, 106, 109, 117, 137, 145, 181
VCCIO	-	5, 24, 45, 61, 71, 94, 115, 134	5, 22, 34, 42, 66, 84, 98, 110, 118, 138, 146, 165, 178, 194
GNDINT	26, 41, 46, 68, 82	16, 57, 58, 84, 103, 127	21, 33, 49, 81, 82, 123, 129, 151, 185
GNDIO	-	15, 40, 50, 66, 85, 104, 129, 139	20, 32, 48, 59, 72, 91, 124, 130, 152, 171, 188, 201
No Connect (N.C.)	-	-	7, 8, 9, 14, 15, 36, 37, 113, 114, 125, 126, 139, 140
Total User I/O Pins	59	102	134
