Pin Name	100-Pin TQFP	144-Pin TQFP	208-Pin PQFP/RQFP	256-Pin FineLine BGA
MSEL0	54	77	108	P1
MSEL1	53	76	107	R1
nSTATUS	25	35	52	T16
nCONFIG	51	74	105	N4
DCLK	75	107	155	B2
CONF_DONE	1	2	2	C15
INIT_DONE	10	14	19	G16
nCE	74	106	154	B1
nCEO	2	3	3	B16
nWS	97	142	206	B14
nRS	96	141	204	C14
nCS	99	144	208	A16
CS	98	143	207	A15
RDYnBSY	8	11	16	G14
CLKUSR	5	7	10	D15
DATA7	84	116	166	B5
DATA6	82	114	164	D4
DATA5	81	113	162	A4
DATA4	80	112	161	B4
DATA3	79	111	159	C3
DATA2	78	110	158	A2
DATA1	77	109	157	B3
DATA0	76	108	156	A1
TDI	73	105	153	C2
TDO	3	4	4	C16
TCK	100	1	1	B15
TMS	24	34	50	P15
TRST			51	R16
Dedicated Inputs	40, 38, 89, 91	54, 56, 124, 126	78, 80, 182, 184	B9, E8, M9, R8
Dedicated Clock Pins	39, 90	55, 125	79, 183	A9, L8
DEV_CLRn	87	122	180	D8
DEV_OE	93	128	186	C9
VCCINT	18, 37, 52, 66, 88	6, 25, 52, 53, 75, 93, 123	6, 23, 35, 43, 76, 77, 106, 109, 117, 137, 145, 181	E11, F5, F7, F9, F12, H6, H7, H10, J7, J10, J11, K9, L5, L7, L9, L12, M11, R2
VCCIO	4, 17, 32, 49, 67, 83	5, 24, 45, 61, 71, 94, 115, 134	5, 22, 34, 42, 66, 84, 98, 110, 118, 138, 146, 165, 178, 194	D12, E6, F8, F10, G6, G8, G11, H11, J6, K6, K8, K11, L10, M6, N12
GNDINT	12, 41, 59, 92	16, 57, 58, 84, 103, 127	21, 33, 49, 81, 82, 123, 129, 151, 185	E5, E12, F6, F11, G7, G9, G10, H8, H9, J8, J9, K7,K10, L6, L11, M5, M12, T8
GNDIO	11, 28, 46, 60, 72, 95	15, 40, 50, 66, 85, 104, 129, 139	20, 32, 48, 59, 72, 91, 124, 130, 152, 171, 188, 201	-
No Connect (N.C.)	-	-	7, 8, 9, 14, 15, 36, 37, 113, 114, 125, 126, 139, 140	A8, B8, D1, D14, D16, E1, E3, E13, E14, E15, E16, F14, F15, F16, G3, H1, H4, H16, J1, J2, K2, K3, K12, K14, K15, K16, L2, L4, M2, M3, M4, M14, M16, N1, N2, N3, N14, N15, P2, P11, P14
Total User I/O Pins	66	102	134	150
