Pin Name	144-Pin TQFP	208-Pin PQFP/RQFP	240-Pin PQFP/RQFP 
MSEL0	77	108	124
MSEL1	76	107	123
nSTATUS	35	52	60
nCONFIG	74	105	121
DCLK 	107	155	179
CONF_DONE	2	2	2
INIT_DONE	14	19	26
nCE	106	154	178
nCE	3	3	3
nWS	142	206	238
nRS	141	204	236
nCS	144	208	240
CS	143	207	239
RDYnBSY	11	16	23
CLKUSR	7	10	11
DATA7	116	166	190
DATA6	114	164	188
DATA5	113	162	186
DATA4	112	161	185
DATA3	111	159	183
DATA2	110	158	182
DATA1	109	157	181
DATA0	108	156	180
TDI	105	153	177
TDO	4	4	4
TCK	1	1	1
TMS	34	50	58
TRST		51	59
Dedicated Inputs	54, 56, 124, 126	78, 80, 182, 184	90, 92, 210, 212
Dedicated Clock Pins	55, 125	79, 183	91, 211
DEV_CLRn	122	180	209
DEV_OE	128	186	213
VCCINT	6, 25, 52, 53, 75, 93, 123	6, 23, 35, 43, 76, 77, 106, 109, 117, 137, 145, 181	5, 16, 27, 37, 47, 57, 77, 89, 96, 112, 122, 130, 140, 150, 160, 170, 189, 205, 224
VCCIO	5, 24, 45, 61, 71, 94, 115, 134	5, 22, 34, 42, 66, 84, 98, 110, 118, 138, 146, 165, 178, 194	
GNDINT	16, 57, 58, 84, 103, 127	21, 33, 49, 81, 82, 123, 129, 151, 185	10, 22, 32, 42, 52, 69, 85, 93, 104, 125, 135, 145, 155, 165, 176, 197, 216, 232
GNDIO	15, 40, 50, 66, 85, 104, 129, 139	20, 32, 48, 59, 72, 91, 124, 130, 152, 171, 188, 201	-
No Connect (N.C.)	-	-	-
	102	147	189
Total User I/O Pins
