Pin Name	208-Pin PQFP/RQFP	240-Pin PQFP/RQFP
MSEL0	108	124
MSEL1	107	123
nSTATUS	52	60
nCONFIG	105	121
DCLK	155	179
CONF_DONE	2	2
INIT_DONE	19	26
nCE	154	178
nCEO	3	3
nWS	206	238
nRS	204	236
nCS	208	240
CS	207	239
RDYnBSY	16	23
CLKUSR	10	11
DATA7	166	190
DATA6	164	188
DATA5	162	186
DATA4	161	185
DATA3	159	183
DATA2	158	182
DATA1	157	181
DATA0	156	180
TDI	153	177
TDO	4	4
TCK	1	1
TMS	50	58
TRST	51	59
Dedicated Inputs	78, 80, 182, 184	90, 92, 210, 212
Dedicated Clock Pins	79, 183	91, 211
DEV_CLRn	180	209
DEV_OE	186	213
VCCINT	6, 23, 35, 43, 76, 77, 106, 109, 117, 137, 145, 181	5, 16, 27, 37, 47, 57, 77, 89, 96, 112, 122, 130, 140, 150, 160, 170, 189, 205, 224
VCCIO	5, 22, 34, 42, 66, 84, 98, 110, 118, 138, 146, 165, 178, 194	
GNDINT	21, 33, 49, 81, 82, 123, 129, 151, 185	10, 22, 32, 42, 52, 69, 85, 93, 104, 125, 135, 145, 155, 165, 176, 197, 216, 232
GNDIO	20, 32, 48, 59, 72, 91, 124, 130, 152, 171, 188, 201	-
No Connect (N.C.) 	-	-
Total User I/O Pins	147	189
