Pin Name	144-Pin TQFP	208-Pin PQFP	240-Pin PQFP	256-Pin BGA
MSEL	33	46	52	T3
nSTATUS	56	80	92	W11
nCONFIG	53	77	89	Y11
DCLK	128	184	212	C10
CONF_DONE	105	150	172	E18
INIT_DONE	94	135	155	J19
nCE	4	6	9	E1
nCEO	70	102	117	V18
nWS	117	169	195	B15
nRS	120	174	200	C13
nCS	111	159	184	B17
CS	114	162	188	A17
RDYnBUSY	97	140	161	G20
CLKUSR	100	144	166	G17
DATA	125	181	209	B10
TDI	13	19	22	J3
TDO	73	107	124	T17
TCK	34	47	54	V1
TMS	27	38	44	P3
Dedicated Inputs	17, 20, 89, 92	24, 28, 128, 132	28, 32, 148, 152	K19, L1, L3, L20
DEV_CLRn	130	187	216	C9
DEV_OE	123	178	205	A12
VCCINT	6, 31, 77, 103	8, 26, 44, 111, 130, 148	11, 30, 50, 130, 150, 170	D20, F3, K20, L2, T20, U1
VCCIO	7, 19, 32, 55, 78, 91, 104, 127	9, 27, 45, 63, 79, 96, 112, 131, 149, 166, 183, 200	12, 31, 51, 72, 91, 110, 131, 151, 171, 192, 211, 230	D6, D11, D15, F4, F17, K4, L17, R4, R17, U6, U10, U15
GND	5, 18, 30, 54, 76, 90, 102, 126	7, 25, 43, 62, 78, 95, 110, 129, 147, 165, 182, 199	10, 29, 49, 61, 71, 90, 109, 120, 129, 149, 169, 181, 191, 210, 229, 240	A1, D4, D8, D13, D17, H4, H17, N4, N17, U4, U8, U13, U17
No connect (N.C.) 	-	-	-	A11, A16, B4, C7, D12, E20, J20, T2, U12, V8, V14, W5, Y17, Y19
Total user I/O pins	117	171	199	204
