Table 1 shows all pins for the EP1M120 484-pin FineLine BGA package.				
				
Table 1. EP1M120 Device Pin-Outs				
I/O and VREF Bank	Maximum GTL+ Current Subgroup (1)	Pin Name/Function	Dual Purpose Function (2)	484-Pin      FineLine BGA
1		I/O	HSDI_RX1p	A16
1		I/O	HSDI_RX2p	A15
1		I/O	HSDI_RX3p	A14
1		I/O	HSDI_RX4p	A13
1		HSDI_CLK1p	-	B12
1		I/O	VREF1 (3)	A17
1		I/O	HSDI_RX1n	B16
1		I/O	HSDI_RX2n	B15
1		I/O	HSDI_RX3n	B14
1		I/O	HSDI_RX4n	B13
1		HSDI_CLK1n	-	A12
2 (4)		I/O	HSDI_TX1p	AB16
2 (4)		I/O	HSDI_TX2p	AB15
2 (4)		I/O	HSDI_TX3p	AB14
2 (4)		I/O	HSDI_TX4p	AB13
2 (4)		HSDI_TXCLKOUT1p	-	AB12
2 (4)		I/O	VREF2 (3)	AB17
2 (4)		I/O	HSDI_TX1n	AA16
2 (4)		I/O	HSDI_TX2n	AA15
2 (4)		I/O	HSDI_TX3n	AA14
2 (4)		I/O	HSDI_TX4n	AA13
2 (4)		HSDI_TXCLKOUT1n	-	AA12
3		HSDI_CLK2p	-	A11
3		I/O	HSDI_RX5p	A10
3		I/O	HSDI_RX6p	A9
3		I/O	HSDI_RX7p	A8
3		I/O	HSDI_RX8p	A7
3		HSDI_CLK2n	-	B11
3		I/O	VREF3 (3)	C10
3		I/O	HSDI_RX5n	B10
3		I/O	HSDI_RX6n	B9
3		I/O	HSDI_RX7n	B8
3		I/O	HSDI_RX8n	B7
4 (4)		I/O	HSDI_TX5p	AB10
4 (4)		I/O	HSDI_TX6p	AB9
4 (4)		I/O	HSDI_TX7p	AB8
4 (4)		I/O	HSDI_TX8p	AB7
4 (4)		I/O	VREF4 (3)	AB11
4 (4)		I/O	HSDI_TX5n	AA10
4 (4)		I/O	HSDI_TX6n	AA9
4 (4)		I/O	HSDI_TX7n	AA8
