"Pin Information for the Stratix® V 5SGTC7 Device 
Version 1.0
 Note (1)"													
Bank Number	VREF	Pin Name/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1517	DQS for X4	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 									
GXB_L3		REFCLK7Lp					N31													
GXB_L3		REFCLK7Ln					N32													
GXB_L3		GXB_TX_L23n					C37													
GXB_L3		GXB_TX_L23p					C36													
GXB_L3		"GXB_RX_L23n,GXB_REFCLK_L23n"					B39													
GXB_L3		"GXB_RX_L23p,GXB_REFCLK_L23p"					B38													
GXB_L3		GXB_TX_L22n					E37													
GXB_L3		GXB_TX_L22p					E36													
GXB_L3		"GXB_RX_L22n,GXB_REFCLK_L22n"					D39													
GXB_L3		"GXB_RX_L22p,GXB_REFCLK_L22p"					D38													
GXB_L3		GXB_TX_L21n					G37													
GXB_L3		GXB_TX_L21p					G36													
GXB_L3		"GXB_RX_L21n,GXB_REFCLK_L21n"					F39													
GXB_L3		"GXB_RX_L21p,GXB_REFCLK_L21p"					F38													
GXB_L3		GXB_TX_L20n					J37													
GXB_L3		GXB_TX_L20p					J36													
GXB_L3		"GXB_RX_L20n,GXB_REFCLK_L20n"					H39													
GXB_L3		"GXB_RX_L20p,GXB_REFCLK_L20p"					H38													
GXB_L3		GXB_TX_L19n					K35													
GXB_L3		GXB_TX_L19p					K34													
GXB_L3		"GXB_RX_L19n,GXB_REFCLK_L19n"					K39													
GXB_L3		"GXB_RX_L19p,GXB_REFCLK_L19p"					K38													
GXB_L3		GXB_TX_L18n					M35													
GXB_L3		GXB_TX_L18p					M34													
GXB_L3		"GXB_RX_L18n,GXB_REFCLK_L18n"					L37													
GXB_L3		"GXB_RX_L18p,GXB_REFCLK_L18p"					L36													
GXB_L3		REFCLK6Lp					R32													
GXB_L3		REFCLK6Ln					R33													
GXB_L2		REFCLK5Lp					U31													
GXB_L2		REFCLK5Ln					U32													
GXB_L2		GXB_TX_L17n					N37													
GXB_L2		GXB_TX_L17p					N36													
GXB_L2		"GXB_RX_L17n,GXB_REFCLK_L17n"					M39													
GXB_L2		"GXB_RX_L17p,GXB_REFCLK_L17p"					M38													
GXB_L2		GXB_TX_L16n					P35													
GXB_L2		GXB_TX_L16p					P34													
GXB_L2		"GXB_RX_L16n,GXB_REFCLK_L16n"					P39													
GXB_L2		"GXB_RX_L16p,GXB_REFCLK_L16p"					P38													
GXB_L2		GXB_TX_L15n					R37													
GXB_L2		GXB_TX_L15p					R36													
GXB_L2		"GXB_RX_L15n,GXB_REFCLK_L15n"					T39													
GXB_L2		"GXB_RX_L15p,GXB_REFCLK_L15p"					T38													
GXB_L2		GXB_TX_L14n					T35													
GXB_L2		GXB_TX_L14p					T34													
GXB_L2		"GXB_RX_L14n,GXB_REFCLK_L14n"					U37													
GXB_L2		"GXB_RX_L14p,GXB_REFCLK_L14p"					U36													
GXB_L2		GXB_TX_L13n					V35													
GXB_L2		GXB_TX_L13p					V34													
GXB_L2		"GXB_RX_L13n,GXB_REFCLK_L13n"					V39													
GXB_L2		"GXB_RX_L13p,GXB_REFCLK_L13p"					V38													
GXB_L2		GXB_TX_L12n					W37													
GXB_L2		GXB_TX_L12p					W36													
GXB_L2		"GXB_RX_L12n,GXB_REFCLK_L12n"					Y39													
GXB_L2		"GXB_RX_L12p,GXB_REFCLK_L12p"					Y38													
GXB_L2		REFCLK4Lp					W32													
GXB_L2		REFCLK4Ln					W33													
GXB_L1		REFCLK3Lp					AA31													
GXB_L1		REFCLK3Ln					AA32													
GXB_L1		GXB_TX_L11n					Y35													
GXB_L1		GXB_TX_L11p					Y34													
GXB_L1		"GXB_RX_L11n,GXB_REFCLK_L11n"					AA37													
GXB_L1		"GXB_RX_L11p,GXB_REFCLK_L11p"					AA36													
GXB_L1		GXB_TX_L10n					AB35													
GXB_L1		GXB_TX_L10p					AB34													
GXB_L1		"GXB_RX_L10n,GXB_REFCLK_L10n"					AB39													
GXB_L1		"GXB_RX_L10p,GXB_REFCLK_L10p"					AB38													
GXB_L1		GXB_TX_L9n					AC37													
GXB_L1		GXB_TX_L9p					AC36													
GXB_L1		"GXB_RX_L9n,GXB_REFCLK_L9n"					AD39													
GXB_L1		"GXB_RX_L9p,GXB_REFCLK_L9p"					AD38													
GXB_L1		GXB_TX_L8n					AD35													
GXB_L1		GXB_TX_L8p					AD34													
GXB_L1		"GXB_RX_L8n,GXB_REFCLK_L8n"					AF39													
GXB_L1		"GXB_RX_L8p,GXB_REFCLK_L8p"					AF38													
GXB_L1		GXB_TX_L7n					AF35													
GXB_L1		GXB_TX_L7p					AF34													
GXB_L1		"GXB_RX_L7n,GXB_REFCLK_L7n"					AE37													
GXB_L1		"GXB_RX_L7p,GXB_REFCLK_L7p"					AE36													
GXB_L1		GXB_TX_L6n					AG37													
GXB_L1		GXB_TX_L6p					AG36													
GXB_L1		"GXB_RX_L6n,GXB_REFCLK_L6n"					AH39													
GXB_L1		"GXB_RX_L6p,GXB_REFCLK_L6p"					AH38													
GXB_L1		REFCLK2Lp					AC32													
GXB_L1		REFCLK2Ln					AC33													
GXB_L0		REFCLK1Lp					AE31													
GXB_L0		REFCLK1Ln					AE32													
GXB_L0		GXB_TX_L5n					AH35													
GXB_L0		GXB_TX_L5p					AH34													
GXB_L0		"GXB_RX_L5n,GXB_REFCLK_L5n"					AK39													
GXB_L0		"GXB_RX_L5p,GXB_REFCLK_L5p"					AK38													
GXB_L0		GXB_TX_L4n					AK35													
GXB_L0		GXB_TX_L4p					AK34													
GXB_L0		"GXB_RX_L4n,GXB_REFCLK_L4n"					AJ37													
GXB_L0		"GXB_RX_L4p,GXB_REFCLK_L4p"					AJ36													
GXB_L0		GXB_TX_L3n					AL37													
GXB_L0		GXB_TX_L3p					AL36													
GXB_L0		"GXB_RX_L3n,GXB_REFCLK_L3n"					AM39													
GXB_L0		"GXB_RX_L3p,GXB_REFCLK_L3p"					AM38													
GXB_L0		GXB_TX_L2n					AN37													
GXB_L0		GXB_TX_L2p					AN36													
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					AP39													
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					AP38													
GXB_L0		GXB_TX_L1n					AR37													
GXB_L0		GXB_TX_L1p					AR36													
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AT39													
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AT38													
GXB_L0		GXB_TX_L0n					AU37													
GXB_L0		GXB_TX_L0p					AU36													
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AV39													
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AV38													
GXB_L0		REFCLK0Lp					AG32													
GXB_L0		REFCLK0Ln					AG33													
3A		nCONFIG		nCONFIG			U26													
3A		TRST		TRST			U27													
3A		TMS		TMS			AU34													
3A		TCK		TCK			AV34													
3A		TDI		TDI			AU33													
3A		TDO		TDO			AM33													
3A		nCSO		nCSO			V29													
3A		AS_DATA3		AS_DATA3			W28													
3A		AS_DATA2		AS_DATA2			U29													
3A		AS_DATA1		AS_DATA1			W29													
3A		"AS_DATA0,ASDO"		"AS_DATA0,ASDO"			T27													
3A		DCLK		DCLK			U28													
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_TX_B1n	DIFFOUT_B1n	AN34	DQ1B	DQ1B											
3A	VREFB3AN0	IO		CRC_ERROR	DIFFIO_TX_B1p	DIFFOUT_B1p	AM34	DQ1B	DQ1B											
3A	VREFB3AN0	IO	RZQ_0		DIFFIO_RX_B2n	DIFFOUT_B2n	AR34	DQSn1B	DQ1B											
