"Pin Information for the Stratix® V 5SGXB6 Device 
Version 1.1 
Note (1)"													
Bank Number	VREF	Pin Name/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1517	DQS for X4	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 									
GXB_L5		GXB_TX_L32n					E35													
GXB_L5		GXB_TX_L32p					E34													
GXB_L5		"GXB_RX_L32n,GXB_REFCLK_L32n"					C39													
GXB_L5		"GXB_RX_L32p,GXB_REFCLK_L32p"					C38													
GXB_L5		GXB_TX_L31n					F33													
GXB_L5		GXB_TX_L31p					F32													
GXB_L5		"GXB_RX_L31n,GXB_REFCLK_L31n"					D37													
GXB_L5		"GXB_RX_L31p,GXB_REFCLK_L31p"					D36													
GXB_L5		GXB_TX_L30n					G35													
GXB_L5		GXB_TX_L30p					G34													
GXB_L5		"GXB_RX_L30n,GXB_REFCLK_L30n"					E39													
GXB_L5		"GXB_RX_L30p,GXB_REFCLK_L30p"					E38													
GXB_L5		REFCLK10Lp					L29													
GXB_L5		REFCLK10Ln					L30													
GXB_L4		REFCLK9Lp					N29													
GXB_L4		REFCLK9Ln					N30													
GXB_L4		GXB_TX_L29n					H33													
GXB_L4		GXB_TX_L29p					H32													
GXB_L4		"GXB_RX_L29n,GXB_REFCLK_L29n"					F37													
GXB_L4		"GXB_RX_L29p,GXB_REFCLK_L29p"					F36													
GXB_L4		GXB_TX_L28n					J35													
GXB_L4		GXB_TX_L28p					J34													
GXB_L4		"GXB_RX_L28n,GXB_REFCLK_L28n"					G39													
GXB_L4		"GXB_RX_L28p,GXB_REFCLK_L28p"					G38													
GXB_L4		GXB_TX_L27n					K33													
GXB_L4		GXB_TX_L27p					K32													
GXB_L4		"GXB_RX_L27n,GXB_REFCLK_L27n"					H37													
GXB_L4		"GXB_RX_L27p,GXB_REFCLK_L27p"					H36													
GXB_L4		GXB_TX_L26n					L35													
GXB_L4		GXB_TX_L26p					L34													
GXB_L4		"GXB_RX_L26n,GXB_REFCLK_L26n"					J39													
GXB_L4		"GXB_RX_L26p,GXB_REFCLK_L26p"					J38													
GXB_L4		GXB_TX_L25n					M33													
GXB_L4		GXB_TX_L25p					M32													
GXB_L4		"GXB_RX_L25n,GXB_REFCLK_L25n"					K37													
GXB_L4		"GXB_RX_L25p,GXB_REFCLK_L25p"					K36													
GXB_L4		GXB_TX_L24n					N35													
GXB_L4		GXB_TX_L24p					N34													
GXB_L4		"GXB_RX_L24n,GXB_REFCLK_L24n"					L39													
GXB_L4		"GXB_RX_L24p,GXB_REFCLK_L24p"					L38													
GXB_L4		REFCLK8Lp					R30													
GXB_L4		REFCLK8Ln					R31													
GXB_L3		REFCLK7Lp					U29													
GXB_L3		REFCLK7Ln					U30													
GXB_L3		GXB_TX_L23n					P33													
GXB_L3		GXB_TX_L23p					P32													
GXB_L3		"GXB_RX_L23n,GXB_REFCLK_L23n"					M37													
GXB_L3		"GXB_RX_L23p,GXB_REFCLK_L23p"					M36													
GXB_L3		GXB_TX_L22n					P37													
GXB_L3		GXB_TX_L22p					P36													
GXB_L3		"GXB_RX_L22n,GXB_REFCLK_L22n"					N39													
GXB_L3		"GXB_RX_L22p,GXB_REFCLK_L22p"					N38													
GXB_L3		GXB_TX_L21n					R35													
GXB_L3		GXB_TX_L21p					R34													
GXB_L3		"GXB_RX_L21n,GXB_REFCLK_L21n"					R39													
GXB_L3		"GXB_RX_L21p,GXB_REFCLK_L21p"					R38													
GXB_L3		GXB_TX_L20n					T33													
GXB_L3		GXB_TX_L20p					T32													
GXB_L3		"GXB_RX_L20n,GXB_REFCLK_L20n"					T37													
GXB_L3		"GXB_RX_L20p,GXB_REFCLK_L20p"					T36													
GXB_L3		GXB_TX_L19n					U35													
GXB_L3		GXB_TX_L19p					U34													
GXB_L3		"GXB_RX_L19n,GXB_REFCLK_L19n"					U39													
GXB_L3		"GXB_RX_L19p,GXB_REFCLK_L19p"					U38													
GXB_L3		GXB_TX_L18n					V33													
GXB_L3		GXB_TX_L18p					V32													
GXB_L3		"GXB_RX_L18n,GXB_REFCLK_L18n"					V37													
GXB_L3		"GXB_RX_L18p,GXB_REFCLK_L18p"					V36													
GXB_L3		REFCLK6Lp					W30													
GXB_L3		REFCLK6Ln					W31													
GXB_L2		REFCLK5Lp					AA29													
GXB_L2		REFCLK5Ln					AA30													
GXB_L2		GXB_TX_L17n					W35													
GXB_L2		GXB_TX_L17p					W34													
GXB_L2		"GXB_RX_L17n,GXB_REFCLK_L17n"					W39													
GXB_L2		"GXB_RX_L17p,GXB_REFCLK_L17p"					W38													
GXB_L2		GXB_TX_L16n					Y33													
GXB_L2		GXB_TX_L16p					Y32													
GXB_L2		"GXB_RX_L16n,GXB_REFCLK_L16n"					AA39													
GXB_L2		"GXB_RX_L16p,GXB_REFCLK_L16p"					AA38													
GXB_L2		GXB_TX_L15n					Y37													
GXB_L2		GXB_TX_L15p					Y36													
GXB_L2		"GXB_RX_L15n,GXB_REFCLK_L15n"					AB37													
GXB_L2		"GXB_RX_L15p,GXB_REFCLK_L15p"					AB36													
GXB_L2		GXB_TX_L14n					AA35													
GXB_L2		GXB_TX_L14p					AA34													
GXB_L2		"GXB_RX_L14n,GXB_REFCLK_L14n"					AC39													
GXB_L2		"GXB_RX_L14p,GXB_REFCLK_L14p"					AC38													
GXB_L2		GXB_TX_L13n					AB33													
GXB_L2		GXB_TX_L13p					AB32													
GXB_L2		"GXB_RX_L13n,GXB_REFCLK_L13n"					AD37													
GXB_L2		"GXB_RX_L13p,GXB_REFCLK_L13p"					AD36													
GXB_L2		GXB_TX_L12n					AC35													
GXB_L2		GXB_TX_L12p					AC34													
GXB_L2		"GXB_RX_L12n,GXB_REFCLK_L12n"					AE39													
GXB_L2		"GXB_RX_L12p,GXB_REFCLK_L12p"					AE38													
GXB_L2		REFCLK4Lp					AC30													
GXB_L2		REFCLK4Ln					AC31													
GXB_L1		REFCLK3Lp					AE29													
GXB_L1		REFCLK3Ln					AE30													
GXB_L1		GXB_TX_L11n					AD33													
GXB_L1		GXB_TX_L11p					AD32													
GXB_L1		"GXB_RX_L11n,GXB_REFCLK_L11n"					AF37													
GXB_L1		"GXB_RX_L11p,GXB_REFCLK_L11p"					AF36													
GXB_L1		GXB_TX_L10n					AE35													
GXB_L1		GXB_TX_L10p					AE34													
GXB_L1		"GXB_RX_L10n,GXB_REFCLK_L10n"					AG39													
GXB_L1		"GXB_RX_L10p,GXB_REFCLK_L10p"					AG38													
GXB_L1		GXB_TX_L9n					AF33													
GXB_L1		GXB_TX_L9p					AF32													
GXB_L1		"GXB_RX_L9n,GXB_REFCLK_L9n"					AH37													
GXB_L1		"GXB_RX_L9p,GXB_REFCLK_L9p"					AH36													
GXB_L1		GXB_TX_L8n					AG35													
GXB_L1		GXB_TX_L8p					AG34													
GXB_L1		"GXB_RX_L8n,GXB_REFCLK_L8n"					AJ39													
GXB_L1		"GXB_RX_L8p,GXB_REFCLK_L8p"					AJ38													
GXB_L1		GXB_TX_L7n					AH33													
GXB_L1		GXB_TX_L7p					AH32													
GXB_L1		"GXB_RX_L7n,GXB_REFCLK_L7n"					AK37													
GXB_L1		"GXB_RX_L7p,GXB_REFCLK_L7p"					AK36													
GXB_L1		GXB_TX_L6n					AJ35													
GXB_L1		GXB_TX_L6p					AJ34													
GXB_L1		"GXB_RX_L6n,GXB_REFCLK_L6n"					AL39													
GXB_L1		"GXB_RX_L6p,GXB_REFCLK_L6p"					AL38													
GXB_L1		REFCLK2Lp					AG30													
GXB_L1		REFCLK2Ln					AG31													
GXB_L0		REFCLK1Lp					AJ29													
GXB_L0		REFCLK1Ln					AJ30													
