*******************************************************************								
* PT-EP1S10-3.7.txt
* PIN-OUT INFORMATION FOR EP1S10               								
* Ver. 3.7                                            								
*******************************************************************											
										
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F484	B672	F672	F780	DQS for x32	DIFFIO Speed (1)
B2	VREF0B2	IO	DIFFIO_RX21p		D22	C1	C1	G27		HIGH
B2	VREF0B2	IO	DIFFIO_RX21n		D21	D2	D2	G28		HIGH
B2	VREF0B2	IO	DIFFIO_TX21p		E19	E3	E3	K21		HIGH
B2	VREF0B2	IO	DIFFIO_TX21n		E20	E4	E4	K22		HIGH
B2	VREF0B2	IO	DIFFIO_RX20p/RUP2		E21	K4	K4	H26		HIGH
B2	VREF0B2	IO	DIFFIO_RX20n/RDN2		E22	K3	K3	H25		HIGH
B2	VREF0B2	IO	DIFFIO_TX20p			F3	F3	L22		HIGH
B2	VREF0B2	IO	DIFFIO_TX20n		F18	F4	F4	L21		HIGH
B2	VREF0B2	IO	DIFFIO_RX19p			F1	F1	H27		HIGH
B2	VREF0B2	IO	DIFFIO_RX19n			F2	F2	H28		HIGH
B2	VREF0B2	IO	DIFFIO_TX19p			G5	G5	L23		HIGH
B2	VREF0B2	IO	DIFFIO_TX19n		G18	G6	G6	L24		HIGH
B2	VREF0B2	VREF0B2			H18	H8	H8	E24		
B2	VREF0B2	IO	DIFFIO_RX18p			G1	G1	J25		HIGH
B2	VREF0B2	IO	DIFFIO_RX18n		J17	G2	G2	J26		HIGH
B2	VREF0B2	IO	DIFFIO_TX18p		G19	G3	G3	L20		HIGH
B2	VREF0B2	IO	DIFFIO_TX18n		G20	G4	G4	L19		HIGH
B2	VREF0B2	IO	DIFFIO_RX17p			K6	K6	J27		HIGH
B2	VREF0B2	IO	DIFFIO_RX17n			K5	K5	J28		HIGH
B2	VREF0B2	IO	DIFFIO_TX17p			H3	H3	M22		HIGH
B2	VREF0B2	IO	DIFFIO_TX17n		J19	H4	H4	M21		HIGH
B2	VREF0B2	IO	DIFFIO_RX16p			L3	L3	K26		HIGH
B2	VREF0B2	IO	DIFFIO_RX16n			L2	L2	K25		HIGH
B2	VREF0B2	IO	DIFFIO_TX16p			L5	L5	M24		HIGH
B2	VREF0B2	IO	DIFFIO_TX16n		H17	L4	L4	M23		HIGH
B2	VREF1B2	IO	DIFFIO_RX15p					K27		HIGH
B2	VREF1B2	IO	DIFFIO_RX15n					K28		HIGH
B2	VREF1B2	IO	DIFFIO_TX15p		H19	L7	L7	M20		HIGH
B2	VREF1B2	IO	DIFFIO_TX15n		H20	L6	L6	M19		HIGH
B2	VREF1B2	IO	DIFFIO_RX14p		F21	M6	M6	L25		HIGH
B2	VREF1B2	IO	DIFFIO_RX14n		F22	M7	M7	L26		HIGH
