*******************************************************************								
* PT-EP1S25-3.6.txt
* PIN-OUT INFORMATION FOR EP1S25               								
* Ver. 3.6                                            								
*******************************************************************											
											
											
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	B672	F672	F780	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
B2	VREF0B2	IO	DIFFIO_RX38p		C1	C1		F31			HIGH
B2	VREF0B2	IO	DIFFIO_RX38n		D2	D2		F32			HIGH
B2	VREF0B2	IO	DIFFIO_TX38p		E3	E3		G28			HIGH
B2	VREF0B2	IO	DIFFIO_TX38n		E4	E4		G27			HIGH
B2	VREF0B2	IO	DIFFIO_RX37p		E1	E1		G29			HIGH
B2	VREF0B2	IO	DIFFIO_RX37n		E2	E2		G30			HIGH
B2	VREF0B2	IO	DIFFIO_TX37p		F3	F3	F24	H28			HIGH
B2	VREF0B2	IO	DIFFIO_TX37n		F4	F4	F23	H27			HIGH
B2	VREF0B2	IO	DIFFIO_RX36p		F1	F1	C27	H30			HIGH
B2	VREF0B2	IO	DIFFIO_RX36n		F2	F2	C28	H29			HIGH
B2	VREF0B2	IO	DIFFIO_TX36p		G5	G5	G23	J27			HIGH
B2	VREF0B2	IO	DIFFIO_TX36n		G6	G6	G24	J28			HIGH
B2	VREF0B2	IO	DIFFIO_RX35p		G1	G1	D27	G31			HIGH
B2	VREF0B2	IO	DIFFIO_RX35n		G2	G2	D28	G32			HIGH
B2	VREF0B2	IO	DIFFIO_TX35p		G3	G3	H24	H25			HIGH
B2	VREF0B2	IO	DIFFIO_TX35n		G4	G4	H23	H26			HIGH
B2	VREF0B2	IO	DIFFIO_RX34p		H1	H1	E27	H31			HIGH
B2	VREF0B2	IO	DIFFIO_RX34n		H2	H2	E28	H32			HIGH
B2	VREF0B2	IO	DIFFIO_TX34p		H3	H3	H22	J25			HIGH
B2	VREF0B2	IO	DIFFIO_TX34n		H4	H4	H21	J26			HIGH
B2	VREF0B2	VREF0B2			H8	H8	E24	F27			
B2	VREF0B2	IO	DIFFIO_RX33p				F25	J29			HIGH
B2	VREF0B2	IO	DIFFIO_RX33n				F26	J30			HIGH
B2	VREF0B2	IO	DIFFIO_TX33p		H6	H6	J24	K28			HIGH
B2	VREF0B2	IO	DIFFIO_TX33n		H5	H5	J23	K27			HIGH
B2	VREF0B2	IO	DIFFIO_RX32p				F27	K30			HIGH
B2	VREF0B2	IO	DIFFIO_RX32n				F28	K29			HIGH
B2	VREF0B2	IO	DIFFIO_TX32p		J7	J7	K23	K26			HIGH
B2	VREF0B2	IO	DIFFIO_TX32n		H7	H7	K24	K25			HIGH
B2	VREF0B2	IO	DIFFIO_RX31p		J4	J4	G26	J32			HIGH
B2	VREF0B2	IO	DIFFIO_RX31n		J3	J3	G25	J31			HIGH
B2	VREF0B2	IO	DIFFIO_TX31p				J21	L27			HIGH
B2	VREF0B2	IO	DIFFIO_TX31n				J22	L26			HIGH
B2	VREF0B2	IO	DIFFIO_RX30p		J2	J2	G27	K31			HIGH
B2	VREF0B2	IO	DIFFIO_RX30n		J1	J1	G28	L32			HIGH
B2	VREF0B2	IO	DIFFIO_TX30p		J6	J6	K21	M26			HIGH
B2	VREF0B2	IO	DIFFIO_TX30n		J5	J5	K22	M27			HIGH
B2	VREF0B2	IO	DIFFIO_RX29p/RUP2		K4	K4	H26	M28			HIGH
B2	VREF0B2	IO	DIFFIO_RX29n/RDN2		K3	K3	H25	M29			HIGH
B2	VREF0B2	IO	DIFFIO_TX29p				L22	M24			HIGH
B2	VREF0B2	IO	DIFFIO_TX29n				L21	M25			HIGH
B2	VREF1B2	IO	DIFFIO_RX28p				H27	L30			HIGH
B2	VREF1B2	IO	DIFFIO_RX28n				H28	L31			HIGH
B2	VREF1B2	IO	DIFFIO_TX28p				L23	N24			HIGH
B2	VREF1B2	IO	DIFFIO_TX28n				L24	N23			HIGH
B2	VREF1B2	IO	DIFFIO_RX27p		K2	K2	J25	M31			HIGH
B2	VREF1B2	IO	DIFFIO_RX27n		K1	K1	J26	M30			HIGH
B2	VREF1B2	IO	DIFFIO_TX27p		K9	K9	L20	N27			HIGH
B2	VREF1B2	IO	DIFFIO_TX27n		J8	J8	L19	N28			HIGH
B2	VREF1B2	IO	DIFFIO_RX26p		K6	K6	J27	N29			HIGH
B2	VREF1B2	IO	DIFFIO_RX26n		K5	K5	J28	N30			HIGH
B2	VREF1B2	IO	DIFFIO_TX26p		K8	K8	M22	P23			HIGH
B2	VREF1B2	IO	DIFFIO_TX26n		K7	K7	M21	P24			HIGH
