*******************************************************************								
* PT-EP1S30-3.6.txt
* PIN-OUT INFORMATION FOR EP1S30               								
* Ver. 3.6                                            								
*******************************************************************											
										
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F780	B956	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
		VCCA_PLL7				L23	D31			
		GND								
		GNDA_PLL7				M23	D32			
		VCCG_PLL7				J23	D30			
		GNDG_PLL7				K23	E30			
B2	VREF0B2	FPLL7CLKp				E31	L29			
B2	VREF0B2	FPLL7CLKn				D31	L28			
B2	VREF0B2	IO	DIFFIO_RX40p				E32			LOW
B2	VREF0B2	IO	DIFFIO_RX40n				E31			LOW
B2	VREF0B2	IO	DIFFIO_TX40p			K24	G25			HIGH
B2	VREF0B2	IO	DIFFIO_TX40n			J24	G26			HIGH
B2	VREF0B2	IO	DIFFIO_RX39p			F28	F29			HIGH
B2	VREF0B2	IO	DIFFIO_RX39n			G28	F30			HIGH
B2	VREF0B2	IO	DIFFIO_TX39p			K25	G28			HIGH
B2	VREF0B2	IO	DIFFIO_TX39n			J25	G27			HIGH
B2	VREF0B2	IO	DIFFIO_RX38p			J28	F31			HIGH
B2	VREF0B2	IO	DIFFIO_RX38n			H28	F32			HIGH
B2	VREF0B2	IO	DIFFIO_TX38p		F24	H24	H28			HIGH
B2	VREF0B2	IO	DIFFIO_TX38n		F23	G24	H27			HIGH
B2	VREF0B2	VREF0B2			E24	L22	F27			
B2	VREF0B2	IO	DIFFIO_RX37p			D29	G29			HIGH
B2	VREF0B2	IO	DIFFIO_RX37n			E29	G30			HIGH
B2	VREF0B2	IO	DIFFIO_TX37p		G23	H25	J27			HIGH
B2	VREF0B2	IO	DIFFIO_TX37n		G24	G25	J28			HIGH
B2	VREF0B2	IO	DIFFIO_RX36p		C27	F29	H30			HIGH
B2	VREF0B2	IO	DIFFIO_RX36n		C28	G29	H29			HIGH
B2	VREF0B2	IO	DIFFIO_TX36p		H24	K26	H25			HIGH
B2	VREF0B2	IO	DIFFIO_TX36n		H23	L26	H26			HIGH
B2	VREF0B2	IO	DIFFIO_RX35p		D27	H29	G31			HIGH
B2	VREF0B2	IO	DIFFIO_RX35n		D28	J29	G32			HIGH
B2	VREF0B2	IO	DIFFIO_TX35p		H22	J26	J25			HIGH
B2	VREF0B2	IO	DIFFIO_TX35n		H21	H26	J26			HIGH
B2	VREF0B2	IO	DIFFIO_RX34p		E27	D30	H31			HIGH
B2	VREF0B2	IO	DIFFIO_RX34n		E28	E30	H32			HIGH
B2	VREF0B2	IO	DIFFIO_TX34p		J24	G26	K28			HIGH
B2	VREF0B2	IO	DIFFIO_TX34n		J23	F26	K27			HIGH
B2	VREF1B2	IO	DIFFIO_RX33p		F25	F30	J29			HIGH
B2	VREF1B2	IO	DIFFIO_RX33n		F26	G30	J30			HIGH
B2	VREF1B2	IO	DIFFIO_TX33p		K23	F27	K26			HIGH
B2	VREF1B2	IO	DIFFIO_TX33n		K24	G27	K25			HIGH
B2	VREF1B2	IO	DIFFIO_RX32p		F27	H30	K30			HIGH
B2	VREF1B2	IO	DIFFIO_RX32n		F28	J30	K29			HIGH
B2	VREF1B2	IO	DIFFIO_TX32p		J21	H27	L27			HIGH
B2	VREF1B2	IO	DIFFIO_TX32n		J22	J27	L26			HIGH
B2	VREF1B2	IO	DIFFIO_RX31p		G26	F31	J32			HIGH
B2	VREF1B2	IO	DIFFIO_RX31n		G25	G31	J31			HIGH
B2	VREF1B2	IO	DIFFIO_TX31p		K21	K27	M26			HIGH
B2	VREF1B2	IO	DIFFIO_TX31n		K22	L27	M27			HIGH
B2	VREF1B2	IO	DIFFIO_RX30p		G27	H31	K31			HIGH
B2	VREF1B2	IO	DIFFIO_RX30n		G28	J31	L32			HIGH
B2	VREF1B2	IO	DIFFIO_TX30p		L22	L24	M24			HIGH
B2	VREF1B2	IO	DIFFIO_TX30n		L21	M24	M25			HIGH
B2	VREF1B2	VREF1B2			K20	M22	L25			
B2	VREF1B2	IO	DIFFIO_RX29p/RUP2		H26	K28	M28			HIGH
B2	VREF1B2	IO	DIFFIO_RX29n/RDN2		H25	K29	M29			HIGH
B2	VREF1B2	IO	DIFFIO_TX29p		L23	L25	N24			HIGH
B2	VREF1B2	IO	DIFFIO_TX29n		L24	M25	N23			HIGH
B2	VREF1B2	IO	DIFFIO_RX28p		H27	M28	L30			HIGH
B2	VREF1B2	IO	DIFFIO_RX28n		H28	L28	L31			HIGH
B2	VREF1B2	IO	DIFFIO_TX28p		L20	P24	N27			HIGH
B2	VREF1B2	IO	DIFFIO_TX28n		L19	N24	N28			HIGH
B2	VREF1B2	IO	DIFFIO_RX27p		J25	M29	M31			HIGH
B2	VREF1B2	IO	DIFFIO_RX27n		J26	L29	M30			HIGH
B2	VREF1B2	IO	DIFFIO_TX27p		M22	N25	P23			HIGH
B2	VREF1B2	IO	DIFFIO_TX27n		M21	P25	P24			HIGH
B2	VREF1B2	IO	DIFFIO_RX26p		J27	P28	N29			HIGH
B2	VREF1B2	IO	DIFFIO_RX26n		J28	N28	N30			HIGH
B2	VREF1B2	IO	DIFFIO_TX26p		M24	M26	N25			HIGH
B2	VREF1B2	IO	DIFFIO_TX26n		M23	N26	N26			HIGH
B2	VREF2B2	IO	DIFFIO_RX25p		K26	N29	N31			HIGH
B2	VREF2B2	IO	DIFFIO_RX25n		K25	P29	N32			HIGH
B2	VREF2B2	IO	DIFFIO_TX25p		M20	M27	P28			HIGH
B2	VREF2B2	IO	DIFFIO_TX25n		M19	N27	P27			HIGH
B2	VREF2B2	IO	DIFFIO_RX24p		K27	L30	P29			HIGH
B2	VREF2B2	IO	DIFFIO_RX24n		K28	K30	P30			HIGH
B2	VREF2B2	IO	DIFFIO_TX24p		N26	P27	R28			HIGH
B2	VREF2B2	IO	DIFFIO_TX24n		N25	R27	R27			HIGH
B2	VREF2B2	IO	DIFFIO_RX23p		L25	N30	P31			HIGH
B2	VREF2B2	IO	DIFFIO_RX23n		L26	M30	P32			HIGH
B2	VREF2B2	IO	DIFFIO_TX23p		N24	R26	P25			HIGH
B2	VREF2B2	IO	DIFFIO_TX23n		N23	P26	P26			HIGH
B2	VREF2B2	IO	DIFFIO_RX22p		L27	L31	R32			HIGH
B2	VREF2B2	IO	DIFFIO_RX22n		L28	K31	R31			HIGH
B2	VREF2B2	IO	DIFFIO_TX22p		N22	N23	R23			HIGH
B2	VREF2B2	IO	DIFFIO_TX22n		N21	P23	R24			HIGH
B2	VREF2B2	VREF2B2			P19	N22	R21			
B2	VREF2B2	IO	DIFFIO_RX21p		M25	R30	R30			HIGH
B2	VREF2B2	IO	DIFFIO_RX21n		M26	P30	R29			HIGH
B2	VREF2B2	IO	DIFFIO_TX21p		N20	T25	R25			HIGH
B2	VREF2B2	IO	DIFFIO_TX21n		N19	R25	R26			HIGH
B2	VREF2B2	IO	DIFFIO_RX20p		M27	P31	T32			HIGH
B2	VREF2B2	IO	DIFFIO_RX20n		N28	R31	T31			HIGH
B2	VREF2B2	IO	DIFFIO_TX20p				M23			LOW
B2	VREF2B2	IO	DIFFIO_TX20n				M22			LOW
B2	VREF2B2	CLK0n			N27	R28	T30			
B2	VREF2B2	CLK0p			P27	R29	T29			
B2	VREF2B2	IO	CLK1n		P26	T30	T28			
B2	VREF2B2	CLK1p			P25	T31	T27			
		VCCA_PLL1			P23	R24	T25			
		GND								
		GNDA_PLL1			P24	T24	T26			
		VCCG_PLL1			P21	R22	R22			
		GNDG_PLL1			P22	R23	T22			
		VCCA_PLL2			R23	U24	U25			
		GND								
		GNDA_PLL2			R24	V24	U26			
		VCCG_PLL2			R21	U23	U24			
		GNDG_PLL2			R22	V23	T24			
B1	VREF0B1	CLK2p			R27	T29	U31			
B1	VREF0B1	CLK2n			T27	T28	U32			
B1	VREF0B1	CLK3p			R25	U29	U29			
B1	VREF0B1	IO	CLK3n		R26	U28	U30			
B1	VREF0B1	IO	DIFFIO_RX19p		T28	U31	U28			HIGH
B1	VREF0B1	IO	DIFFIO_RX19n		U27	V31	U27			HIGH
B1	VREF0B1	IO	DIFFIO_TX19p		T21	V25	V26			HIGH
B1	VREF0B1	IO	DIFFIO_TX19n		T22	U25	V25			HIGH
B1	VREF0B1	IO	DIFFIO_RX18p		U26	AB31	V32			HIGH
B1	VREF0B1	IO	DIFFIO_RX18n		U25	AA31	V31			HIGH
B1	VREF0B1	IO	DIFFIO_TX18p		T19	U26	V28			HIGH
B1	VREF0B1	IO	DIFFIO_TX18n		T20	T26	V27			HIGH
B1	VREF0B1	VREF0B1			R19	V22	V21			
B1	VREF0B1	IO	DIFFIO_RX17p		V27	V30	V30			HIGH
B1	VREF0B1	IO	DIFFIO_RX17n		V28	U30	V29			HIGH
B1	VREF0B1	IO	DIFFIO_TX17p		T23	T27	W25			HIGH
B1	VREF0B1	IO	DIFFIO_TX17n		T24	U27	W26			HIGH
B1	VREF0B1	IO	DIFFIO_RX16p		V26	W30	W32			HIGH
B1	VREF0B1	IO	DIFFIO_RX16n		V25	Y30	W31			HIGH
B1	VREF0B1	IO	DIFFIO_TX16p		T26	V26	W27			HIGH
B1	VREF0B1	IO	DIFFIO_TX16n		T25	W26	W28			HIGH
B1	VREF0B1	IO	DIFFIO_RX15p		W28	AA30	W30			HIGH
B1	VREF0B1	IO	DIFFIO_RX15n		W27	AB30	W29			HIGH
B1	VREF0B1	IO	DIFFIO_TX15p		U19	W24	V24			HIGH
B1	VREF0B1	IO	DIFFIO_TX15n		U20	Y24	V23			HIGH
B1	VREF0B1	IO	DIFFIO_RX14p		W26	V29	Y32			HIGH
B1	VREF0B1	IO	DIFFIO_RX14n		W25	W29	Y31			HIGH
B1	VREF0B1	IO	DIFFIO_TX14p		U24	W25	Y26			HIGH
B1	VREF0B1	IO	DIFFIO_TX14n		U23	Y25	Y25			HIGH
B1	VREF1B1	IO	DIFFIO_RX13p		Y28	Y29	Y30			HIGH
B1	VREF1B1	IO	DIFFIO_RX13n		Y27	AA29	Y29			HIGH
B1	VREF1B1	IO	DIFFIO_TX13p		U21	Y26	Y28			HIGH
B1	VREF1B1	IO	DIFFIO_TX13n		U22	AA26	Y27			HIGH
B1	VREF1B1	IO	DIFFIO_RX12p		Y26	V28	AA31			HIGH
B1	VREF1B1	IO	DIFFIO_RX12n		Y25	W28	AA30			HIGH
B1	VREF1B1	IO	DIFFIO_TX12p		V19	W23	W23			HIGH
B1	VREF1B1	IO	DIFFIO_TX12n		V20	Y23	W24			HIGH
B1	VREF1B1	IO	DIFFIO_RX11p		AA28	Y28	AB31			HIGH
B1	VREF1B1	IO	DIFFIO_RX11n		AA27	AA28	AB30			HIGH
B1	VREF1B1	IO	DIFFIO_TX11p		V24	V27	Y23			HIGH
B1	VREF1B1	IO	DIFFIO_TX11n		V23	W27	Y24			HIGH
B1	VREF1B1	IO	DIFFIO_RX10p/RUP1		AA25	AB29	AA28			HIGH
B1	VREF1B1	IO	DIFFIO_RX10n/RDN1		AA26	AB28	AA29			HIGH
B1	VREF1B1	IO	DIFFIO_TX10p		V22	Y27	AA25			HIGH
B1	VREF1B1	IO	DIFFIO_TX10n		V21	AA27	AA24			HIGH
B1	VREF1B1	VREF1B1			W20	W22	AA23			
B1	VREF1B1	IO	DIFFIO_RX9p		AB28	AC31	AB32			HIGH
B1	VREF1B1	IO	DIFFIO_RX9n		AB27	AD31	AC31			HIGH
B1	VREF1B1	IO	DIFFIO_TX9p		W23	AB27	AA27			HIGH
B1	VREF1B1	IO	DIFFIO_TX9n		W24	AC27	AA26			HIGH
B1	VREF1B1	IO	DIFFIO_RX8p		AB26	AE31	AD32			HIGH
B1	VREF1B1	IO	DIFFIO_RX8n		AB25	AF31	AD31			HIGH
