*******************************************************************								
* PT-EP1S40-3.6.txt
* PIN-OUT INFORMATION FOR EP1S40               								
* Ver. 3.6                                            								
*******************************************************************										
											
											
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F780	B956	F1020	F1508	DQS for x16	DQS for x32	DIFFIO Speed (1)
		VCCA_PLL7				L23	D31	J31			
		GND									
		GNDA_PLL7				M23	D32	K31			
		VCCG_PLL7				J23	D30	L30			
		GNDG_PLL7				K23	E30	L31			
B2	VREF0B2	FPLL7CLKp				E31	L29	J38			
B2	VREF0B2	FPLL7CLKn				D31	L28	J39			
B2	VREF0B2	IO						N30			
B2	VREF0B2	IO						N31			
B2	VREF0B2	IO	DIFFIO_RX44p				E29	G39			LOW
B2	VREF0B2	IO	DIFFIO_RX44n				F28	G38			LOW
B2	VREF0B2	IO	DIFFIO_TX44p		D25	K24	G25	M30			HIGH
B2	VREF0B2	IO	DIFFIO_TX44n		D26	J24	G26	M31			HIGH
B2	VREF0B2	IO	DIFFIO_RX43p				E32	H39			LOW
B2	VREF0B2	IO	DIFFIO_RX43n				E31	H38			LOW
B2	VREF0B2	IO	DIFFIO_TX43p		E25	K25	G28	J32			HIGH
B2	VREF0B2	IO	DIFFIO_TX43n		E26	J25	G27	J33			HIGH
B2	VREF0B2	IO	DIFFIO_RX42p		C27	F28	F29	K36			HIGH
B2	VREF0B2	IO	DIFFIO_RX42n		C28	G28	F30	K37			HIGH
B2	VREF0B2	IO	DIFFIO_TX42p		F24	H24	H28	K32			HIGH
B2	VREF0B2	IO	DIFFIO_TX42n		F23	G24	H27	K33			HIGH
B2	VREF0B2	VREF0B2			E24	L22	F27	M29			
B2	VREF0B2	IO	DIFFIO_RX41p			J28	F31	J36			HIGH
B2	VREF0B2	IO	DIFFIO_RX41n			H28	F32	J37			HIGH
B2	VREF0B2	IO	DIFFIO_TX41p		G23	H25	J27	L33			HIGH
B2	VREF0B2	IO	DIFFIO_TX41n		G24	G25	J28	L32			HIGH
B2	VREF0B2	IO	DIFFIO_RX40p			D29	G29	L37			HIGH
B2	VREF0B2	IO	DIFFIO_RX40n			E29	G30	L36			HIGH
B2	VREF0B2	IO	DIFFIO_TX40p		H24	K26	H25	M32			HIGH
B2	VREF0B2	IO	DIFFIO_TX40n		H23	L26	H26	M33			HIGH
B2	VREF0B2	IO	DIFFIO_RX39p			F29	H30	K38			HIGH
B2	VREF0B2	IO	DIFFIO_RX39n			G29	H29	K39			HIGH
B2	VREF0B2	IO	DIFFIO_TX39p		H22	J26	J25	N32			HIGH
B2	VREF0B2	IO	DIFFIO_TX39n		H21	H26	J26	N33			HIGH
B2	VREF0B2	IO	DIFFIO_RX38p		D27	H29	G31	M36			HIGH
B2	VREF0B2	IO	DIFFIO_RX38n		D28	J29	G32	M37			HIGH
B2	VREF0B2	IO	DIFFIO_TX38p		J24	G26	K28	K34			HIGH
B2	VREF0B2	IO	DIFFIO_TX38n		J23	F26	K27	K35			HIGH
B2	VREF1B2	IO	DIFFIO_RX37p		E27	D30	H31	L38			HIGH
B2	VREF1B2	IO	DIFFIO_RX37n		E28	E30	H32	L39			HIGH
B2	VREF1B2	IO	DIFFIO_TX37p		K23	F27	K26	L35			HIGH
B2	VREF1B2	IO	DIFFIO_TX37n		K24	G27	K25	L34			HIGH
B2	VREF1B2	IO	DIFFIO_RX36p		F25	F30	J29	M38			HIGH
B2	VREF1B2	IO	DIFFIO_RX36n		F26	G30	J30	M39			HIGH
B2	VREF1B2	IO	DIFFIO_TX36p		J21	H27	L27	M34			HIGH
B2	VREF1B2	IO	DIFFIO_TX36n		J22	J27	L26	M35			HIGH
B2	VREF1B2	IO	DIFFIO_RX35p		F27	H30	K30	N36			HIGH
B2	VREF1B2	IO	DIFFIO_RX35n		F28	J30	K29	N37			HIGH
B2	VREF1B2	IO	DIFFIO_TX35p		K21	K27	M26	N34			HIGH
B2	VREF1B2	IO	DIFFIO_TX35n		K22	L27	M27	N35			HIGH
B2	VREF1B2	IO	DIFFIO_RX34p		G26	F31	J32	N38			HIGH
B2	VREF1B2	IO	DIFFIO_RX34n		G25	G31	J31	P38			HIGH
B2	VREF1B2	IO	DIFFIO_TX34p		L22	L24	M24	P32			HIGH
B2	VREF1B2	IO	DIFFIO_TX34n		L21	M24	M25	P33			HIGH
B2	VREF1B2	VREF1B2			K20	M22	L25	N29			
B2	VREF1B2	IO	DIFFIO_RX33p		G27	H31	K31	P39			HIGH
B2	VREF1B2	IO	DIFFIO_RX33n		G28	J31	L32	R38			HIGH
B2	VREF1B2	IO	DIFFIO_TX33p		L23	L25	N24	P34			HIGH
B2	VREF1B2	IO	DIFFIO_TX33n		L24	M25	N23	P35			HIGH
B2	VREF1B2	IO	DIFFIO_RX32p/RUP2		H26	K28	M28	P36			HIGH
B2	VREF1B2	IO	DIFFIO_RX32n/RDN2		H25	K29	M29	P37			HIGH
B2	VREF1B2	IO	DIFFIO_TX32p		L20	P24	N27	R33			HIGH
B2	VREF1B2	IO	DIFFIO_TX32n		L19	N24	N28	R32			HIGH
B2	VREF1B2	IO	DIFFIO_RX31p		H27	M28	L30	R36			HIGH
B2	VREF1B2	IO	DIFFIO_RX31n		H28	L28	L31	R37			HIGH
B2	VREF1B2	IO	DIFFIO_TX31p		M22	N25	P23	R34			HIGH
B2	VREF1B2	IO	DIFFIO_TX31n		M21	P25	P24	R35			HIGH
B2	VREF1B2	IO	DIFFIO_RX30p		J25	M29	M31	T36			HIGH
B2	VREF1B2	IO	DIFFIO_RX30n		J26	L29	M30	T37			HIGH
B2	VREF1B2	IO	DIFFIO_TX30p		M24	M26	N25	T33			HIGH
B2	VREF1B2	IO	DIFFIO_TX30n		M23	N26	N26	T32			HIGH
B2	VREF2B2	IO	DIFFIO_RX29p		J27	P28	N29	T39			HIGH
B2	VREF2B2	IO	DIFFIO_RX29n		J28	N28	N30	T38			HIGH
B2	VREF2B2	IO	DIFFIO_TX29p		M20	M27	P28	T30			HIGH
B2	VREF2B2	IO	DIFFIO_TX29n		M19	N27	P27	T31			HIGH
B2	VREF2B2	IO	DIFFIO_RX28p		K26	N29	N31	U36			HIGH
B2	VREF2B2	IO	DIFFIO_RX28n		K25	P29	N32	U37			HIGH
B2	VREF2B2	IO	DIFFIO_TX28p		N26	P27	R28	T34			HIGH
B2	VREF2B2	IO	DIFFIO_TX28n		N25	R27	R27	T35			HIGH
B2	VREF2B2	IO	DIFFIO_RX27p		K27	L30	P29	U38			HIGH
B2	VREF2B2	IO	DIFFIO_RX27n		K28	K30	P30	U39			HIGH
B2	VREF2B2	IO	DIFFIO_TX27p		N24	R26	P25	U35			HIGH
B2	VREF2B2	IO	DIFFIO_TX27n		N23	P26	P26	U34			HIGH
B2	VREF2B2	IO	DIFFIO_RX26p		L25	N30	P31	V36			HIGH
