"Pin Information for the Stratix® IV GT EP4S40G5ES1 Device
 Version 1.3 
Notes (1), (2), (3), (4) 
WARNING: For ES1 silicon only"											
			
Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1517	Dynamic OCT Support	DQS for X4 for F1517	DQS for X8/X9 for F1517	DQS for X16/ X18 for F1517
1A		TDI		TDI			J29	No			
1A		TMS		TMS			N27	No			
1A		TRST		TRST			A32	No			
1A		TCK		TCK			G30	No			
1A		TDO		TDO			F30	No			
1A	VREFB1AN0	IO	PLL_L1_CLKOUT0n		DIFFIO_TX_L1n	DIFFOUT_L1n	K29	Yes			
1A	VREFB1AN0	IO	PLL_L1_FB_CLKOUT0p		DIFFIO_TX_L1p	DIFFOUT_L1p	L29	Yes			
1A	VREFB1AN0	IO	RDN1A		DIFFIO_RX_L1n	DIFFOUT_L2n	C34	Yes			
1A	VREFB1AN0	IO	RUP1A		DIFFIO_RX_L1p	DIFFOUT_L2p	D34	Yes			
1A	VREFB1AN0	IO			DIFFIO_TX_L2n	DIFFOUT_L3n	J30	Yes	DQ1L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L2p	DIFFOUT_L3p	K30	Yes	DQ1L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L2n	DIFFOUT_L4n	C31	Yes	DQSn1L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L2p	DIFFOUT_L4p	D31	Yes	DQS1L	DQ1L/CQn1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L3n	DIFFOUT_L5n	M28	Yes	DQ1L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L3p	DIFFOUT_L5p	N28	Yes	DQ1L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L4n	DIFFOUT_L7n	H32	Yes	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L4p	DIFFOUT_L7p	J32	Yes	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L4n	DIFFOUT_L8n	B32	Yes	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L4p	DIFFOUT_L8p	C32	Yes	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L5n	DIFFOUT_L9n	M31	Yes	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L5p	DIFFOUT_L9p	N31	Yes	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L5n	DIFFOUT_L10n	C33	Yes	DQSn3L	DQ2L	DQSn1L/DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L5p	DIFFOUT_L10p	D33	Yes	DQS3L	DQ2L/CQn2L	DQS1L/CQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L6n	DIFFOUT_L11n	M30	Yes	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L6p	DIFFOUT_L11p	N30	Yes	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L6n	DIFFOUT_L12n	G31	Yes	DQSn4L	DQSn2L/DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L6p	DIFFOUT_L12p	H31	Yes	DQS4L	DQS2L/CQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L7n	DIFFOUT_L13n	M29	Yes	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L7p	DIFFOUT_L13p	N29	Yes	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L7n	DIFFOUT_L14n	E31	Yes	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L7p	DIFFOUT_L14p	F31	Yes	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L8n	DIFFOUT_L15n	K31	Yes	DQ5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_TX_L8p	DIFFOUT_L15p	L31	Yes	DQ5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_RX_L8n	DIFFOUT_L16n	E32	Yes	DQSn5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_RX_L8p	DIFFOUT_L16p	F32	Yes	DQS5L	DQ3L/CQn3L	
1A	VREFB1AN0	IO			DIFFIO_TX_L9n	DIFFOUT_L17n	R28	Yes	DQ5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_TX_L9p	DIFFOUT_L17p	T28	Yes	DQ5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_RX_L9n	DIFFOUT_L18n	E34	Yes	DQSn6L	DQSn3L/DQ3L	
1A	VREFB1AN0	IO			DIFFIO_RX_L9p	DIFFOUT_L18p	F34	Yes	DQS6L	DQS3L/CQ3L	
1A	VREFB1AN0	IO			DIFFIO_TX_L10n	DIFFOUT_L19n	R27	Yes	DQ6L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_TX_L10p	DIFFOUT_L19p	T27	Yes	DQ6L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_TX_L11n	DIFFOUT_L21n	J33	Yes	DQ7L		
1A	VREFB1AN0	IO			DIFFIO_TX_L11p	DIFFOUT_L21p	K32	Yes	DQ7L		
1A	VREFB1AN0	IO			DIFFIO_RX_L11n	DIFFOUT_L22n	F33	Yes	DQSn7L		
1A	VREFB1AN0	IO			DIFFIO_RX_L11p	DIFFOUT_L22p	G33	Yes	DQS7L		
1A	VREFB1AN0	IO			DIFFIO_TX_L12n	DIFFOUT_L23n	P29	Yes	DQ7L		
1A	VREFB1AN0	IO			DIFFIO_TX_L12p	DIFFOUT_L23p	R29	Yes	DQ7L		
1A	VREFB1AN0	IO			DIFFIO_RX_L12p	DIFFOUT_L24p	H34	Yes			
1C	VREFB1CN0	IO			DIFFIO_TX_L19n	DIFFOUT_L37n	L32	Yes	DQ12L	DQ12L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_TX_L19p	DIFFOUT_L37p	M32	Yes	DQ12L	DQ12L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_TX_L20n	DIFFOUT_L39n	P32	Yes	DQ12L	DQ12L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_TX_L20p	DIFFOUT_L39p	P31	Yes	DQ12L	DQ12L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_TX_L21p	DIFFOUT_L41p	T30	Yes	DQ13L	DQ12L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_RX_L21n	DIFFOUT_L42n	N34	Yes	DQ13L	DQ12L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_RX_L21p	DIFFOUT_L42p	N33	Yes	DQ13L	DQ12L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_RX_L22n	DIFFOUT_L44n	M34	Yes	DQSn14L	DQ13L	DQSn12L/DQ12L
1C	VREFB1CN0	IO			DIFFIO_RX_L22p	DIFFOUT_L44p	M33	Yes	DQS14L	DQ13L/CQn13L	DQS12L/CQ12L
1C	VREFB1CN0	IO			DIFFIO_TX_L23n	DIFFOUT_L45n	V28	Yes	DQ14L	DQ13L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_TX_L23p	DIFFOUT_L45p	W28	Yes	DQ14L	DQ13L	DQ12L
1C	VREFB1CN0	IO			DIFFIO_RX_L23p	DIFFOUT_L46p	L34	Yes	DQS15L	DQS13L/CQ13L	DQ12L
1C	VREFB1CN0	IO		CLKUSR			R31	Yes			
1C	VREFB1CN0	IO			DIFFIO_TX_L24p	DIFFOUT_L47p	R30	Yes	DQ15L	DQ13L	DQ12L
1C	VREFB1CN0	IO		DATA0	DIFFIO_TX_L25n	DIFFOUT_L49n	W30	Yes	DQ16L	DQ14L	
1C	VREFB1CN0	IO		DATA1	DIFFIO_TX_L25p	DIFFOUT_L49p	W29	Yes	DQ16L	DQ14L	
1C	VREFB1CN0	IO		DATA2			N35	Yes			
1C	VREFB1CN0	IO		DATA3	DIFFIO_RX_L25p	DIFFOUT_L50p	P34	Yes	DQS16L	DQ14L/CQn14L	
1C	VREFB1CN0	IO		DATA4	DIFFIO_TX_L26n	DIFFOUT_L51n	V27	Yes	DQ16L	DQ14L	
1C	VREFB1CN0	IO		DATA5	DIFFIO_TX_L26p	DIFFOUT_L51p	W26	Yes	DQ16L	DQ14L	
1C	VREFB1CN0	IO		DATA6			R35	Yes			
1C	VREFB1CN0	IO		DATA7			R34	Yes			
1C	VREFB1CN0	IO		INIT_DONE	DIFFIO_TX_L27n	DIFFOUT_L53n	V30	Yes	DQ17L	DQ14L	
1C	VREFB1CN0	IO		CRC_ERROR	DIFFIO_TX_L27p	DIFFOUT_L53p	V29	Yes	DQ17L	DQ14L	
1C	VREFB1CN0	IO		DEV_OE			U35	Yes			
1C	VREFB1CN0	IO		DEV_CLRn			V34	Yes			
1C	VREFB1CN0	CLK1n	CLK1n				AA35	No			
1C	VREFB1CN0	CLK1p	CLK1p				AB34	No			
2C	VREFB2CN0	CLK3p	CLK3p				AC34	No			
2C	VREFB2CN0	CLK3n	CLK3n				AC35	No			
2C	VREFB2CN0	IO			DIFFIO_TX_L30p	DIFFOUT_L60p	AB30	Yes	DQ18L	DQ21L	
2C	VREFB2CN0	IO			DIFFIO_TX_L31p	DIFFOUT_L62p	AB27	Yes	DQ19L	DQ21L	
2C	VREFB2CN0	IO			DIFFIO_TX_L31n	DIFFOUT_L62n	AB28	Yes	DQ19L	DQ21L	
2C	VREFB2CN0	IO			DIFFIO_TX_L32p	DIFFOUT_L64p	AC28	Yes	DQ19L	DQ21L	
2C	VREFB2CN0	IO			DIFFIO_TX_L32n	DIFFOUT_L64n	AC29	Yes	DQ19L	DQ21L	
2C	VREFB2CN0	IO			DIFFIO_RX_L33p	DIFFOUT_L65p	AK34	Yes	DQ20L	DQ22L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_RX_L34p	DIFFOUT_L67p	AL34	Yes	DQS20L	DQS22L/CQ22L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_TX_L34p	DIFFOUT_L68p	AD28	Yes	DQ21L	DQ22L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_TX_L34n	DIFFOUT_L68n	AD29	Yes	DQ21L	DQ22L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_RX_L35p	DIFFOUT_L69p	AH32	Yes	DQS21L	DQ22L/CQn22L	DQS23L/CQ23L
2C	VREFB2CN0	IO			DIFFIO_RX_L35n	DIFFOUT_L69n	AH33	Yes	DQSn21L	DQ22L	DQSn23L/DQ23L
2C	VREFB2CN0	IO			DIFFIO_TX_L35p	DIFFOUT_L70p	AE28	Yes	DQ21L	DQ22L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_TX_L35n	DIFFOUT_L70n	AE29	Yes	DQ21L	DQ22L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_RX_L36p	DIFFOUT_L71p	AN34	Yes	DQ22L	DQ23L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_TX_L36p	DIFFOUT_L72p	AD30	Yes	DQ22L	DQ23L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_RX_L37p	DIFFOUT_L73p	AM34	Yes	DQS22L	DQS23L/CQ23L	DQ23L/CQn23L
2C	VREFB2CN0	IO			DIFFIO_TX_L37p	DIFFOUT_L74p	AF29	Yes	DQ23L	DQ23L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_TX_L37n	DIFFOUT_L74n	AG30	Yes	DQ23L	DQ23L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_RX_L38p	DIFFOUT_L75p	AJ32	Yes	DQS23L	DQ23L/CQn23L	DQ23L
2C	VREFB2CN0	IO			DIFFIO_RX_L38n	DIFFOUT_L75n	AK33	Yes	DQSn23L	DQ23L	DQ23L
