"Pin Information For The Stratix™ GX EP1SGX10D Device, ver 1.7 "						
						
						
Bank Number	VREF Bank	Pin Name/Function	Optionn Function(s)	Configuration Function	F672	DQS for x32
B2	VREF0B2	INPUT	DIFFIO_RX21p		F25	
B2	VREF0B2	INPUT	DIFFIO_RX21n		F26	
B2	VREF0B2	IO	DIFFIO_TX21p		H19	
B2	VREF0B2	IO	DIFFIO_TX21n		H20	
B2	VREF0B2	INPUT	DIFFIO_RX20p/RUP2		G25	
B2	VREF0B2	INPUT	DIFFIO_RX20n/RDN2		G26	
B2	VREF0B2	IO	DIFFIO_TX20p		J21	
B2	VREF0B2	IO	DIFFIO_TX20n		J22	
B2	VREF0B2	INPUT	DIFFIO_RX19p		H25	
B2	VREF0B2	INPUT	DIFFIO_RX19n		H26	
B2	VREF0B2	IO	DIFFIO_TX19p		K21	
B2	VREF0B2	IO	DIFFIO_TX19n		K22	
B2	VREF0B2	VREF0B2			L17	
B2	VREF0B2	INPUT	DIFFIO_RX18p		J23	
B2	VREF0B2	INPUT	DIFFIO_RX18n		J24	
B2	VREF0B2	IO	DIFFIO_TX18p		J19	
B2	VREF0B2	IO	DIFFIO_TX18n		J20	
B2	VREF0B2	INPUT	DIFFIO_RX17p		H23	
B2	VREF0B2	INPUT	DIFFIO_RX17n		H24	
B2	VREF0B2	IO	DIFFIO_TX17p		K19	
B2	VREF0B2	IO	DIFFIO_TX17n		K20	
B2	VREF0B2	INPUT	DIFFIO_RX16p		J25	
B2	VREF0B2	INPUT	DIFFIO_RX16n		J26	
B2	VREF0B2	IO	DIFFIO_TX16p		L21	
B2	VREF0B2	IO	DIFFIO_TX16n		L22	
B2	VREF1B2	INPUT	DIFFIO_RX15p		K25	
B2	VREF1B2	INPUT	DIFFIO_RX15n		K26	
B2	VREF1B2	IO	DIFFIO_TX15p		K17	
B2	VREF1B2	IO	DIFFIO_TX15n		K18	
B2	VREF1B2	INPUT	DIFFIO_RX14p		K23	
B2	VREF1B2	INPUT	DIFFIO_RX14n		K24	
B2	VREF1B2	IO	DIFFIO_TX14p		L19	
B2	VREF1B2	IO	DIFFIO_TX14n		L20	
B2	VREF1B2	INPUT	DIFFIO_RX13p		L23	
B2	VREF1B2	INPUT	DIFFIO_RX13n		L24	
B2	VREF1B2	IO	DIFFIO_TX13p		M21	
B2	VREF1B2	IO	DIFFIO_TX13n		M22	
B2	VREF1B2	VREF1B2			L18	
B2	VREF1B2	INPUT	DIFFIO_RX12p		M23	
B2	VREF1B2	INPUT	DIFFIO_RX12n		M24	
B2	VREF1B2	IO	DIFFIO_TX12p		M19	
B2	VREF1B2	IO	DIFFIO_TX12n		M20	
B2	VREF1B2	INPUT	DIFFIO_RX11p		L25	
B2	VREF1B2	INPUT	DIFFIO_RX11n		M25	
B2	VREF1B2	IO	DIFFIO_TX11p		M17	
B2	VREF1B2	IO	DIFFIO_TX11n		M18	
B2	VREF1B2	CLK0n			N26	
B2	VREF1B2	CLK0p			N25	
B2	VREF1B2	IO	CLK1n		N24	
B2	VREF1B2	CLK1p			N23	
		VCCA_PLL1			N20	
		GND				
		GNDA_PLL1			N22	
		VCCG_PLL1			N21	
		GNDG_PLL1			N19	
		VCCA_PLL2			P21	
		GND				
		GNDA_PLL2			P22	
		VCCG_PLL2			P20	
		GNDG_PLL2			P19	
B1	VREF0B1	CLK2p			P25	
B1	VREF0B1	CLK2n			P26	
B1	VREF0B1	CLK3p			P23	
B1	VREF0B1	IO	CLK3n		P24	
B1	VREF0B1	INPUT	DIFFIO_RX10p		R25	
B1	VREF0B1	INPUT	DIFFIO_RX10n		T25	
B1	VREF0B1	IO	DIFFIO_TX10p		R17	
B1	VREF0B1	IO	DIFFIO_TX10n		R18	
B1	VREF0B1	INPUT	DIFFIO_RX9p		U25	
B1	VREF0B1	INPUT	DIFFIO_RX9n		U26	
B1	VREF0B1	IO	DIFFIO_TX9p		R19	
B1	VREF0B1	IO	DIFFIO_TX9n		R20	
B1	VREF0B1	VREF0B1			R16	
B1	VREF0B1	INPUT	DIFFIO_RX8p		R23	
B1	VREF0B1	INPUT	DIFFIO_RX8n		R24	
B1	VREF0B1	IO	DIFFIO_TX8p		R21	
B1	VREF0B1	IO	DIFFIO_TX8n		R22	
B1	VREF0B1	INPUT	DIFFIO_RX7p		V25	
B1	VREF0B1	INPUT	DIFFIO_RX7n		V26	
B1	VREF0B1	IO	DIFFIO_TX7p		T19	
B1	VREF0B1	IO	DIFFIO_TX7n		T20	
B1	VREF0B1	INPUT	DIFFIO_RX6p		T23	
B1	VREF0B1	INPUT	DIFFIO_RX6n		T24	
B1	VREF0B1	IO	DIFFIO_TX6p		T21	
B1	VREF0B1	IO	DIFFIO_TX6n		T22	
B1	VREF1B1	INPUT	DIFFIO_RX5p		W25	
B1	VREF1B1	INPUT	DIFFIO_RX5n		W26	
B1	VREF1B1	IO	DIFFIO_TX5p		U17	
B1	VREF1B1	IO	DIFFIO_TX5n		U18	
B1	VREF1B1	INPUT	DIFFIO_RX4p		U23	
B1	VREF1B1	INPUT	DIFFIO_RX4n		U24	
B1	VREF1B1	IO	DIFFIO_TX4p		U19	
B1	VREF1B1	IO	DIFFIO_TX4n		U20	
B1	VREF1B1	INPUT	DIFFIO_RX3p		W23	
B1	VREF1B1	INPUT	DIFFIO_RX3n		W24	
B1	VREF1B1	IO	DIFFIO_TX3p		V19	
B1	VREF1B1	IO	DIFFIO_TX3n		V20	
B1	VREF1B1	VREF1B1			T18	
B1	VREF1B1	INPUT	DIFFIO_RX2p		V23	
B1	VREF1B1	INPUT	DIFFIO_RX2n		V24	
B1	VREF1B1	IO	DIFFIO_TX2p		U21	
B1	VREF1B1	IO	DIFFIO_TX2n		U22	
B1	VREF1B1	INPUT	DIFFIO_RX1p/RUP1		Y25	
B1	VREF1B1	INPUT	DIFFIO_RX1n/RDN1		Y26	
B1	VREF1B1	IO	DIFFIO_TX1p		V21	
B1	VREF1B1	IO	DIFFIO_TX1n		V22	
B1	VREF1B1	INPUT	DIFFIO_RX0p		Y23	
B1	VREF1B1	INPUT	DIFFIO_RX0n		Y24	
B1	VREF1B1	IO	DIFFIO_TX0p		W19	
B1	VREF1B1	IO	DIFFIO_TX0n		W20	
B8	VREF0B8	IO	DQ9B7		AF23	DQ1B31
B8	VREF0B8	IO	DQ9B6		AE22	DQ1B30
B8	VREF0B8	IO	DQ9B5		AD22	DQ1B29
B8	VREF0B8	IO	DQ9B4		AF22	DQ1B28
B8	VREF0B8	IO	DQ9B3		AF21	DQ1B27
B8	VREF0B8	IO	DQS9B		AE21	
B8	VREF0B8	IO	DQ9B2		AD21	DQ1B26
B8	VREF0B8	IO	DQ8B7		AF20	DQ1B23
B8	VREF0B8	IO	DQ9B1		AD20	DQ1B25
B8	VREF0B8	IO	DQ8B6		AE19	DQ1B22
B8	VREF0B8	IO	DQ9B0		AE20	DQ1B24
B8	VREF0B8	IO	DQ8B5		AD18	DQ1B21
B8	VREF0B8	VREF0B8			V18	
B8	VREF0B8	IO	DQ8B4		AD19	DQ1B20
B8	VREF0B8	IO	DQ8B3		AF19	DQ1B19
B8	VREF0B8	IO	DQS8B		AE18	
B8	VREF0B8	IO	DQ8B2		AF17	DQ1B18
B8	VREF0B8	IO	DQ8B1		AC18	DQ1B17
B8	VREF0B8	IO	DQ8B0		AF18	DQ1B16
B8	VREF0B8	IO	DQ7B2		AB17	DQ1B10
B8	VREF0B8	IO	DQ7B7		Y18	DQ1B15
B8	VREF0B8	IO	DQ7B6		AA18	DQ1B14
B8	VREF0B8	IO	DQ7B5		AB18	DQ1B13
B8	VREF0B8	IO	DQ7B4		W18	DQ1B12
B8	VREF0B8	IO	DQ7B3		AB16	DQ1B11
B8	VREF0B8	IO	DQS7B		AA17	DQS1B
B8	VREF0B8	IO			Y16	
B8	VREF0B8	IO	DQ7B1		W17	DQ1B9
B8	VREF0B8	IO			AA16	
B8	VREF0B8	IO	DQ7B0		Y17	DQ1B8
B8	VREF0B8	IO	DQ6B7		AE17	DQ1B7
B8	VREF1B8	IO	DQ6B6		AD17	DQ1B6
B8	VREF1B8	IO	DQ6B5		AD15	DQ1B5
B8	VREF1B8	IO	DQ6B4		AE16	DQ1B4
B8	VREF1B8	IO		PGM2	T15	
B8	VREF1B8	IO	FCLK3		T16	
B8	VREF1B8	IO	FCLK2		U16	
B8	VREF1B8	IO	DQ6B3		AC17	DQ1B3
B8	VREF1B8	IO	DQS6B		AD16	
B8	VREF1B8	IO	DQ6B2		AC15	DQ1B2
B8	VREF1B8	IO		CRC_ERROR	U15	
