"Pin Information For The Stratix™ GX EP1SGX25C Device, ver 1.7  "							
							
							
Bank Number	VREF Bank	Pin Name/Function	Optionn Function(s)	Configuration Function	F672	"DQS for 
x16"	DQS for x32
B2	VREF0B2	INPUT	DIFFIO_RX38p		D23		
B2	VREF0B2	INPUT	DIFFIO_RX38n		D24		
B2	VREF0B2	IO	DIFFIO_TX38p		D21		
B2	VREF0B2	IO	DIFFIO_TX38n		D22		
B2	VREF0B2	INPUT	DIFFIO_RX37p		C23		
B2	VREF0B2	INPUT	DIFFIO_RX37n		C24		
B2	VREF0B2	IO	DIFFIO_TX37p		E21		
B2	VREF0B2	IO	DIFFIO_TX37n		E22		
B2	VREF0B2	INPUT	DIFFIO_RX36p		C25		
B2	VREF0B2	INPUT	DIFFIO_RX36n		B25		
B2	VREF0B2	IO	DIFFIO_TX36p		E19		
B2	VREF0B2	IO	DIFFIO_TX36n		E20		
B2	VREF0B2	INPUT	DIFFIO_RX35p		E23		
B2	VREF0B2	INPUT	DIFFIO_RX35n		E24		
B2	VREF0B2	IO	DIFFIO_TX35p		F21		
B2	VREF0B2	IO	DIFFIO_TX35n		F22		
B2	VREF0B2	INPUT	DIFFIO_RX34p		F23		
B2	VREF0B2	INPUT	DIFFIO_RX34n		F24		
B2	VREF0B2	IO	DIFFIO_TX34p		F19		
B2	VREF0B2	IO	DIFFIO_TX34n		F20		
B2	VREF0B2	VREF0B2			L17		
B2	VREF0B2	INPUT	DIFFIO_RX33p		D25		
B2	VREF0B2	INPUT	DIFFIO_RX33n		D26		
B2	VREF0B2	IO	DIFFIO_TX33p		G19		
B2	VREF0B2	IO	DIFFIO_TX33n		G20		
B2	VREF0B2	INPUT	DIFFIO_RX32p		G23		
B2	VREF0B2	INPUT	DIFFIO_RX32n		G24		
B2	VREF0B2	IO	DIFFIO_TX32p		G21		
B2	VREF0B2	IO	DIFFIO_TX32n		G22		
B2	VREF0B2	INPUT	DIFFIO_RX31p		E25		
B2	VREF0B2	INPUT	DIFFIO_RX31n		E26		
