"Pin Information For The Stratix™ GX EP1SGX25D Device, ver 1.7   "								
								
								
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F672	F1020	DQS for x16	DQS for x32
B2	VREF0B2	INPUT	DIFFIO_RX38p		D23	E31		
B2	VREF0B2	INPUT	DIFFIO_RX38n		D24	E32		
B2	VREF0B2	IO	DIFFIO_TX38p		D21	G27		
B2	VREF0B2	IO	DIFFIO_TX38n		D22	G28		
B2	VREF0B2	INPUT	DIFFIO_RX37p		C23	F31		
B2	VREF0B2	INPUT	DIFFIO_RX37n		C24	F32		
B2	VREF0B2	IO	DIFFIO_TX37p		E21	G25		
B2	VREF0B2	IO	DIFFIO_TX37n		E22	G26		
B2	VREF0B2	INPUT	DIFFIO_RX36p		C25	G29		
B2	VREF0B2	INPUT	DIFFIO_RX36n		B25	G30		
B2	VREF0B2	IO	DIFFIO_TX36p		E19	J28		
B2	VREF0B2	IO	DIFFIO_TX36n		E20	H28		
B2	VREF0B2	INPUT	DIFFIO_RX35p		E23	G31		
B2	VREF0B2	INPUT	DIFFIO_RX35n		E24	G32		
B2	VREF0B2	IO	DIFFIO_TX35p		F21	H26		
B2	VREF0B2	IO	DIFFIO_TX35n		F22	H27		
B2	VREF0B2	INPUT	DIFFIO_RX34p		F23	H29		
B2	VREF0B2	INPUT	DIFFIO_RX34n		F24	H30		
B2	VREF0B2	IO	DIFFIO_TX34p		F19	H24		
B2	VREF0B2	IO	DIFFIO_TX34n		F20	H25		
B2	VREF0B2	VREF0B2			L17	M24		
B2	VREF0B2	INPUT	DIFFIO_RX33p		D25	K29		
B2	VREF0B2	INPUT	DIFFIO_RX33n		D26	K30		
B2	VREF0B2	IO	DIFFIO_TX33p		G19	L28		
B2	VREF0B2	IO	DIFFIO_TX33n		G20	K28		
B2	VREF0B2	INPUT	DIFFIO_RX32p		G23	H31		
B2	VREF0B2	INPUT	DIFFIO_RX32n		G24	H32		
B2	VREF0B2	IO	DIFFIO_TX32p		G21	J24		
B2	VREF0B2	IO	DIFFIO_TX32n		G22	J25		
B2	VREF0B2	INPUT	DIFFIO_RX31p		E25	J31		
B2	VREF0B2	INPUT	DIFFIO_RX31n		E26	J32		
B2	VREF0B2	IO	DIFFIO_TX31p		H21	K24		
B2	VREF0B2	IO	DIFFIO_TX31n		H22	K25		
B2	VREF0B2	INPUT	DIFFIO_RX30p		F25	J29		
B2	VREF0B2	INPUT	DIFFIO_RX30n		F26	J30		
B2	VREF0B2	IO	DIFFIO_TX30p		H19	L24		
B2	VREF0B2	IO	DIFFIO_TX30n		H20	L25		
B2	VREF0B2	INPUT	DIFFIO_RX29p/RUP2		G25	L29		
B2	VREF0B2	INPUT	DIFFIO_RX29n/RDN2		G26	L30		
B2	VREF0B2	IO	DIFFIO_TX29p		J21	L26		
B2	VREF0B2	IO	DIFFIO_TX29n		J22	L27		
