"Pin Information For The Stratix™ GX EP1SGX25F Device, ver 1.7 "							
							
							
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F1020	DQS for x16	DQS for x32
B2	VREF0B2	INPUT	DIFFIO_RX38p		E31		
B2	VREF0B2	INPUT	DIFFIO_RX38n		E32		
B2	VREF0B2	IO	DIFFIO_TX38p		G27		
B2	VREF0B2	IO	DIFFIO_TX38n		G28		
B2	VREF0B2	INPUT	DIFFIO_RX37p		F31		
B2	VREF0B2	INPUT	DIFFIO_RX37n		F32		
B2	VREF0B2	IO	DIFFIO_TX37p		G25		
B2	VREF0B2	IO	DIFFIO_TX37n		G26		
B2	VREF0B2	INPUT	DIFFIO_RX36p		G29		
B2	VREF0B2	INPUT	DIFFIO_RX36n		G30		
B2	VREF0B2	IO	DIFFIO_TX36p		J28		
B2	VREF0B2	IO	DIFFIO_TX36n		H28		
B2	VREF0B2	INPUT	DIFFIO_RX35p		G31		
B2	VREF0B2	INPUT	DIFFIO_RX35n		G32		
B2	VREF0B2	IO	DIFFIO_TX35p		H26		
B2	VREF0B2	IO	DIFFIO_TX35n		H27		
B2	VREF0B2	INPUT	DIFFIO_RX34p		H29		
B2	VREF0B2	INPUT	DIFFIO_RX34n		H30		
B2	VREF0B2	IO	DIFFIO_TX34p		H24		
B2	VREF0B2	IO	DIFFIO_TX34n		H25		
B2	VREF0B2	VREF0B2			M24		
B2	VREF0B2	INPUT	DIFFIO_RX33p		K29		
B2	VREF0B2	INPUT	DIFFIO_RX33n		K30		
B2	VREF0B2	IO	DIFFIO_TX33p		L28		
B2	VREF0B2	IO	DIFFIO_TX33n		K28		
B2	VREF0B2	INPUT	DIFFIO_RX32p		H31		
B2	VREF0B2	INPUT	DIFFIO_RX32n		H32		
B2	VREF0B2	IO	DIFFIO_TX32p		J24		
B2	VREF0B2	IO	DIFFIO_TX32n		J25		
B2	VREF0B2	INPUT	DIFFIO_RX31p		J31		
B2	VREF0B2	INPUT	DIFFIO_RX31n		J32		
B2	VREF0B2	IO	DIFFIO_TX31p		K24		
B2	VREF0B2	IO	DIFFIO_TX31n		K25		
B2	VREF0B2	INPUT	DIFFIO_RX30p		J29		
B2	VREF0B2	INPUT	DIFFIO_RX30n		J30		
B2	VREF0B2	IO	DIFFIO_TX30p		L24		
B2	VREF0B2	IO	DIFFIO_TX30n		L25		
B2	VREF0B2	INPUT	DIFFIO_RX29p/RUP2		L29		
B2	VREF0B2	INPUT	DIFFIO_RX29n/RDN2		L30		
B2	VREF0B2	IO	DIFFIO_TX29p		L26		
B2	VREF0B2	IO	DIFFIO_TX29n		L27		
B2	VREF1B2	INPUT	DIFFIO_RX28p		L31		
B2	VREF1B2	INPUT	DIFFIO_RX28n		L32		
B2	VREF1B2	IO	DIFFIO_TX28p		M25		
B2	VREF1B2	IO	DIFFIO_TX28n		M26		
B2	VREF1B2	INPUT	DIFFIO_RX27p		M29		
B2	VREF1B2	INPUT	DIFFIO_RX27n		M30		
B2	VREF1B2	IO	DIFFIO_TX27p		M27		
