Device/Package xcku040fbva900 6/16/2014 16:23:34,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
U10,DXN,NA,NA,NA,NA,NA
P11,VCCADC,NA,NA,NA,NA,NA
P10,GNDADC,NA,NA,NA,NA,NA
U11,DXP,NA,NA,NA,NA,NA
T11,VREFP,NA,NA,NA,NA,NA
R10,VREFN,NA,NA,NA,NA,NA
R11,VP,NA,NA,NA,NA,NA
T10,VN,NA,NA,NA,NA,NA
F7,M0_0,NA,0,CONFIG,NA,NA
G7,M1_0,NA,0,CONFIG,NA,NA
E7,INIT_B_0,NA,0,CONFIG,NA,NA
H7,M2_0,NA,0,CONFIG,NA,NA
L7,CFGBVS_0,NA,0,CONFIG,NA,NA
D7,PUDC_B_0,NA,0,CONFIG,NA,NA
W7,POR_OVERRIDE,NA,NA,NA,NA,NA
K7,DONE_0,NA,0,CONFIG,NA,NA
L6,PROGRAM_B_0,NA,0,CONFIG,NA,NA
M7,TDO_0,NA,0,CONFIG,NA,NA
N7,TDI_0,NA,0,CONFIG,NA,NA
AD7,RDWR_FCS_B_0,NA,0,CONFIG,NA,NA
AA7,D02_0,NA,0,CONFIG,NA,NA
AC7,D00_MOSI_0,NA,0,CONFIG,NA,NA
Y7,D03_0,NA,0,CONFIG,NA,NA
AB7,D01_DIN_0,NA,0,CONFIG,NA,NA
R7,TMS_0,NA,0,CONFIG,NA,NA
U7,CCLK_0,NA,0,CONFIG,NA,NA
V6,TCK_0,NA,0,CONFIG,NA,NA
AE7,VBATT,NA,NA,NA,NA,NA
AH27,IO_L24P_T3U_N10_44,3U,44,HP,NA,NA
AH28,IO_L24N_T3U_N11_44,3U,44,HP,NA,NA
AG30,IO_T3U_N12_44,3U,44,HP,NA,NA
AJ30,IO_L23P_T3U_N8_44,3U,44,HP,NA,NA
AK30,IO_L23N_T3U_N9_44,3U,44,HP,NA,NA
AJ28,IO_L22P_T3U_N6_DBC_AD0P_44,3U,44,HP,NA,NA
AJ29,IO_L22N_T3U_N7_DBC_AD0N_44,3U,44,HP,NA,NA
AG29,IO_L21P_T3L_N4_AD8P_44,3L,44,HP,NA,NA
AH29,IO_L21N_T3L_N5_AD8N_44,3L,44,HP,NA,NA
AK27,IO_L20P_T3L_N2_AD1P_44,3L,44,HP,NA,NA
AK28,IO_L20N_T3L_N3_AD1N_44,3L,44,HP,NA,NA
AF27,IO_L19P_T3L_N0_DBC_AD9P_44,3L,44,HP,NA,NA
AF28,IO_L19N_T3L_N1_DBC_AD9N_44,3L,44,HP,NA,NA
AH26,IO_L18P_T2U_N10_AD2P_44,2U,44,HP,NA,NA
AJ26,IO_L18N_T2U_N11_AD2N_44,2U,44,HP,NA,NA
AG26,IO_L17P_T2U_N8_AD10P_44,2U,44,HP,NA,NA
AG27,IO_L17N_T2U_N9_AD10N_44,2U,44,HP,NA,NA
AK25,IO_L16P_T2U_N6_QBC_AD3P_44,2U,44,HP,NA,NA
AK26,IO_L16N_T2U_N7_QBC_AD3N_44,2U,44,HP,NA,NA
AJ24,IO_L15P_T2L_N4_AD11P_44,2L,44,HP,NA,NA
AJ25,IO_L15N_T2L_N5_AD11N_44,2L,44,HP,NA,NA
AG24,IO_L14P_T2L_N2_GC_44,2L,44,HP,NA,NA
AH24,IO_L14N_T2L_N3_GC_44,2L,44,HP,NA,NA
AE25,IO_T2U_N12_44,2U,44,HP,NA,NA
AF25,IO_L13P_T2L_N0_GC_QBC_44,2L,44,HP,NA,NA
AG25,IO_L13N_T2L_N1_GC_QBC_44,2L,44,HP,NA,NA
AF23,IO_L12P_T1U_N10_GC_44,1U,44,HP,NA,NA
AF24,IO_L12N_T1U_N11_GC_44,1U,44,HP,NA,NA
AH21,IO_T1U_N12_44,1U,44,HP,NA,NA
AH22,IO_L11P_T1U_N8_GC_44,1U,44,HP,NA,NA
AH23,IO_L11N_T1U_N9_GC_44,1U,44,HP,NA,NA
AK21,IO_L10P_T1U_N6_QBC_AD4P_44,1U,44,HP,NA,NA
AK22,IO_L10N_T1U_N7_QBC_AD4N_44,1U,44,HP,NA,NA
AJ23,IO_L9P_T1L_N4_AD12P_44,1L,44,HP,NA,NA
AK23,IO_L9N_T1L_N5_AD12N_44,1L,44,HP,NA,NA
AF22,IO_L8P_T1L_N2_AD5P_44,1L,44,HP,NA,NA
AG22,IO_L8N_T1L_N3_AD5N_44,1L,44,HP,NA,NA
AJ20,IO_L7P_T1L_N0_QBC_AD13P_44,1L,44,HP,NA,NA
AJ21,IO_L7N_T1L_N1_QBC_AD13N_44,1L,44,HP,NA,NA
