Device/Package xcku095ffva1156 3/22/2016 18:08:28,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
Y11,DXN,NA,NA,NA,NA,NA
U12,VCCADC,NA,NA,NA,NA,NA
U11,GNDADC,NA,NA,NA,NA,NA
Y12,DXP,NA,NA,NA,NA,NA
W12,VREFP,NA,NA,NA,NA,NA
V11,VREFN,NA,NA,NA,NA,NA
V12,VP,NA,NA,NA,NA,NA
W11,VN,NA,NA,NA,NA,NA
K7,M0_0,NA,0,CONFIG,NA,NA
L7,M1_0,NA,0,CONFIG,NA,NA
V7,INIT_B_0,NA,0,CONFIG,NA,NA
M7,M2_0,NA,0,CONFIG,NA,NA
W7,CFGBVS_0,NA,0,CONFIG,NA,NA
R7,PUDC_B_0,NA,0,CONFIG,NA,NA
P7,POR_OVERRIDE,NA,NA,NA,NA,NA
N7,DONE_0,NA,0,CONFIG,NA,NA
T7,PROGRAM_B_0,NA,0,CONFIG,NA,NA
U9,TDO_0,NA,0,CONFIG,NA,NA
V9,TDI_0,NA,0,CONFIG,NA,NA
U7,RDWR_FCS_B_0,NA,0,CONFIG,NA,NA
AA7,D02_0,NA,0,CONFIG,NA,NA
AC7,D00_MOSI_0,NA,0,CONFIG,NA,NA
Y7,D03_0,NA,0,CONFIG,NA,NA
AB7,D01_DIN_0,NA,0,CONFIG,NA,NA
W9,TMS_0,NA,0,CONFIG,NA,NA
AA9,CCLK_0,NA,0,CONFIG,NA,NA
AC9,TCK_0,NA,0,CONFIG,NA,NA
AD7,VBATT,NA,NA,NA,NA,NA
V31,IO_L24P_T3U_N10_48,3U,48,HP,NA,NA
W31,IO_L24N_T3U_N11_48,3U,48,HP,NA,NA
V32,IO_T3U_N12_48,3U,48,HP,NA,NA
U34,IO_L23P_T3U_N8_48,3U,48,HP,NA,NA
V34,IO_L23N_T3U_N9_48,3U,48,HP,NA,NA
Y31,IO_L22P_T3U_N6_DBC_AD0P_48,3U,48,HP,NA,NA
Y32,IO_L22N_T3U_N7_DBC_AD0N_48,3U,48,HP,NA,NA
V33,IO_L21P_T3L_N4_AD8P_48,3L,48,HP,NA,NA
W34,IO_L21N_T3L_N5_AD8N_48,3L,48,HP,NA,NA
W30,IO_L20P_T3L_N2_AD1P_48,3L,48,HP,NA,NA
Y30,IO_L20N_T3L_N3_AD1N_48,3L,48,HP,NA,NA
W33,IO_L19P_T3L_N0_DBC_AD9P_48,3L,48,HP,NA,NA
Y33,IO_L19N_T3L_N1_DBC_AD9N_48,3L,48,HP,NA,NA
AC33,IO_L18P_T2U_N10_AD2P_48,2U,48,HP,NA,NA
AD33,IO_L18N_T2U_N11_AD2N_48,2U,48,HP,NA,NA
AA34,IO_L17P_T2U_N8_AD10P_48,2U,48,HP,NA,NA
AB34,IO_L17N_T2U_N9_AD10N_48,2U,48,HP,NA,NA
AA29,IO_L16P_T2U_N6_QBC_AD3P_48,2U,48,HP,NA,NA
AB29,IO_L16N_T2U_N7_QBC_AD3N_48,2U,48,HP,NA,NA
AC34,IO_L15P_T2L_N4_AD11P_48,2L,48,HP,NA,NA
AD34,IO_L15N_T2L_N5_AD11N_48,2L,48,HP,NA,NA
AB30,IO_L14P_T2L_N2_GC_48,2L,48,HP,NA,NA
AB31,IO_L14N_T2L_N3_GC_48,2L,48,HP,NA,NA
AA33,IO_T2U_N12_48,2U,48,HP,NA,NA
AA32,IO_L13P_T2L_N0_GC_QBC_48,2L,48,HP,NA,NA
AB32,IO_L13N_T2L_N1_GC_QBC_48,2L,48,HP,NA,NA
AC31,IO_L12P_T1U_N10_GC_48,1U,48,HP,NA,NA
AC32,IO_L12N_T1U_N11_GC_48,1U,48,HP,NA,NA
AE31,IO_T1U_N12_48,1U,48,HP,NA,NA
AD30,IO_L11P_T1U_N8_GC_48,1U,48,HP,NA,NA
AD31,IO_L11N_T1U_N9_GC_48,1U,48,HP,NA,NA
AE33,IO_L10P_T1U_N6_QBC_AD4P_48,1U,48,HP,NA,NA
AF34,IO_L10N_T1U_N7_QBC_AD4N_48,1U,48,HP,NA,NA
AE32,IO_L9P_T1L_N4_AD12P_48,1L,48,HP,NA,NA
AF32,IO_L9N_T1L_N5_AD12N_48,1L,48,HP,NA,NA
AF33,IO_L8P_T1L_N2_AD5P_48,1L,48,HP,NA,NA
AG34,IO_L8N_T1L_N3_AD5N_48,1L,48,HP,NA,NA
AG31,IO_L7P_T1L_N0_QBC_AD13P_48,1L,48,HP,NA,NA
AG32,IO_L7N_T1L_N1_QBC_AD13N_48,1L,48,HP,NA,NA
AF30,IO_L6P_T0U_N10_AD6P_48,0U,48,HP,NA,NA
AG30,IO_L6N_T0U_N11_AD6N_48,0U,48,HP,NA,NA
AD29,IO_L5P_T0U_N8_AD14P_48,0U,48,HP,NA,NA
AE30,IO_L5N_T0U_N9_AD14N_48,0U,48,HP,NA,NA
AF29,IO_L4P_T0U_N6_DBC_AD7P_48,0U,48,HP,NA,NA
AG29,IO_L4N_T0U_N7_DBC_AD7N_48,0U,48,HP,NA,NA
AC28,IO_L3P_T0L_N4_AD15P_48,0L,48,HP,NA,NA
AD28,IO_L3N_T0L_N5_AD15N_48,0L,48,HP,NA,NA
AE28,IO_L2P_T0L_N2_48,0L,48,HP,NA,NA
AF28,IO_L2N_T0L_N3_48,0L,48,HP,NA,NA
AC29,IO_T0U_N12_VRP_48,0U,48,HP,NA,NA
AE27,IO_L1P_T0L_N0_DBC_48,0L,48,HP,NA,NA
