Device/Package xc7v2000tflg1925 8/18/2011 15:49:36,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
AD20,DXN_0,NA,0,NA,1,CONFIG,NA
AD21,DXP_0,NA,0,NA,1,CONFIG,NA
AB20,VREFN_0,NA,0,NA,1,CONFIG,NA
AC21,VREFP_0,NA,0,NA,1,CONFIG,NA
AB21,VP_0,NA,0,NA,1,CONFIG,NA
AC20,VN_0,NA,0,NA,1,CONFIG,NA
AB1,VCCBATT_0,NA,0,NA,1,CONFIG,NA
AB2,CCLK_0,NA,0,NA,1,CONFIG,NA
AB5,TCK_0,NA,0,NA,1,CONFIG,NA
AB6,TMS_0,NA,0,NA,1,CONFIG,NA
AB4,TDI_0,NA,0,NA,1,CONFIG,NA
AB3,INIT_B_0,NA,0,NA,1,CONFIG,NA
AB10,PROGRAM_B_0,NA,0,NA,1,CONFIG,NA
AC10,CFGBVS_0,NA,0,NA,1,CONFIG,NA
AD10,DONE_0,NA,0,NA,1,CONFIG,NA
AG10,M2_0,NA,0,NA,1,CONFIG,NA
AH11,M0_0,NA,0,NA,1,CONFIG,NA
AG11,M1_0,NA,0,NA,1,CONFIG,NA
AB7,TDO_0,NA,0,NA,3,CONFIG,NA
AW36,IO_0_VRN_11,NA,11,0,0,HP,NA
AW40,IO_L1P_T0_11,0,11,0,0,HP,NA
AW41,IO_L1N_T0_11,0,11,0,0,HP,NA
AY43,IO_L2P_T0_11,0,11,0,0,HP,NA
BA43,IO_L2N_T0_11,0,11,0,0,HP,NA
AW43,IO_L3P_T0_DQS_11,0,11,0,0,HP,NA
AW44,IO_L3N_T0_DQS_11,0,11,0,0,HP,NA
BA44,IO_L4P_T0_11,0,11,0,0,HP,NA
BB44,IO_L4N_T0_11,0,11,0,0,HP,NA
AY41,IO_L5P_T0_11,0,11,0,0,HP,NA
AY42,IO_L5N_T0_11,0,11,0,0,HP,NA
BA42,IO_L6P_T0_11,0,11,0,0,HP,NA
BB42,IO_L6N_T0_VREF_11,0,11,0,0,HP,NA
