Device/Package xc7vh580tflg1931/xc7vh580thcg1931 2/28/2014 16:36:35,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
AD22,DXN_0,NA,0,NA,NA,CONFIG,NA
AD23,DXP_0,NA,0,NA,NA,CONFIG,NA
AB22,VREFN_0,NA,0,NA,NA,CONFIG,NA
AC23,VREFP_0,NA,0,NA,NA,CONFIG,NA
AB23,VP_0,NA,0,NA,NA,CONFIG,NA
AC22,VN_0,NA,0,NA,NA,CONFIG,NA
M27,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
M19,CCLK_0,NA,0,NA,NA,CONFIG,NA
L18,TCK_0,NA,0,NA,NA,CONFIG,NA
P27,TMS_0,NA,0,NA,NA,CONFIG,NA
M21,TDI_0,NA,0,NA,NA,CONFIG,NA
M17,INIT_B_0,NA,0,NA,NA,CONFIG,NA
P23,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
T27,DONE_0,NA,0,NA,NA,CONFIG,NA
M23,M2_0,NA,0,NA,NA,CONFIG,NA
M25,M0_0,NA,0,NA,NA,CONFIG,NA
T19,M1_0,NA,0,NA,NA,CONFIG,NA
N26,TDO_0,NA,0,NA,NA,CONFIG,NA
BD39,IO_0_VRN_13,NA,13,0,0,HP,NA
AL35,IO_L1P_T0_13,0,13,0,0,HP,NA
AM35,IO_L1N_T0_13,0,13,0,0,HP,NA
AN35,IO_L2P_T0_13,0,13,0,0,HP,NA
AP35,IO_L2N_T0_13,0,13,0,0,HP,NA
AL36,IO_L3P_T0_DQS_13,0,13,0,0,HP,NA
AM36,IO_L3N_T0_DQS_13,0,13,0,0,HP,NA
AN34,IO_L4P_T0_13,0,13,0,0,HP,NA
AP34,IO_L4N_T0_13,0,13,0,0,HP,NA
AM37,IO_L5P_T0_13,0,13,0,0,HP,NA
AN37,IO_L5N_T0_13,0,13,0,0,HP,NA
AP36,IO_L6P_T0_13,0,13,0,0,HP,NA
AR36,IO_L6N_T0_VREF_13,0,13,0,0,HP,NA
AP37,IO_L7P_T1_13,1,13,0,0,HP,NA
AR37,IO_L7N_T1_13,1,13,0,0,HP,NA
AW37,IO_L8P_T1_13,1,13,0,0,HP,NA
AY37,IO_L8N_T1_13,1,13,0,0,HP,NA
AU37,IO_L9P_T1_DQS_13,1,13,0,0,HP,NA
AV37,IO_L9N_T1_DQS_13,1,13,0,0,HP,NA
AR34,IO_L10P_T1_13,1,13,0,0,HP,NA
AT34,IO_L10N_T1_13,1,13,0,0,HP,NA
AT35,IO_L11P_T1_SRCC_13,1,13,0,0,HP,NA
AU35,IO_L11N_T1_SRCC_13,1,13,0,0,HP,NA
AT36,IO_L12P_T1_MRCC_13,1,13,0,0,HP,NA
AU36,IO_L12N_T1_MRCC_13,1,13,0,0,HP,NA
AV35,IO_L13P_T2_MRCC_13,2,13,0,0,HP,NA
AW35,IO_L13N_T2_MRCC_13,2,13,0,0,HP,NA
AW36,IO_L14P_T2_SRCC_13,2,13,0,0,HP,NA
AY36,IO_L14N_T2_SRCC_13,2,13,0,0,HP,NA
BA35,IO_L15P_T2_DQS_13,2,13,0,0,HP,NA
BB35,IO_L15N_T2_DQS_13,2,13,0,0,HP,NA
AV34,IO_L16P_T2_13,2,13,0,0,HP,NA
AW34,IO_L16N_T2_13,2,13,0,0,HP,NA
AY34,IO_L17P_T2_13,2,13,0,0,HP,NA
BA34,IO_L17N_T2_13,2,13,0,0,HP,NA
BA36,IO_L18P_T2_13,2,13,0,0,HP,NA
BB36,IO_L18N_T2_13,2,13,0,0,HP,NA
BB38,IO_L19P_T3_13,3,13,0,0,HP,NA
BC38,IO_L19N_T3_VREF_13,3,13,0,0,HP,NA
BD36,IO_L20P_T3_13,3,13,0,0,HP,NA
BD37,IO_L20N_T3_13,3,13,0,0,HP,NA
BB37,IO_L21P_T3_DQS_13,3,13,0,0,HP,NA
BC37,IO_L21N_T3_DQS_13,3,13,0,0,HP,NA
BA38,IO_L22P_T3_13,3,13,0,0,HP,NA
BA39,IO_L22N_T3_13,3,13,0,0,HP,NA
BC34,IO_L23P_T3_13,3,13,0,0,HP,NA
BD34,IO_L23N_T3_13,3,13,0,0,HP,NA
BC35,IO_L24P_T3_13,3,13,0,0,HP,NA
BD35,IO_L24N_T3_13,3,13,0,0,HP,NA
BC39,IO_25_VRP_13,NA,13,0,0,HP,NA
BD30,IO_0_VRN_14,NA,14,0,0,HP,NA
AR33,IO_L1P_T0_D00_MOSI_14,0,14,0,0,HP,NA
AT33,IO_L1N_T0_D01_DIN_14,0,14,0,0,HP,NA
BD31,IO_L2P_T0_D02_14,0,14,0,0,HP,NA
BD32,IO_L2N_T0_D03_14,0,14,0,0,HP,NA
AU33,IO_L3P_T0_DQS_PUDC_B_14,0,14,0,0,HP,NA
AV33,IO_L3N_T0_DQS_EMCCLK_14,0,14,0,0,HP,NA
AY33,IO_L4P_T0_D04_14,0,14,0,0,HP,NA
BA33,IO_L4N_T0_D05_14,0,14,0,0,HP,NA
AM33,IO_L5P_T0_D06_14,0,14,0,0,HP,NA
AN33,IO_L5N_T0_D07_14,0,14,0,0,HP,NA
BB33,IO_L6P_T0_FCS_B_14,0,14,0,0,HP,NA
BC33,IO_L6N_T0_D08_VREF_14,0,14,0,0,HP,NA
AJ32,IO_L7P_T1_D09_14,1,14,0,0,HP,NA
AK32,IO_L7N_T1_D10_14,1,14,0,0,HP,NA
AW32,IO_L8P_T1_D11_14,1,14,0,0,HP,NA
AY32,IO_L8N_T1_D12_14,1,14,0,0,HP,NA
AM32,IO_L9P_T1_DQS_14,1,14,0,0,HP,NA
AN32,IO_L9N_T1_DQS_D13_14,1,14,0,0,HP,NA
BB32,IO_L10P_T1_D14_14,1,14,0,0,HP,NA
BC32,IO_L10N_T1_D15_14,1,14,0,0,HP,NA
AP32,IO_L11P_T1_SRCC_14,1,14,0,0,HP,NA
AR32,IO_L11N_T1_SRCC_14,1,14,0,0,HP,NA
AU32,IO_L12P_T1_MRCC_14,1,14,0,0,HP,NA
AV32,IO_L12N_T1_MRCC_14,1,14,0,0,HP,NA
AP31,IO_L13P_T2_MRCC_14,2,14,0,0,HP,NA
AR31,IO_L13N_T2_MRCC_14,2,14,0,0,HP,NA
AT31,IO_L14P_T2_SRCC_14,2,14,0,0,HP,NA
AU31,IO_L14N_T2_SRCC_14,2,14,0,0,HP,NA
AW31,IO_L15P_T2_DQS_RDWR_B_14,2,14,0,0,HP,NA
AY31,IO_L15N_T2_DQS_DOUT_CSO_B_14,2,14,0,0,HP,NA
AJ31,IO_L16P_T2_CSI_B_14,2,14,0,0,HP,NA
AK31,IO_L16N_T2_A15_D31_14,2,14,0,0,HP,NA
BA31,IO_L17P_T2_A14_D30_14,2,14,0,0,HP,NA
BB31,IO_L17N_T2_A13_D29_14,2,14,0,0,HP,NA
AL31,IO_L18P_T2_A12_D28_14,2,14,0,0,HP,NA
AM31,IO_L18N_T2_A11_D27_14,2,14,0,0,HP,NA
BA30,IO_L19P_T3_A10_D26_14,3,14,0,0,HP,NA
BB30,IO_L19N_T3_A09_D25_VREF_14,3,14,0,0,HP,NA
AH30,IO_L20P_T3_A08_D24_14,3,14,0,0,HP,NA
AJ30,IO_L20N_T3_A07_D23_14,3,14,0,0,HP,NA
AT30,IO_L21P_T3_DQS_14,3,14,0,0,HP,NA
AU30,IO_L21N_T3_DQS_A06_D22_14,3,14,0,0,HP,NA
AN30,IO_L22P_T3_A05_D21_14,3,14,0,0,HP,NA
AP30,IO_L22N_T3_A04_D20_14,3,14,0,0,HP,NA
AV30,IO_L23P_T3_A03_D19_14,3,14,0,0,HP,NA
AW30,IO_L23N_T3_A02_D18_14,3,14,0,0,HP,NA
AL30,IO_L24P_T3_A01_D17_14,3,14,0,0,HP,NA
