Device/Package xc7vx1140tflg1930 12/21/2011 14:34:44,,,,,,,,,
,,,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect,,
AD22,DXN_0,NA,0,NA,1,CONFIG,NA,,
AD23,DXP_0,NA,0,NA,1,CONFIG,NA,,
AB22,VREFN_0,NA,0,NA,1,CONFIG,NA,,
AC23,VREFP_0,NA,0,NA,1,CONFIG,NA,,
AB23,VP_0,NA,0,NA,1,CONFIG,NA,,
AC22,VN_0,NA,0,NA,1,CONFIG,NA,,
U10,VCCBATT_0,NA,0,NA,1,CONFIG,NA,,
V11,CCLK_0,NA,0,NA,1,CONFIG,NA,,
W10,TCK_0,NA,0,NA,1,CONFIG,NA,,
Y11,TMS_0,NA,0,NA,1,CONFIG,NA,,
AA10,TDI_0,NA,0,NA,1,CONFIG,NA,,
AC10,INIT_B_0,NA,0,NA,1,CONFIG,NA,,
AE10,PROGRAM_B_0,NA,0,NA,1,CONFIG,NA,,
AF11,CFGBVS_0,NA,0,NA,1,CONFIG,NA,,
AD11,DONE_0,NA,0,NA,1,CONFIG,NA,,
AG10,M2_0,NA,0,NA,1,CONFIG,NA,,
AH11,M0_0,NA,0,NA,1,CONFIG,NA,,
AJ10,M1_0,NA,0,NA,1,CONFIG,NA,,
AB11,TDO_0,NA,0,NA,3,CONFIG,NA,,
AJ29,IO_0_VRN_10,NA,10,0,0,HP,7VX485T,,
AJ30,IO_L1P_T0_10,0,10,0,0,HP,7VX485T,,
AJ31,IO_L1N_T0_10,0,10,0,0,HP,7VX485T,,
AK29,IO_L2P_T0_10,0,10,0,0,HP,7VX485T,,
AL29,IO_L2N_T0_10,0,10,0,0,HP,7VX485T,,
AL30,IO_L3P_T0_DQS_10,0,10,0,0,HP,7VX485T,,
AM30,IO_L3N_T0_DQS_10,0,10,0,0,HP,7VX485T,,
AH29,IO_L4P_T0_10,0,10,0,0,HP,7VX485T,,
AH30,IO_L4N_T0_10,0,10,0,0,HP,7VX485T,,
AK31,IO_L5P_T0_10,0,10,0,0,HP,7VX485T,,
AL31,IO_L5N_T0_10,0,10,0,0,HP,7VX485T,,
AN29,IO_L6P_T0_10,0,10,0,0,HP,7VX485T,,
AN30,IO_L6N_T0_VREF_10,0,10,0,0,HP,7VX485T,,
AP31,IO_L7P_T1_10,1,10,0,0,HP,7VX485T,,
AR31,IO_L7N_T1_10,1,10,0,0,HP,7VX485T,,
AP29,IO_L8P_T1_10,1,10,0,0,HP,7VX485T,,
AP30,IO_L8N_T1_10,1,10,0,0,HP,7VX485T,,
AT30,IO_L9P_T1_DQS_10,1,10,0,0,HP,7VX485T,,
AT31,IO_L9N_T1_DQS_10,1,10,0,0,HP,7VX485T,,
AR29,IO_L10P_T1_10,1,10,0,0,HP,7VX485T,,
AT29,IO_L10N_T1_10,1,10,0,0,HP,7VX485T,,
AU30,IO_L11P_T1_SRCC_10,1,10,0,0,HP,7VX485T,,
AU31,IO_L11N_T1_SRCC_10,1,10,0,0,HP,7VX485T,,
AV29,IO_L12P_T1_MRCC_10,1,10,0,0,HP,7VX485T,,
AV30,IO_L12N_T1_MRCC_10,1,10,0,0,HP,7VX485T,,
AV32,IO_L13P_T2_MRCC_10,2,10,0,0,HP,7VX485T,,
AW32,IO_L13N_T2_MRCC_10,2,10,0,0,HP,7VX485T,,
AW30,IO_L14P_T2_SRCC_10,2,10,0,0,HP,7VX485T,,
AW31,IO_L14N_T2_SRCC_10,2,10,0,0,HP,7VX485T,,
AW29,IO_L15P_T2_DQS_10,2,10,0,0,HP,7VX485T,,
AY29,IO_L15N_T2_DQS_10,2,10,0,0,HP,7VX485T,,
AY31,IO_L16P_T2_10,2,10,0,0,HP,7VX485T,,
AY32,IO_L16N_T2_10,2,10,0,0,HP,7VX485T,,
BA28,IO_L17P_T2_10,2,10,0,0,HP,7VX485T,,
BA29,IO_L17N_T2_10,2,10,0,0,HP,7VX485T,,
BA30,IO_L18P_T2_10,2,10,0,0,HP,7VX485T,,
BA31,IO_L18N_T2_10,2,10,0,0,HP,7VX485T,,
BB31,IO_L19P_T3_10,3,10,0,0,HP,7VX485T,,
BB32,IO_L19N_T3_VREF_10,3,10,0,0,HP,7VX485T,,
BC32,IO_L20P_T3_10,3,10,0,0,HP,7VX485T,,
BD32,IO_L20N_T3_10,3,10,0,0,HP,7VX485T,,
BD30,IO_L21P_T3_DQS_10,3,10,0,0,HP,7VX485T,,
BD31,IO_L21N_T3_DQS_10,3,10,0,0,HP,7VX485T,,
BB30,IO_L22P_T3_10,3,10,0,0,HP,7VX485T,,
BC30,IO_L22N_T3_10,3,10,0,0,HP,7VX485T,,
BC29,IO_L23P_T3_10,3,10,0,0,HP,7VX485T,,
BD29,IO_L23N_T3_10,3,10,0,0,HP,7VX485T,,
BB28,IO_L24P_T3_10,3,10,0,0,HP,7VX485T,,
BC28,IO_L24N_T3_10,3,10,0,0,HP,7VX485T,,
AM31,IO_25_VRP_10,NA,10,0,0,HP,7VX485T,,
AW34,IO_0_VRN_11,NA,11,0,0,HP,7VX485T,,
AW44,IO_L1P_T0_11,0,11,0,0,HP,7VX485T,,
AY44,IO_L1N_T0_11,0,11,0,0,HP,7VX485T,,
BC42,IO_L2P_T0_11,0,11,0,0,HP,7VX485T,,
BD42,IO_L2N_T0_11,0,11,0,0,HP,7VX485T,,
AY43,IO_L3P_T0_DQS_11,0,11,0,0,HP,7VX485T,,
BA44,IO_L3N_T0_DQS_11,0,11,0,0,HP,7VX485T,,
BB42,IO_L4P_T0_11,0,11,0,0,HP,7VX485T,,
BC43,IO_L4N_T0_11,0,11,0,0,HP,7VX485T,,
BA43,IO_L5P_T0_11,0,11,0,0,HP,7VX485T,,
BB43,IO_L5N_T0_11,0,11,0,0,HP,7VX485T,,
AW42,IO_L6P_T0_11,0,11,0,0,HP,7VX485T,,
AY42,IO_L6N_T0_VREF_11,0,11,0,0,HP,7VX485T,,
AW41,IO_L7P_T1_11,1,11,0,0,HP,7VX485T,,
AY41,IO_L7N_T1_11,1,11,0,0,HP,7VX485T,,
BB40,IO_L8P_T1_11,1,11,0,0,HP,7VX485T,,
BB41,IO_L8N_T1_11,1,11,0,0,HP,7VX485T,,
