Device/Package xc7vx690tffg1158 12/21/2011 15:14:17,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
AA17,DXN_0,NA,0,NA,NA,CONFIG,NA
V18,VCCADC_0,NA,0,NA,NA,CONFIG,NA
V17,GNDADC_0,NA,0,NA,NA,CONFIG,NA
AA18,DXP_0,NA,0,NA,NA,CONFIG,NA
W17,VREFN_0,NA,0,NA,NA,CONFIG,NA
Y18,VREFP_0,NA,0,NA,NA,CONFIG,NA
W18,VP_0,NA,0,NA,NA,CONFIG,NA
Y17,VN_0,NA,0,NA,NA,CONFIG,NA
U25,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
V25,CCLK_0,NA,0,NA,NA,CONFIG,NA
Y25,TCK_0,NA,0,NA,NA,CONFIG,NA
W25,TMS_0,NA,0,NA,NA,CONFIG,NA
AA25,TDO_0,NA,0,NA,NA,CONFIG,NA
AB25,TDI_0,NA,0,NA,NA,CONFIG,NA
T10,INIT_B_0,NA,0,NA,NA,CONFIG,NA
V10,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
U10,CFGBVS_0,NA,0,NA,NA,CONFIG,NA
AB10,DONE_0,NA,0,NA,NA,CONFIG,NA
W10,M2_0,NA,0,NA,NA,CONFIG,NA
AA10,M0_0,NA,0,NA,NA,CONFIG,NA
Y10,M1_0,NA,0,NA,NA,CONFIG,NA
R23,IO_0_VRN_14,NA,14,0,NA,HP,NA
A23,IO_L1P_T0_D00_MOSI_14,0,14,0,NA,HP,NA
A24,IO_L1N_T0_D01_DIN_14,0,14,0,NA,HP,NA
B26,IO_L2P_T0_D02_14,0,14,0,NA,HP,NA
A26,IO_L2N_T0_D03_14,0,14,0,NA,HP,NA
C23,IO_L3P_T0_DQS_PUDC_B_14,0,14,0,NA,HP,NA
B23,IO_L3N_T0_DQS_EMCCLK_14,0,14,0,NA,HP,NA
C27,IO_L4P_T0_D04_14,0,14,0,NA,HP,NA
B27,IO_L4N_T0_D05_14,0,14,0,NA,HP,NA
B25,IO_L5P_T0_D06_14,0,14,0,NA,HP,NA
A25,IO_L5N_T0_D07_14,0,14,0,NA,HP,NA
C24,IO_L6P_T0_FCS_B_14,0,14,0,NA,HP,NA
C25,IO_L6N_T0_D08_VREF_14,0,14,0,NA,HP,NA
F23,IO_L7P_T1_D09_14,1,14,0,NA,HP,NA
E23,IO_L7N_T1_D10_14,1,14,0,NA,HP,NA
E26,IO_L8P_T1_D11_14,1,14,0,NA,HP,NA
D26,IO_L8N_T1_D12_14,1,14,0,NA,HP,NA
D24,IO_L9P_T1_DQS_14,1,14,0,NA,HP,NA
D25,IO_L9N_T1_DQS_D13_14,1,14,0,NA,HP,NA
E27,IO_L10P_T1_D14_14,1,14,0,NA,HP,NA
D27,IO_L10N_T1_D15_14,1,14,0,NA,HP,NA
F24,IO_L11P_T1_SRCC_14,1,14,0,NA,HP,NA
E24,IO_L11N_T1_SRCC_14,1,14,0,NA,HP,NA
G25,IO_L12P_T1_MRCC_14,1,14,0,NA,HP,NA
F25,IO_L12N_T1_MRCC_14,1,14,0,NA,HP,NA
J24,IO_L13P_T2_MRCC_14,2,14,0,NA,HP,NA
H24,IO_L13N_T2_MRCC_14,2,14,0,NA,HP,NA
H23,IO_L14P_T2_SRCC_14,2,14,0,NA,HP,NA
G23,IO_L14N_T2_SRCC_14,2,14,0,NA,HP,NA
J25,IO_L15P_T2_DQS_RDWR_B_14,2,14,0,NA,HP,NA
H25,IO_L15N_T2_DQS_DOUT_CSO_B_14,2,14,0,NA,HP,NA
J22,IO_L16P_T2_CSI_B_14,2,14,0,NA,HP,NA
H22,IO_L16N_T2_A15_D31_14,2,14,0,NA,HP,NA
L24,IO_L17P_T2_A14_D30_14,2,14,0,NA,HP,NA
K24,IO_L17N_T2_A13_D29_14,2,14,0,NA,HP,NA
K22,IO_L18P_T2_A12_D28_14,2,14,0,NA,HP,NA
K23,IO_L18N_T2_A11_D27_14,2,14,0,NA,HP,NA
P24,IO_L19P_T3_A10_D26_14,3,14,0,NA,HP,NA
N24,IO_L19N_T3_A09_D25_VREF_14,3,14,0,NA,HP,NA
M22,IO_L20P_T3_A08_D24_14,3,14,0,NA,HP,NA
L23,IO_L20N_T3_A07_D23_14,3,14,0,NA,HP,NA
P25,IO_L21P_T3_DQS_14,3,14,0,NA,HP,NA
