Device/Package xcvu095ffva2104 10/31/2014 13:47:40,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
AE17,DXN,NA,NA,NA,NA,NA
AB18,VCCADC,NA,NA,NA,NA,NA
AB17,GNDADC,NA,NA,NA,NA,NA
AE18,DXP,NA,NA,NA,NA,NA
AD18,VREFP,NA,NA,NA,NA,NA
AC17,VREFN,NA,NA,NA,NA,NA
AC18,VP,NA,NA,NA,NA,NA
AD17,VN,NA,NA,NA,NA,NA
U10,M0_0,NA,0,CONFIG,NA,NA
Y11,M1_0,NA,0,CONFIG,NA,NA
AC12,INIT_B_0,NA,0,CONFIG,NA,NA
W11,M2_0,NA,0,CONFIG,NA,NA
AB11,CFGBVS_0,NA,0,CONFIG,NA,NA
AD12,PUDC_B_0,NA,0,CONFIG,NA,NA
AG12,POR_OVERRIDE,NA,NA,NA,NA,NA
AE12,DONE_0,NA,0,CONFIG,NA,NA
AH11,PROGRAM_B_0,NA,0,CONFIG,NA,NA
AD13,TDO_0,NA,0,CONFIG,NA,NA
AD15,TDI_0,NA,0,CONFIG,NA,NA
AJ11,RDWR_FCS_B_0,NA,0,CONFIG,NA,NA
AM11,D02_0,NA,0,CONFIG,NA,NA
AP11,D00_MOSI_0,NA,0,CONFIG,NA,NA
AL11,D03_0,NA,0,CONFIG,NA,NA
AN11,D01_DIN_0,NA,0,CONFIG,NA,NA
AF15,TMS_0,NA,0,CONFIG,NA,NA
AF13,CCLK_0,NA,0,CONFIG,NA,NA
AE13,TCK_0,NA,0,CONFIG,NA,NA
AT11,VBATT,NA,NA,NA,NA,NA
AN30,IO_L24P_T3U_N10_44,3U,44,HP,NA,NA
AN31,IO_L24N_T3U_N11_44,3U,44,HP,NA,NA
AR29,IO_T3U_N12_44,3U,44,HP,NA,NA
AP30,IO_L23P_T3U_N8_44,3U,44,HP,NA,NA
AR30,IO_L23N_T3U_N9_44,3U,44,HP,NA,NA
AP31,IO_L22P_T3U_N6_DBC_AD0P_44,3U,44,HP,NA,NA
AP32,IO_L22N_T3U_N7_DBC_AD0N_44,3U,44,HP,NA,NA
AT29,IO_L21P_T3L_N4_AD8P_44,3L,44,HP,NA,NA
AT30,IO_L21N_T3L_N5_AD8N_44,3L,44,HP,NA,NA
AR33,IO_L20P_T3L_N2_AD1P_44,3L,44,HP,NA,NA
AT34,IO_L20N_T3L_N3_AD1N_44,3L,44,HP,NA,NA
AR32,IO_L19P_T3L_N0_DBC_AD9P_44,3L,44,HP,NA,NA
AT32,IO_L19N_T3L_N1_DBC_AD9N_44,3L,44,HP,NA,NA
AU31,IO_L18P_T2U_N10_AD2P_44,2U,44,HP,NA,NA
AV31,IO_L18N_T2U_N11_AD2N_44,2U,44,HP,NA,NA
AT31,IO_L17P_T2U_N8_AD10P_44,2U,44,HP,NA,NA
AU32,IO_L17N_T2U_N9_AD10N_44,2U,44,HP,NA,NA
AU29,IO_L16P_T2U_N6_QBC_AD3P_44,2U,44,HP,NA,NA
AV29,IO_L16N_T2U_N7_QBC_AD3N_44,2U,44,HP,NA,NA
AU33,IO_L15P_T2L_N4_AD11P_44,2L,44,HP,NA,NA
AU34,IO_L15N_T2L_N5_AD11N_44,2L,44,HP,NA,NA
AV30,IO_L14P_T2L_N2_GC_44,2L,44,HP,NA,NA
AW30,IO_L14N_T2L_N3_GC_44,2L,44,HP,NA,NA
AV34,IO_T2U_N12_44,2U,44,HP,NA,NA
AV33,IO_L13P_T2L_N0_GC_QBC_44,2L,44,HP,NA,NA
AW33,IO_L13N_T2L_N1_GC_QBC_44,2L,44,HP,NA,NA
AY32,IO_L12P_T1U_N10_GC_44,1U,44,HP,NA,NA
AY33,IO_L12N_T1U_N11_GC_44,1U,44,HP,NA,NA
AY30,IO_T1U_N12_44,1U,44,HP,NA,NA
AW31,IO_L11P_T1U_N8_GC_44,1U,44,HP,NA,NA
AW32,IO_L11N_T1U_N9_GC_44,1U,44,HP,NA,NA
AY34,IO_L10P_T1U_N6_QBC_AD4P_44,1U,44,HP,NA,NA
BA34,IO_L10N_T1U_N7_QBC_AD4N_44,1U,44,HP,NA,NA
BA30,IO_L9P_T1L_N4_AD12P_44,1L,44,HP,NA,NA
BA31,IO_L9N_T1L_N5_AD12N_44,1L,44,HP,NA,NA
BA32,IO_L8P_T1L_N2_AD5P_44,1L,44,HP,NA,NA
BB33,IO_L8N_T1L_N3_AD5N_44,1L,44,HP,NA,NA
BB31,IO_L7P_T1L_N0_QBC_AD13P_44,1L,44,HP,NA,NA
BB32,IO_L7N_T1L_N1_QBC_AD13N_44,1L,44,HP,NA,NA
BC31,IO_L6P_T0U_N10_AD6P_44,0U,44,HP,NA,NA
BD31,IO_L6N_T0U_N11_AD6N_44,0U,44,HP,NA,NA
BC33,IO_L5P_T0U_N8_AD14P_44,0U,44,HP,NA,NA
BD33,IO_L5N_T0U_N9_AD14N_44,0U,44,HP,NA,NA
BF30,IO_L4P_T0U_N6_DBC_AD7P_44,0U,44,HP,NA,NA
BF31,IO_L4N_T0U_N7_DBC_AD7N_44,0U,44,HP,NA,NA
BD32,IO_L3P_T0L_N4_AD15P_44,0L,44,HP,NA,NA
BE33,IO_L3N_T0L_N5_AD15N_44,0L,44,HP,NA,NA
BD30,IO_L2P_T0L_N2_44,0L,44,HP,NA,NA
BE30,IO_L2N_T0L_N3_44,0L,44,HP,NA,NA
BC30,IO_T0U_N12_VRP_44,0U,44,HP,NA,NA
BE32,IO_L1P_T0L_N0_DBC_44,0L,44,HP,NA,NA
BF32,IO_L1N_T0L_N1_DBC_44,0L,44,HP,NA,NA
AN29,VREF_44,NA,44,HP,NA,NA
AL27,IO_L24P_T3U_N10_45,3U,45,HP,NA,NA
AM27,IO_L24N_T3U_N11_45,3U,45,HP,NA,NA
AN25,IO_T3U_N12_45,3U,45,HP,NA,NA
AP25,IO_L23P_T3U_N8_45,3U,45,HP,NA,NA
AP26,IO_L23N_T3U_N9_45,3U,45,HP,NA,NA
AM28,IO_L22P_T3U_N6_DBC_AD0P_45,3U,45,HP,NA,NA
AN28,IO_L22N_T3U_N7_DBC_AD0N_45,3U,45,HP,NA,NA
AP27,IO_L21P_T3L_N4_AD8P_45,3L,45,HP,NA,NA
AP28,IO_L21N_T3L_N5_AD8N_45,3L,45,HP,NA,NA
AM26,IO_L20P_T3L_N2_AD1P_45,3L,45,HP,NA,NA
AN26,IO_L20N_T3L_N3_AD1N_45,3L,45,HP,NA,NA
AR27,IO_L19P_T3L_N0_DBC_AD9P_45,3L,45,HP,NA,NA
AR28,IO_L19N_T3L_N1_DBC_AD9N_45,3L,45,HP,NA,NA
