Device/Package xcvu095ffvc2104 11/17/2014 14:34:44,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
AE19,DXN,NA,NA,NA,NA,NA
AB20,VCCADC,NA,NA,NA,NA,NA
AB19,GNDADC,NA,NA,NA,NA,NA
AE20,DXP,NA,NA,NA,NA,NA
AD20,VREFP,NA,NA,NA,NA,NA
AC19,VREFN,NA,NA,NA,NA,NA
AC20,VP,NA,NA,NA,NA,NA
AD19,VN,NA,NA,NA,NA,NA
Y14,M0_0,NA,0,CONFIG,NA,NA
V14,M1_0,NA,0,CONFIG,NA,NA
P14,INIT_B_0,NA,0,CONFIG,NA,NA
T14,M2_0,NA,0,CONFIG,NA,NA
M14,CFGBVS_0,NA,0,CONFIG,NA,NA
K14,PUDC_B_0,NA,0,CONFIG,NA,NA
AB14,POR_OVERRIDE,NA,NA,NA,NA,NA
AC14,DONE_0,NA,0,CONFIG,NA,NA
AE14,PROGRAM_B_0,NA,0,CONFIG,NA,NA
AD15,TDO_0,NA,0,CONFIG,NA,NA
AF15,TDI_0,NA,0,CONFIG,NA,NA
AF14,RDWR_FCS_B_0,NA,0,CONFIG,NA,NA
AF16,D02_0,NA,0,CONFIG,NA,NA
AM14,D00_MOSI_0,NA,0,CONFIG,NA,NA
AH14,D03_0,NA,0,CONFIG,NA,NA
AK14,D01_DIN_0,NA,0,CONFIG,NA,NA
AB15,TMS_0,NA,0,CONFIG,NA,NA
AB16,CCLK_0,NA,0,CONFIG,NA,NA
AD16,TCK_0,NA,0,CONFIG,NA,NA
AN13,VBATT,NA,NA,NA,NA,NA
BE20,IO_L24P_T3U_N10_EMCCLK_65,3U,65,HP,NA,NA
BF20,IO_L24N_T3U_N11_DOUT_CSO_B_65,3U,65,HP,NA,NA
BD20,IO_T3U_N12_PERSTN0_65,3U,65,HP,NA,NA
BE16,IO_L23P_T3U_N8_I2C_SCLK_65,3U,65,HP,NA,NA
