Device/Package xcvu125flvb2104 3/22/2016 18:20:39,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
AJ18,DXN,NA,NA,NA,NA,NA
AF19,VCCADC,NA,NA,NA,NA,NA
AF18,GNDADC,NA,NA,NA,NA,NA
AJ19,DXP,NA,NA,NA,NA,NA
AH19,VREFP,NA,NA,NA,NA,NA
AG18,VREFN,NA,NA,NA,NA,NA
AG19,VP,NA,NA,NA,NA,NA
AH18,VN,NA,NA,NA,NA,NA
V12,M0_0,NA,0,CONFIG,0,NA
U12,M1_0,NA,0,CONFIG,0,NA
Y12,INIT_B_0,NA,0,CONFIG,0,NA
R12,M2_0,NA,0,CONFIG,0,NA
W12,CFGBVS_0,NA,0,CONFIG,0,NA
AA12,PUDC_B_0,NA,0,CONFIG,0,NA
AD12,POR_OVERRIDE,NA,NA,NA,NA,NA
AC12,DONE_0,NA,0,CONFIG,0,NA
AE12,PROGRAM_B_0,NA,0,CONFIG,0,NA
AE15,TDI_0,NA,0,CONFIG,0,NA
AG12,RDWR_FCS_B_0,NA,0,CONFIG,0,NA
AL12,D02_0,NA,0,CONFIG,0,NA
AK12,D00_MOSI_0,NA,0,CONFIG,0,NA
AH12,D03_0,NA,0,CONFIG,0,NA
AJ12,D01_DIN_0,NA,0,CONFIG,0,NA
AG15,TMS_0,NA,0,CONFIG,0,NA
AG13,CCLK_0,NA,0,CONFIG,0,NA
AE13,TCK_0,NA,0,CONFIG,0,NA
AM12,VBATT,NA,NA,NA,NA,NA
AC13,TDO_0,NA,0,CONFIG,0,NA
AL29,IO_L24P_T3U_N10_44,3U,44,HP,0,NA
AL30,IO_L24N_T3U_N11_44,3U,44,HP,0,NA
AR32,IO_T3U_N12_44,3U,44,HP,0,NA
AM31,IO_L23P_T3U_N8_44,3U,44,HP,0,NA
AN31,IO_L23N_T3U_N9_44,3U,44,HP,0,NA
AM29,IO_L22P_T3U_N6_DBC_AD0P_44,3U,44,HP,0,NA
AM30,IO_L22N_T3U_N7_DBC_AD0N_44,3U,44,HP,0,NA
AN29,IO_L21P_T3L_N4_AD8P_44,3L,44,HP,0,NA
AP29,IO_L21N_T3L_N5_AD8N_44,3L,44,HP,0,NA
AP30,IO_L20P_T3L_N2_AD1P_44,3L,44,HP,0,NA
AR30,IO_L20N_T3L_N3_AD1N_44,3L,44,HP,0,NA
AP31,IO_L19P_T3L_N0_DBC_AD9P_44,3L,44,HP,0,NA
AR31,IO_L19N_T3L_N1_DBC_AD9N_44,3L,44,HP,0,NA
AT29,IO_L18P_T2U_N10_AD2P_44,2U,44,HP,0,NA
AT30,IO_L18N_T2U_N11_AD2N_44,2U,44,HP,0,NA
AU30,IO_L17P_T2U_N8_AD10P_44,2U,44,HP,0,NA
AU31,IO_L17N_T2U_N9_AD10N_44,2U,44,HP,0,NA
AU29,IO_L16P_T2U_N6_QBC_AD3P_44,2U,44,HP,0,NA
AV29,IO_L16N_T2U_N7_QBC_AD3N_44,2U,44,HP,0,NA
AU32,IO_L15P_T2L_N4_AD11P_44,2L,44,HP,0,NA
AV32,IO_L15N_T2L_N5_AD11N_44,2L,44,HP,0,NA
AV31,IO_L14P_T2L_N2_GC_44,2L,44,HP,0,NA
AW31,IO_L14N_T2L_N3_GC_44,2L,44,HP,0,NA
AT32,IO_T2U_N12_44,2U,44,HP,0,NA
AW29,IO_L13P_T2L_N0_GC_QBC_44,2L,44,HP,0,NA
AW30,IO_L13N_T2L_N1_GC_QBC_44,2L,44,HP,0,NA
AY31,IO_L12P_T1U_N10_GC_44,1U,44,HP,0,NA
AY32,IO_L12N_T1U_N11_GC_44,1U,44,HP,0,NA
BC33,IO_T1U_N12_44,1U,44,HP,0,NA
AY30,IO_L11P_T1U_N8_GC_44,1U,44,HP,0,NA
BA30,IO_L11N_T1U_N9_GC_44,1U,44,HP,0,NA
BA32,IO_L10P_T1U_N6_QBC_AD4P_44,1U,44,HP,0,NA
BB32,IO_L10N_T1U_N7_QBC_AD4N_44,1U,44,HP,0,NA
BA29,IO_L9P_T1L_N4_AD12P_44,1L,44,HP,0,NA
