Device/Package xcvu190flga2577 3/22/2016 18:36:35,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
AK18,DXN,NA,NA,NA,NA,NA
AK19,DXP,NA,NA,NA,NA,NA
AJ19,VREFP,NA,NA,NA,NA,NA
AH18,VREFN,NA,NA,NA,NA,NA
AH19,VP,NA,NA,NA,NA,NA
AJ18,VN,NA,NA,NA,NA,NA
AB14,M0_0,NA,0,CONFIG,1,NA
Y14,M1_0,NA,0,CONFIG,1,NA
T14,INIT_B_0,NA,0,CONFIG,1,NA
V14,M2_0,NA,0,CONFIG,1,NA
P14,CFGBVS_0,NA,0,CONFIG,1,NA
M14,PUDC_B_0,NA,0,CONFIG,1,NA
AC13,POR_OVERRIDE,NA,NA,NA,NA,NA
AJ13,DONE_0,NA,0,CONFIG,1,NA
AK14,PROGRAM_B_0,NA,0,CONFIG,1,NA
AH13,TDI_0,NA,0,CONFIG,1,NA
AM14,RDWR_FCS_B_0,NA,0,CONFIG,1,NA
AT14,D02_0,NA,0,CONFIG,1,NA
AY14,D00_MOSI_0,NA,0,CONFIG,1,NA
AP14,D03_0,NA,0,CONFIG,1,NA
AV14,D01_DIN_0,NA,0,CONFIG,1,NA
AE14,TMS_0,NA,0,CONFIG,1,NA
AD13,CCLK_0,NA,0,CONFIG,1,NA
AF13,TCK_0,NA,0,CONFIG,1,NA
BB14,VBATT,NA,NA,NA,NA,NA
AG14,TDO_0,NA,0,CONFIG,1,NA
AV27,IO_L24P_T3U_N10_61,3U,61,HP,0,NA
AV26,IO_L24N_T3U_N11_61,3U,61,HP,0,NA
AY25,IO_T3U_N12_61,3U,61,HP,0,NA
AW26,IO_L23P_T3U_N8_61,3U,61,HP,0,NA
AY26,IO_L23N_T3U_N9_61,3U,61,HP,0,NA
AY27,IO_L22P_T3U_N6_DBC_AD0P_61,3U,61,HP,0,NA
BA27,IO_L22N_T3U_N7_DBC_AD0N_61,3U,61,HP,0,NA
AY23,IO_L21P_T3L_N4_AD8P_61,3L,61,HP,0,NA
BA23,IO_L21N_T3L_N5_AD8N_61,3L,61,HP,0,NA
AV24,IO_L20P_T3L_N2_AD1P_61,3L,61,HP,0,NA
AW23,IO_L20N_T3L_N3_AD1N_61,3L,61,HP,0,NA
AW25,IO_L19P_T3L_N0_DBC_AD9P_61,3L,61,HP,0,NA
AW24,IO_L19N_T3L_N1_DBC_AD9N_61,3L,61,HP,0,NA
BB22,IO_L18P_T2U_N10_AD2P_61,2U,61,HP,0,NA
BC22,IO_L18N_T2U_N11_AD2N_61,2U,61,HP,0,NA
BA25,IO_L17P_T2U_N8_AD10P_61,2U,61,HP,0,NA
BA24,IO_L17N_T2U_N9_AD10N_61,2U,61,HP,0,NA
BC26,IO_L16P_T2U_N6_QBC_AD3P_61,2U,61,HP,0,NA
BD26,IO_L16N_T2U_N7_QBC_AD3N_61,2U,61,HP,0,NA
BB26,IO_L15P_T2L_N4_AD11P_61,2L,61,HP,0,NA
BB25,IO_L15N_T2L_N5_AD11N_61,2L,61,HP,0,NA
BC24,IO_L14P_T2L_N2_GC_61,2L,61,HP,0,NA
BC23,IO_L14N_T2L_N3_GC_61,2L,61,HP,0,NA
BB24,IO_T2U_N12_61,2U,61,HP,0,NA
BD25,IO_L13P_T2L_N0_GC_QBC_61,2L,61,HP,0,NA
BD24,IO_L13N_T2L_N1_GC_QBC_61,2L,61,HP,0,NA
BD23,IO_L12P_T1U_N10_GC_61,1U,61,HP,0,NA
BE23,IO_L12N_T1U_N11_GC_61,1U,61,HP,0,NA
BE25,IO_T1U_N12_61,1U,61,HP,0,NA
BE22,IO_L11P_T1U_N8_GC_61,1U,61,HP,0,NA
BF22,IO_L11N_T1U_N9_GC_61,1U,61,HP,0,NA
BE21,IO_L10P_T1U_N6_QBC_AD4P_61,1U,61,HP,0,NA
BE20,IO_L10N_T1U_N7_QBC_AD4N_61,1U,61,HP,0,NA
BF25,IO_L9P_T1L_N4_AD12P_61,1L,61,HP,0,NA
BF24,IO_L9N_T1L_N5_AD12N_61,1L,61,HP,0,NA
BF23,IO_L8P_T1L_N2_AD5P_61,1L,61,HP,0,NA
BG22,IO_L8N_T1L_N3_AD5N_61,1L,61,HP,0,NA
BG25,IO_L7P_T1L_N0_QBC_AD13P_61,1L,61,HP,0,NA
BG24,IO_L7N_T1L_N1_QBC_AD13N_61,1L,61,HP,0,NA
BH24,IO_L6P_T0U_N10_AD6P_61,0U,61,HP,0,NA
BH23,IO_L6N_T0U_N11_AD6N_61,0U,61,HP,0,NA
BK25,IO_L5P_T0U_N8_AD14P_61,0U,61,HP,0,NA
BL25,IO_L5N_T0U_N9_AD14N_61,0U,61,HP,0,NA
BJ23,IO_L4P_T0U_N6_DBC_AD7P_61,0U,61,HP,0,NA
BK23,IO_L4N_T0U_N7_DBC_AD7N_61,0U,61,HP,0,NA
BJ25,IO_L3P_T0L_N4_AD15P_61,0L,61,HP,0,NA
BJ24,IO_L3N_T0L_N5_AD15N_61,0L,61,HP,0,NA
BK22,IO_L2P_T0L_N2_61,0L,61,HP,0,NA
BL22,IO_L2N_T0L_N3_61,0L,61,HP,0,NA
BH22,IO_T0U_N12_VRP_61,0U,61,HP,0,NA
BL24,IO_L1P_T0L_N0_DBC_61,0L,61,HP,0,NA
BL23,IO_L1N_T0L_N1_DBC_61,0L,61,HP,0,NA
AV23,VREF_61,NA,61,HP,0,NA
AW31,IO_L24P_T3U_N10_62,3U,62,HP,0,NA
AY31,IO_L24N_T3U_N11_62,3U,62,HP,0,NA
AW30,IO_T3U_N12_62,3U,62,HP,0,NA
AV29,IO_L23P_T3U_N8_62,3U,62,HP,0,NA
AW29,IO_L23N_T3U_N9_62,3U,62,HP,0,NA
AU31,IO_L22P_T3U_N6_DBC_AD0P_62,3U,62,HP,0,NA
AV31,IO_L22N_T3U_N7_DBC_AD0N_62,3U,62,HP,0,NA
AY30,IO_L21P_T3L_N4_AD8P_62,3L,62,HP,0,NA
BA30,IO_L21N_T3L_N5_AD8N_62,3L,62,HP,0,NA
AW28,IO_L20P_T3L_N2_AD1P_62,3L,62,HP,0,NA
AY28,IO_L20N_T3L_N3_AD1N_62,3L,62,HP,0,NA
BA28,IO_L19P_T3L_N0_DBC_AD9P_62,3L,62,HP,0,NA
BA29,IO_L19N_T3L_N1_DBC_AD9N_62,3L,62,HP,0,NA
BB29,IO_L18P_T2U_N10_AD2P_62,2U,62,HP,0,NA
BC29,IO_L18N_T2U_N11_AD2N_62,2U,62,HP,0,NA
BB31,IO_L17P_T2U_N8_AD10P_62,2U,62,HP,0,NA
BC31,IO_L17N_T2U_N9_AD10N_62,2U,62,HP,0,NA
BB27,IO_L16P_T2U_N6_QBC_AD3P_62,2U,62,HP,0,NA
BC27,IO_L16N_T2U_N7_QBC_AD3N_62,2U,62,HP,0,NA
BD30,IO_L15P_T2L_N4_AD11P_62,2L,62,HP,0,NA
BE30,IO_L15N_T2L_N5_AD11N_62,2L,62,HP,0,NA
BD28,IO_L14P_T2L_N2_GC_62,2L,62,HP,0,NA
BE28,IO_L14N_T2L_N3_GC_62,2L,62,HP,0,NA
BB30,IO_T2U_N12_62,2U,62,HP,0,NA
BC28,IO_L13P_T2L_N0_GC_QBC_62,2L,62,HP,0,NA
BD29,IO_L13N_T2L_N1_GC_QBC_62,2L,62,HP,0,NA
BE26,IO_L12P_T1U_N10_GC_62,1U,62,HP,0,NA
BE27,IO_L12N_T1U_N11_GC_62,1U,62,HP,0,NA
BF30,IO_T1U_N12_62,1U,62,HP,0,NA
BF27,IO_L11P_T1U_N8_GC_62,1U,62,HP,0,NA
BF28,IO_L11N_T1U_N9_GC_62,1U,62,HP,0,NA
BH26,IO_L10P_T1U_N6_QBC_AD4P_62,1U,62,HP,0,NA
BH27,IO_L10N_T1U_N7_QBC_AD4N_62,1U,62,HP,0,NA
BG29,IO_L9P_T1L_N4_AD12P_62,1L,62,HP,0,NA
BH29,IO_L9N_T1L_N5_AD12N_62,1L,62,HP,0,NA
BF29,IO_L8P_T1L_N2_AD5P_62,1L,62,HP,0,NA
BG30,IO_L8N_T1L_N3_AD5N_62,1L,62,HP,0,NA
BG26,IO_L7P_T1L_N0_QBC_AD13P_62,1L,62,HP,0,NA
BG27,IO_L7N_T1L_N1_QBC_AD13N_62,1L,62,HP,0,NA
BJ26,IO_L6P_T0U_N10_AD6P_62,0U,62,HP,0,NA
BK26,IO_L6N_T0U_N11_AD6N_62,0U,62,HP,0,NA
BK30,IO_L5P_T0U_N8_AD14P_62,0U,62,HP,0,NA
BL30,IO_L5N_T0U_N9_AD14N_62,0U,62,HP,0,NA
BK27,IO_L4P_T0U_N6_DBC_AD7P_62,0U,62,HP,0,NA
BK28,IO_L4N_T0U_N7_DBC_AD7N_62,0U,62,HP,0,NA
BJ29,IO_L3P_T0L_N4_AD15P_62,0L,62,HP,0,NA
BJ30,IO_L3N_T0L_N5_AD15N_62,0L,62,HP,0,NA
BL27,IO_L2P_T0L_N2_62,0L,62,HP,0,NA
BL28,IO_L2N_T0L_N3_62,0L,62,HP,0,NA
BL29,IO_T0U_N12_VRP_62,0U,62,HP,0,NA
BH28,IO_L1P_T0L_N0_DBC_62,0L,62,HP,0,NA
BJ28,IO_L1N_T0L_N1_DBC_62,0L,62,HP,0,NA
AV28,VREF_62,NA,62,HP,0,NA
AR33,IO_L24P_T3U_N10_63,3U,63,HP,0,NA
AR34,IO_L24N_T3U_N11_63,3U,63,HP,0,NA
AT37,IO_T3U_N12_63,3U,63,HP,0,NA
AR35,IO_L23P_T3U_N8_63,3U,63,HP,0,NA
AT35,IO_L23N_T3U_N9_63,3U,63,HP,0,NA
AT33,IO_L22P_T3U_N6_DBC_AD0P_63,3U,63,HP,0,NA
AT34,IO_L22N_T3U_N7_DBC_AD0N_63,3U,63,HP,0,NA
AR36,IO_L21P_T3L_N4_AD8P_63,3L,63,HP,0,NA
AR37,IO_L21N_T3L_N5_AD8N_63,3L,63,HP,0,NA
AT32,IO_L20P_T3L_N2_AD1P_63,3L,63,HP,0,NA
AU32,IO_L20N_T3L_N3_AD1N_63,3L,63,HP,0,NA
AU36,IO_L19P_T3L_N0_DBC_AD9P_63,3L,63,HP,0,NA
AU37,IO_L19N_T3L_N1_DBC_AD9N_63,3L,63,HP,0,NA
AU34,IO_L18P_T2U_N10_AD2P_63,2U,63,HP,0,NA
AV34,IO_L18N_T2U_N11_AD2N_63,2U,63,HP,0,NA
AW33,IO_L17P_T2U_N8_AD10P_63,2U,63,HP,0,NA
AW34,IO_L17N_T2U_N9_AD10N_63,2U,63,HP,0,NA
AV32,IO_L16P_T2U_N6_QBC_AD3P_63,2U,63,HP,0,NA
AV33,IO_L16N_T2U_N7_QBC_AD3N_63,2U,63,HP,0,NA
AV36,IO_L15P_T2L_N4_AD11P_63,2L,63,HP,0,NA
AV37,IO_L15N_T2L_N5_AD11N_63,2L,63,HP,0,NA
AY35,IO_L14P_T2L_N2_GC_63,2L,63,HP,0,NA
AY36,IO_L14N_T2L_N3_GC_63,2L,63,HP,0,NA
AU35,IO_T2U_N12_63,2U,63,HP,0,NA
AW35,IO_L13P_T2L_N0_GC_QBC_63,2L,63,HP,0,NA
AW36,IO_L13N_T2L_N1_GC_QBC_63,2L,63,HP,0,NA
BA34,IO_L12P_T1U_N10_GC_63,1U,63,HP,0,NA
BB34,IO_L12N_T1U_N11_GC_63,1U,63,HP,0,NA
AY37,IO_T1U_N12_63,1U,63,HP,0,NA
BA35,IO_L11P_T1U_N8_GC_63,1U,63,HP,0,NA
BB35,IO_L11N_T1U_N9_GC_63,1U,63,HP,0,NA
BB36,IO_L10P_T1U_N6_QBC_AD4P_63,1U,63,HP,0,NA
BC36,IO_L10N_T1U_N7_QBC_AD4N_63,1U,63,HP,0,NA
BA37,IO_L9P_T1L_N4_AD12P_63,1L,63,HP,0,NA
BB37,IO_L9N_T1L_N5_AD12N_63,1L,63,HP,0,NA
BC37,IO_L8P_T1L_N2_AD5P_63,1L,63,HP,0,NA
BD37,IO_L8N_T1L_N3_AD5N_63,1L,63,HP,0,NA
BD35,IO_L7P_T1L_N0_QBC_AD13P_63,1L,63,HP,0,NA
BD36,IO_L7N_T1L_N1_QBC_AD13N_63,1L,63,HP,0,NA
BC34,IO_L6P_T0U_N10_AD6P_63,0U,63,HP,0,NA
BD34,IO_L6N_T0U_N11_AD6N_63,0U,63,HP,0,NA
BC33,IO_L5P_T0U_N8_AD14P_63,0U,63,HP,0,NA
BD33,IO_L5N_T0U_N9_AD14N_63,0U,63,HP,0,NA
AY33,IO_L4P_T0U_N6_DBC_AD7P_63,0U,63,HP,0,NA
BA33,IO_L4N_T0U_N7_DBC_AD7N_63,0U,63,HP,0,NA
AY32,IO_L3P_T0L_N4_AD15P_63,0L,63,HP,0,NA
BA32,IO_L3N_T0L_N5_AD15N_63,0L,63,HP,0,NA
BB32,IO_L2P_T0L_N2_63,0L,63,HP,0,NA
BC32,IO_L2N_T0L_N3_63,0L,63,HP,0,NA
BD31,IO_T0U_N12_VRP_63,0U,63,HP,0,NA
BE31,IO_L1P_T0L_N0_DBC_63,0L,63,HP,0,NA
BE32,IO_L1N_T0L_N1_DBC_63,0L,63,HP,0,NA
AR32,VREF_63,NA,63,HP,0,NA
BD16,IO_L24P_T3U_N10_EMCCLK_65,3U,65,HP,1,NA
BD15,IO_L24N_T3U_N11_DOUT_CSO_B_65,3U,65,HP,1,NA
BB15,IO_T3U_N12_PERSTN0_65,3U,65,HP,1,NA
BB16,IO_L23P_T3U_N8_I2C_SCLK_65,3U,65,HP,1,NA
BC16,IO_L23N_T3U_N9_I2C_SDA_65,3U,65,HP,1,NA
BD18,IO_L22P_T3U_N6_DBC_AD0P_D04_65,3U,65,HP,1,NA
BD17,IO_L22N_T3U_N7_DBC_AD0N_D05_65,3U,65,HP,1,NA
BB17,IO_L21P_T3L_N4_AD8P_D06_65,3L,65,HP,1,NA
BC17,IO_L21N_T3L_N5_AD8N_D07_65,3L,65,HP,1,NA
BA19,IO_L20P_T3L_N2_AD1P_D08_65,3L,65,HP,1,NA
BA18,IO_L20N_T3L_N3_AD1N_D09_65,3L,65,HP,1,NA
BC19,IO_L19P_T3L_N0_DBC_AD9P_D10_65,3L,65,HP,1,NA
BC18,IO_L19N_T3L_N1_DBC_AD9N_D11_65,3L,65,HP,1,NA
AV16,IO_L18P_T2U_N10_AD2P_D12_65,2U,65,HP,1,NA
AW15,IO_L18N_T2U_N11_AD2N_D13_65,2U,65,HP,1,NA
AY15,IO_L17P_T2U_N8_AD10P_D14_65,2U,65,HP,1,NA
BA15,IO_L17N_T2U_N9_AD10N_D15_65,2U,65,HP,1,NA
AU17,IO_L16P_T2U_N6_QBC_AD3P_A00_D16_65,2U,65,HP,1,NA
AV17,IO_L16N_T2U_N7_QBC_AD3N_A01_D17_65,2U,65,HP,1,NA
AW16,IO_L15P_T2L_N4_AD11P_A02_D18_65,2L,65,HP,1,NA
AY16,IO_L15N_T2L_N5_AD11N_A03_D19_65,2L,65,HP,1,NA
AY17,IO_L14P_T2L_N2_GC_A04_D20_65,2L,65,HP,1,NA
BA17,IO_L14N_T2L_N3_GC_A05_D21_65,2L,65,HP,1,NA
AV18,IO_T2U_N12_CSI_ADV_B_65,2U,65,HP,1,NA
AW18,IO_L13P_T2L_N0_GC_QBC_A06_D22_65,2L,65,HP,1,NA
