Device/Package xcvu440flgb2377 12/8/2014 11:32:22,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
AF15,DXN,NA,NA,NA,NA,NA
AF16,DXP,NA,NA,NA,NA,NA
AE16,VREFP,NA,NA,NA,NA,NA
AD15,VREFN,NA,NA,NA,NA,NA
AD16,VP,NA,NA,NA,NA,NA
AE15,VN,NA,NA,NA,NA,NA
P11,M0_0,NA,0,CONFIG,1,NA
U11,M1_0,NA,0,CONFIG,1,NA
Y11,INIT_B_0,NA,0,CONFIG,1,NA
R11,M2_0,NA,0,CONFIG,1,NA
W11,CFGBVS_0,NA,0,CONFIG,1,NA
AB11,PUDC_B_0,NA,0,CONFIG,1,NA
AE11,POR_OVERRIDE,NA,NA,NA,NA,NA
AC11,DONE_0,NA,0,CONFIG,1,NA
AG11,PROGRAM_B_0,NA,0,CONFIG,1,NA
AF12,TDI_0,NA,0,CONFIG,1,NA
AH11,RDWR_FCS_B_0,NA,0,CONFIG,1,NA
AL11,D02_0,NA,0,CONFIG,1,NA
AN11,D00_MOSI_0,NA,0,CONFIG,1,NA
AK11,D03_0,NA,0,CONFIG,1,NA
AK12,D01_DIN_0,NA,0,CONFIG,1,NA
AH12,TMS_0,NA,0,CONFIG,1,NA
AD12,CCLK_0,NA,0,CONFIG,1,NA
AB12,TCK_0,NA,0,CONFIG,1,NA
AP11,VBATT,NA,NA,NA,NA,NA
Y12,TDO_0,NA,0,CONFIG,1,NA
AW45,IO_L24P_T3U_N10_40,3U,40,HP,0,NA
AW46,IO_L24N_T3U_N11_40,3U,40,HP,0,NA
AW48,IO_T3U_N12_40,3U,40,HP,0,NA
AY48,IO_L23P_T3U_N8_40,3U,40,HP,0,NA
BA49,IO_L23N_T3U_N9_40,3U,40,HP,0,NA
AW44,IO_L22P_T3U_N6_DBC_AD0P_40,3U,40,HP,0,NA
AY45,IO_L22N_T3U_N7_DBC_AD0N_40,3U,40,HP,0,NA
BA47,IO_L21P_T3L_N4_AD8P_40,3L,40,HP,0,NA
